,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,976545556,Casas,0.0,108,3,2,2,Fortaleza,Aerolândia,180000.0
1,975806360,Apartamentos,230.0,42,2,1,1,Fortaleza,Alto da Balança,160000.0
2,975789387,Apartamentos,220.0,45,2,2,1,Fortaleza,Alto da Balança,190000.0
3,975789328,Casas,0.0,223,5 ou mais,3,1,Fortaleza,Aerolândia,250000.0
4,975752550,Apartamentos,220.0,45,2,2,1,Fortaleza,Alto da Balança,190000.0
5,968677273,Apartamentos,208.0,46,2,2,1,Fortaleza,Alto da Balança,160000.0
6,926374909,Casas,0.0,125,2,2,2,Fortaleza,Aerolândia,0.0
7,926374818,Casas,0.0,125,2,2,2,Fortaleza,Aerolândia,0.0
8,946635088,Apartamentos,533.0,62,3,2,1,Fortaleza,Alto da Balança,185000.0
9,680686171,Casas,0.0,82,3,2,2,Fortaleza,Alto da Balança,105000.0
10,902262628,Apartamentos,500.0,68,3,2,1,Fortaleza,Alto da Balança,210000.0
11,850758464,Casas,0.0,100,3,2,0,Fortaleza,Aerolândia,170000.0
12,886401360,Casas,0.0,223,5 ou mais,3,1,Fortaleza,Aerolândia,250000.0
13,969173076,Casas,0.0,176,4,3,2,Fortaleza,Alto da Balança,380000.0
14,885732043,Casas,0.0,210,4,3,5 ou mais,Fortaleza,Alto da Balança,600000.0
15,968384183,Apartamentos,208.0,46,2,2,1,Fortaleza,Alto da Balança,160000.0
16,974110399,Casas,0.0,80,2,,,Fortaleza,Aerolândia,37000.0
17,824492760,Apartamentos,0.0,117,3,2,1,Fortaleza,Aerolândia,160000.0
18,973608718,Casas,0.0,0,2,1,1,Fortaleza,Alto da Balança,110000.0
19,965912802,Apartamentos,220.0,48,2,1,1,Fortaleza,Alto da Balança,150.0
20,959344178,Casas,0.0,350,3,3,3,Fortaleza,Aerolândia,380000.0
21,907568934,Apartamentos,320.0,84,3,1,1,Fortaleza,Aerolândia,190000.0
22,958951462,Casas,0.0,100,4,2,1,Fortaleza,Alto da Balança,170000.0
23,973186041,Casas,0.0,28,1,1,0,Fortaleza,Aerolândia,18000.0
24,929919896,Casas,0.0,66,4,2,0,Fortaleza,Alto da Balança,240000.0
25,848870469,Casas,0.0,153,3,2,0,Fortaleza,Aerolândia,380000.0
26,714928740,Apartamentos,570.0,97,3,4,2,Fortaleza,Alto da Balança,700000.0
27,969852342,Casas,0.0,200,4,3,,Fortaleza,Alto da Balança,760000.0
28,969540000,Casas,0.0,60,1,2,0,Fortaleza,Alto da Balança,70000.0
29,955796457,Apartamentos,310.0,65,3,2,1,Fortaleza,Alto da Balança,180000.0
30,887234016,Apartamentos,450.0,200,3,2,2,Fortaleza,Aerolândia,230000.0
31,903348088,Apartamentos,0.0,587,2,1,1,Fortaleza,Alto da Balança,600000.0
32,966740752,Casas,0.0,79180,2,2,2,Fortaleza,Alto da Balança,162000.0
33,925666626,Casas,0.0,20,1,1,0,Fortaleza,Alto da Balança,140000.0
34,923619941,Casas,0.0,200,5 ou mais,3,1,Fortaleza,Alto da Balança,380000.0
35,965548370,Casas,0.0,52,2,2,0,Fortaleza,Aerolândia,80000.0
36,963822016,Casas,0.0,220,5 ou mais,3,1,Fortaleza,Alto da Balança,370000.0
37,963766968,Casas,0.0,132,5 ou mais,2,1,Fortaleza,Aerolândia,130000.0
38,963302698,Casas,0.0,330,2,2,5 ou mais,Fortaleza,Alto da Balança,65000.0
39,962577151,Casas,0.0,49,3,2,0,Fortaleza,Aerolândia,0.0
40,960948073,Casas,0.0,0,5 ou mais,3,5 ou mais,Fortaleza,Aerolândia,180000.0
41,956359048,Casas,0.0,0,0,0,0,Fortaleza,Alto da Balança,300000.0
42,952232172,Apartamentos,200.0,42,2,1,1,Fortaleza,Aerolândia,6000000.0
43,929159851,Casas,0.0,125,2,2,2,Fortaleza,Aerolândia,0.0
44,929159875,Casas,0.0,125,2,2,2,Fortaleza,Aerolândia,0.0
45,955505108,Casas,0.0,0,0,0,0,Fortaleza,Aerolândia,170000.0
46,954857706,Casas,0.0,0,2,1,0,Fortaleza,Aerolândia,200000.0
47,946428599,Apartamentos,240.0,49,2,1,1,Fortaleza,Alto da Balança,180000.0
48,942624870,Apartamentos,240.0,49,2,2,1,Fortaleza,Alto da Balança,168000.0
49,917704045,Casas,0.0,120,3,2,0,Fortaleza,Aerolândia,230000.0
50,917238191,Casas,0.0,181,4,3,1,Fortaleza,Aerolândia,350000.0
51,794169892,Apartamentos,212.0,46,2,1,1,Fortaleza,Alto da Balança,170000.0
52,567882519,Apartamentos,194.0,54,2,2,1,Fortaleza,Alto da Balança,220000.0
