,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,959072034,Apartamentos,1000.0,125,3,4,3,Fortaleza,Aldeota,650000.0
1,958173921,Apartamentos,0.0,210,4,5 ou mais,4,Fortaleza,Aldeota,1450000.0
2,926041397,Apartamentos,2900.0,304,4,,3,Fortaleza,Aldeota,2000000.0
3,935619309,Apartamentos,550.0,59,2,2,2,Fortaleza,Aldeota,570000.0
4,955922036,Casas,0.0,396,3,5 ou mais,2,Fortaleza,Aldeota,3000000.0
5,941760699,Apartamentos,587.0,62,3,2,1,Fortaleza,Aldeota,460000.0
6,888809305,Apartamentos,470.0,73,3,2,3,Fortaleza,Aldeota,640000.0
7,946634884,Apartamentos,574.0,109,3,3,2,Fortaleza,Aldeota,290000.0
8,819866359,Apartamentos,1050.0,127,3,4,3,Fortaleza,Aldeota,860000.0
9,967157420,Apartamentos,1200.0,150,4,5 ou mais,3,Fortaleza,Aldeota,695000.0
10,886821630,Apartamentos,1580.0,205,3,4,3,Fortaleza,Aldeota,1180000.0
11,940355930,Apartamentos,980.0,130,3,3,2,Fortaleza,Aldeota,400000.0
12,969156707,Apartamentos,0.0,37,1,1,1,Fortaleza,Aldeota,399500.0
13,959072448,Apartamentos,1300.0,128,3,4,2,Fortaleza,Aldeota,480000.0
14,970636864,Apartamentos,725.0,60,3,2,2,Fortaleza,Aldeota,390000.0
15,968859648,Apartamentos,850.0,85,2,3,2,Fortaleza,Aldeota,440000.0
16,951086554,Apartamentos,2150.0,275,3,4,3,Fortaleza,Aldeota,1280000.0
17,934623710,Apartamentos,1000.0,93,3,4,2,Fortaleza,Aldeota,780000.0
18,921351031,Apartamentos,2000.0,285,5 ou mais,5 ou mais,3,Fortaleza,Aldeota,1000000.0
19,791103668,Apartamentos,1500.0,210,4,3,,Fortaleza,Aldeota,1400000.0
20,947690615,Apartamentos,550.0,65,3,2,2,Fortaleza,Aldeota,470000.0
21,937583022,Apartamentos,1050.0,127,3,4,3,Fortaleza,Aldeota,860000.0
22,977055937,Apartamentos,0.0,123,3,3,1,Fortaleza,Aldeota,480720.0
23,977051894,Apartamentos,0.0,240,4,5 ou mais,3,Fortaleza,Aldeota,665000.0
24,967252509,Apartamentos,1135.0,204,3,4,3,Fortaleza,Aldeota,1200000.0
25,956341027,Apartamentos,0.0,73,3,2,2,Fortaleza,Aldeota,640000.0
26,964178557,Apartamentos,2100.0,297,4,5 ou mais,4,Fortaleza,Aldeota,2190000.0
27,956256209,Apartamentos,1650.0,207,4,5 ou mais,4,Fortaleza,Aldeota,1420000.0
28,959072242,Apartamentos,0.0,95,3,3,2,Fortaleza,Aldeota,715000.0
29,940233023,Apartamentos,1050.0,127,3,5 ou mais,3,Fortaleza,Aldeota,860000.0
