,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,962034324,Casas,380.0,0,2,3,,Fortaleza,Parque Santa Maria,220000.0
1,951195155,Casas,380.0,70,2,3,2,Fortaleza,Parque Santa Maria,255000.0
2,976930318,Casas,0.0,0,2,2,1,Fortaleza,Parque Santa Maria,250000.0
3,947636212,Casas,360.0,70,2,3,2,Fortaleza,Parque Santa Maria,209000.0
4,946212022,Casas,370.0,80,2,3,2,Fortaleza,Parque Santa Maria,210000.0
5,935619528,Casas,340.0,70,2,3,2,Fortaleza,Parque Santa Maria,255000.0
6,968803290,Apartamentos,335.0,66,2,2,1,Fortaleza,Parque Santa Maria,180000.0
7,976569059,Casas,0.0,0,3,2,4,Fortaleza,Parque Santa Maria,150000.0
8,976405640,Casas,0.0,0,2,0,0,Fortaleza,Parque Santa Maria,110000.0
9,969914256,Casas,0.0,210,3,3,1,Fortaleza,Parque Santa Maria,18000.0
10,976345771,Casas,0.0,0,2,1,,Fortaleza,Parque Santa Maria,37000.0
11,976260112,Casas,0.0,0,2,2,2,Fortaleza,Parque Santa Maria,85000.0
12,976252103,Casas,0.0,0,0,0,0,Fortaleza,Parque Santa Maria,85000.0
13,970516603,Apartamentos,330.0,66,3,2,1,Fortaleza,Parque Santa Maria,190000.0
14,975893212,Apartamentos,0.0,0,2,1,1,Fortaleza,Parque Santa Maria,18000.0
15,975825952,Casas,0.0,0,2,2,1,Fortaleza,Parque Santa Maria,85239.0
16,975760146,Casas,0.0,0,0,0,0,Fortaleza,Parque Santa Maria,85000.0
17,975311832,Casas,370.0,0,2,2,1,Fortaleza,Parque Santa Maria,86000.0
18,975309870,Casas,0.0,0,2,2,1,Fortaleza,Parque Santa Maria,80000.0
19,834108023,Casas,300.0,67,2,2,1,Fortaleza,Parque Santa Maria,205000.0
20,884229875,Apartamentos,176.0,62,2,1,1,Fortaleza,Parque Santa Maria,90000.0
21,891627060,Casas,340.0,70,2,3,2,Fortaleza,Parque Santa Maria,260000.0
22,954959924,Casas,0.0,70,2,3,2,Fortaleza,Parque Santa Maria,243947.0
23,974148080,Casas,400.0,70,3,3,2,Fortaleza,Parque Santa Maria,220000.0
24,963566832,Casas,0.0,86,3,1,2,Fortaleza,Parque Santa Maria,145000.0
25,886575146,Casas,380.0,70,3,3,2,Fortaleza,Parque Santa Maria,210000.0
26,947695560,Casas,0.0,70,2,3,2,Fortaleza,Parque Santa Maria,233800.0
27,955795357,Apartamentos,0.0,60,3,2,1,Fortaleza,Parque Santa Maria,210000.0
28,964522407,Casas,380.0,70,2,3,0,Fortaleza,Parque Santa Maria,220000.0
29,967773705,Apartamentos,0.0,86,3,1,0,Fortaleza,Parque Santa Maria,180000.0
30,973247508,Apartamentos,0.0,0,2,1,2,Fortaleza,Parque Santa Maria,3800.0
31,948795976,Apartamentos,320.0,66,3,2,1,Fortaleza,Parque Santa Maria,185000.0
32,892016252,Apartamentos,180.0,42,2,1,1,Fortaleza,Parque Santa Maria,99000.0
33,948902079,Casas,0.0,84,2,2,2,Fortaleza,Parque Santa Maria,160000.0
34,946911110,Casas,0.0,67,2,1,2,Fortaleza,Parque Santa Maria,170000.0
35,972493887,Apartamentos,0.0,0,2,1,1,Fortaleza,Parque Santa Maria,70000.0
36,899046257,Casas,335.0,70,2,2,2,Fortaleza,Parque Santa Maria,210000.0
37,943056387,Casas,380.0,70,2,3,2,Fortaleza,Parque Santa Maria,210000.0
38,971357589,Casas,0.0,90,2,2,2,Fortaleza,Parque Santa Maria,85000.0
39,971357335,Casas,0.0,75,2,3,1,Fortaleza,Parque Santa Maria,85000.0
40,971307658,Apartamentos,350.0,73,3,3,2,Fortaleza,Parque Santa Maria,0.0
41,954418534,Casas,335.0,70,2,3,2,Fortaleza,Parque Santa Maria,233857.0
42,970026374,Casas,0.0,0,3,2,2,Fortaleza,Alto Alegre,30000.0
43,969680921,Casas,0.0,100,2,2,1,Fortaleza,Parque Presidente Vargas,0.0
44,917141686,Apartamentos,180.0,47,2,1,0,Fortaleza,Parque Santa Maria,120000.0
45,944568597,Casas,0.0,84,2,2,0,Fortaleza,Parque Santa Maria,160000.0
46,921831938,Casas,350.0,70,3,3,2,Fortaleza,Parque Santa Maria,240000.0
47,894331006,Casas,0.0,70,2,3,2,Fortaleza,Parque Santa Maria,230000.0
48,968472762,Casas,0.0,133,2,2,1,Fortaleza,Parque Santa Maria,280000.0
49,838505891,Apartamentos,330.0,66,3,2,1,Fortaleza,Parque Santa Maria,190000.0
50,649150230,Casas,380.0,70,2,3,2,Fortaleza,Parque Santa Maria,233856.0
51,908386708,Apartamentos,3003.0,76,3,2,2,Fortaleza,Parque Santa Maria,195000.0
52,937066988,Casas,380.0,70,2,3,2,Fortaleza,Parque Santa Maria,210000.0
53,894336569,Casas,350.0,70,2,3,2,Fortaleza,Parque Santa Maria,230000.0
54,833155946,Apartamentos,300.0,85,3,2,1,Fortaleza,Parque Santa Maria,250000.0
55,935904933,Casas,380.0,70,2,3,2,Fortaleza,Parque Santa Maria,210000.0
56,636185692,Casas,335.0,70,2,3,2,Fortaleza,Parque Santa Maria,232230.0
57,965294697,Casas,0.0,70,2,2,2,Fortaleza,Parque Santa Maria,90000.0
58,887234049,Casas,340.0,70,2,3,2,Fortaleza,Parque Santa Maria,233857.0
