,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,977073460,Casas,0.0,12,2,2,1,Fortaleza,Álvaro Weyne,80000.0
1,962289339,Casas,0.0,180,3,4,1,Fortaleza,Álvaro Weyne,420000.0
2,976912296,Casas,0.0,120,3,3,2,Fortaleza,Álvaro Weyne,130000.0
3,911115247,Casas,0.0,240,4,4,3,Fortaleza,São Gerardo,370000.0
4,941107470,Apartamentos,0.0,61,3,2,2,Fortaleza,Álvaro Weyne,260000.0
5,976704765,Casas,0.0,125,3,2,1,Fortaleza,Álvaro Weyne,125000.0
6,976480966,Casas,0.0,137,3,2,1,Fortaleza,Álvaro Weyne,125000.0
7,960562267,Apartamentos,0.0,47,2,1,1,Fortaleza,Álvaro Weyne,182200.0
8,856472232,Apartamentos,0.0,62,3,2,1,Fortaleza,Álvaro Weyne,240000.0
9,932297733,Apartamentos,0.0,54,2,2,1,Fortaleza,Álvaro Weyne,371000.0
10,946670225,Apartamentos,360.0,62,3,2,1,Fortaleza,Álvaro Weyne,245000.0
11,976001290,Casas,0.0,0,1,1,,Fortaleza,Álvaro Weyne,40000.0
12,917281424,Apartamentos,450.0,72,3,2,1,Fortaleza,São Gerardo,400000.0
13,935168664,Apartamentos,450.0,72,3,2,1,Fortaleza,São Gerardo,400000.0
14,975789620,Casas,0.0,93,4,3,2,Fortaleza,Álvaro Weyne,400000.0
15,967273168,Apartamentos,300.0,55,2,1,1,Fortaleza,Álvaro Weyne,270000.0
16,969630308,Casas,0.0,240,3,2,1,Fortaleza,Álvaro Weyne,430000.0
17,944172072,Apartamentos,0.0,44,2,1,1,Fortaleza,Álvaro Weyne,182200.0
18,970215222,Casas,0.0,0,3,2,1,Fortaleza,Álvaro Weyne,430000.0
19,960665361,Casas,0.0,203,3,2,1,Fortaleza,Álvaro Weyne,180000.0
20,925474660,Casas,0.0,125,2,2,2,Fortaleza,Álvaro Weyne,0.0
21,925474736,Casas,0.0,125,2,2,2,Fortaleza,Álvaro Weyne,0.0
22,974097805,Casas,0.0,60,2,1,1,Fortaleza,Álvaro Weyne,125000.0
23,936372962,Apartamentos,285.0,62,3,2,1,Fortaleza,Álvaro Weyne,235000.0
24,974753839,Casas,0.0,0,3,2,1,Fortaleza,Álvaro Weyne,55000.0
25,948223265,Apartamentos,300.0,52,2,1,2,Fortaleza,Álvaro Weyne,159999.0
26,974720879,Apartamentos,327.0,63,3,2,1,Fortaleza,Álvaro Weyne,250000.0
27,947695555,Apartamentos,0.0,94,3,3,2,Fortaleza,São Gerardo,725000.0
28,932972467,Apartamentos,365.0,56,2,1,1,Fortaleza,Álvaro Weyne,230000.0
29,926085598,Apartamentos,0.0,73,3,2,2,Fortaleza,São Gerardo,380000.0
30,972268039,Apartamentos,300.0,55,2,1,1,Fortaleza,Álvaro Weyne,270000.0
31,920736770,Apartamentos,365.0,56,2,1,1,Fortaleza,Álvaro Weyne,230000.0
32,974063214,Casas,0.0,200,4,2,3,Fortaleza,Álvaro Weyne,400000.0
33,968999299,Casas,0.0,94,3,2,2,Fortaleza,Álvaro Weyne,110000.0
34,924123031,Casas,0.0,50,2,1,1,Fortaleza,Álvaro Weyne,120000.0
35,739643228,Apartamentos,250.0,52,2,1,1,Fortaleza,Álvaro Weyne,135000.0
36,739640779,Apartamentos,298.0,62,3,2,1,Fortaleza,Álvaro Weyne,229999.0
37,739637790,Apartamentos,0.0,47,2,1,1,Fortaleza,Álvaro Weyne,182000.0
38,947695609,Apartamentos,0.0,73,3,2,2,Fortaleza,São Gerardo,493000.0
39,973085781,Apartamentos,0.0,70,2,1,1,Fortaleza,Álvaro Weyne,70000.0
40,889980191,Apartamentos,0.0,72,3,2,2,Fortaleza,São Gerardo,510000.0
41,633702134,Apartamentos,245.0,48,2,2,1,Fortaleza,Álvaro Weyne,149000.0
42,886337862,Apartamentos,327.0,62,3,2,1,Fortaleza,Álvaro Weyne,260000.0
43,786089480,Apartamentos,327.0,62,3,2,1,Fortaleza,Álvaro Weyne,250000.0
44,765423609,Apartamentos,0.0,45,2,2,,Fortaleza,Álvaro Weyne,990000.0
45,972656902,Apartamentos,300.0,50,2,1,1,Fortaleza,Álvaro Weyne,145000.0
46,915189492,Apartamentos,0.0,52,2,1,1,Fortaleza,Álvaro Weyne,165000.0
47,972290382,Apartamentos,50000.0,79,3,3,2,Fortaleza,Álvaro Weyne,330000.0
48,946996357,Apartamentos,0.0,0,3,2,1,Fortaleza,Álvaro Weyne,230000.0
49,971664211,Casas,0.0,0,2,1,1,Fortaleza,Álvaro Weyne,55000.0
50,924123221,Casas,0.0,231,4,2,4,Fortaleza,Álvaro Weyne,280000.0
51,955797816,Apartamentos,0.0,47,2,1,1,Fortaleza,Álvaro Weyne,182200.0
52,971184569,Casas,0.0,290,4,4,2,Fortaleza,Álvaro Weyne,520000.0
53,971127597,Casas,0.0,0,2,1,0,Fortaleza,Álvaro Weyne,55000.0
54,971088425,Casas,0.0,0,2,1,0,Fortaleza,Álvaro Weyne,55000.0
55,959974224,Casas,0.0,120,3,4,4,Fortaleza,Álvaro Weyne,460000.0
56,917389095,Apartamentos,326.0,67,3,2,1,Fortaleza,Álvaro Weyne,220000.0
57,924123088,Casas,0.0,440,3,1,0,Fortaleza,Álvaro Weyne,480000.0
58,924123187,Casas,0.0,230,4,3,5 ou mais,Fortaleza,Álvaro Weyne,550000.0
59,968748865,Casas,0.0,130,2,2,1,Fortaleza,Álvaro Weyne,200000.0
60,968729886,Casas,0.0,0,1,1,0,Fortaleza,Álvaro Weyne,295000.0
61,917834359,Casas,0.0,125,2,2,2,Fortaleza,Álvaro Weyne,0.0
62,917834207,Casas,0.0,125,2,2,2,Fortaleza,Álvaro Weyne,0.0
63,813473798,Apartamentos,345.0,50,2,1,1,Fortaleza,Álvaro Weyne,130000.0
64,933016875,Casas,0.0,90,3,2,2,Fortaleza,Álvaro Weyne,280000.0
65,747941710,Casas,0.0,280,3,2,0,Fortaleza,Álvaro Weyne,180000.0
66,679550721,Apartamentos,288.0,52,2,1,1,Fortaleza,Álvaro Weyne,199999.0
67,966887681,Casas,0.0,0,3,2,2,Fortaleza,Álvaro Weyne,38000.0
68,924123109,Apartamentos,380.0,62,3,2,1,Fortaleza,Álvaro Weyne,220000.0
69,915029930,Apartamentos,0.0,78,3,2,2,Fortaleza,Álvaro Weyne,304861.0
70,955795967,Apartamentos,0.0,72,3,2,2,Fortaleza,São Gerardo,451000.0
71,915034077,Casas,0.0,125,2,2,2,Fortaleza,Álvaro Weyne,0.0
72,915034046,Casas,0.0,125,2,2,2,Fortaleza,Álvaro Weyne,0.0
73,964976413,Casas,0.0,0,3,2,1,Fortaleza,Álvaro Weyne,170000.0
74,677398302,Apartamentos,230.0,50,2,2,1,Fortaleza,Álvaro Weyne,150000.0
75,873490623,Apartamentos,285.0,62,3,2,1,Fortaleza,Álvaro Weyne,242000.0
76,945170405,Apartamentos,330.0,62,3,2,1,Fortaleza,Álvaro Weyne,250000.0
77,961001921,Apartamentos,0.0,62,3,2,1,Fortaleza,Álvaro Weyne,245000.0
78,960706791,Apartamentos,300.0,55,2,1,1,Fortaleza,Álvaro Weyne,270000.0
79,801443498,Apartamentos,1.0,47,2,1,1,Fortaleza,Álvaro Weyne,182200.0
80,883252423,Apartamentos,0.0,54,2,1,0,Fortaleza,Álvaro Weyne,230000.0
81,959421096,Casas,0.0,0,1,1,0,Fortaleza,Álvaro Weyne,55000.0
82,959083054,Casas,0.0,0,3,1,0,Fortaleza,Álvaro Weyne,50000.0
83,957495620,Apartamentos,0.0,0,2,1,0,Fortaleza,Álvaro Weyne,75000.0
84,956958841,Casas,0.0,80,2,2,0,Fortaleza,Floresta,220000.0
85,743542678,Apartamentos,0.0,72,3,2,2,Fortaleza,São Gerardo,538000.0
86,954674083,Apartamentos,300.0,54,2,1,1,Fortaleza,Álvaro Weyne,250000.0
87,886401375,Casas,0.0,93,4,3,2,Fortaleza,Álvaro Weyne,400000.0
88,905562772,Apartamentos,330.0,62,3,2,1,Fortaleza,Álvaro Weyne,270000.0
89,771268764,Casas,0.0,180,3,2,,Fortaleza,São Gerardo,399900.0
90,758120543,Casas,0.0,0,4,3,,Fortaleza,São Gerardo,4500000.0
91,802148399,Casas,0.0,250,5 ou mais,5 ou mais,2,Fortaleza,São Gerardo,600000.0
92,764585518,Apartamentos,298.0,65,3,,2,Fortaleza,Álvaro Weyne,270000.0
93,684060985,Casas,0.0,80,3,2,1,Fortaleza,São Gerardo,250000.0
94,683493698,Casas,0.0,189,3,3,4,Fortaleza,Álvaro Weyne,315000.0
