,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,965237437,Casas,0.0,96,3,2,2,Fortaleza,Ancuri,180000.0
1,889762010,Casas,0.0,103,3,2,4,Fortaleza,Ancuri,229999.0
2,894940111,Casas,0.0,84,2,2,2,Fortaleza,Ancuri,145000.0
3,869015752,Casas,0.0,92,3,2,2,Fortaleza,Ancuri,170000.0
4,868991937,Casas,0.0,88,3,2,2,Fortaleza,Ancuri,165000.0
5,964229574,Casas,0.0,87,3,2,2,Fortaleza,Ancuri,165000.0
6,899196251,Casas,0.0,86,2,2,2,Fortaleza,Ancuri,160000.0
7,976346503,Casas,0.0,108,2,2,2,Fortaleza,Ancuri,85000.0
8,962832830,Casas,0.0,75,2,2,2,Fortaleza,Ancuri,165000.0
9,954460724,Casas,0.0,0,2,2,1,Fortaleza,Ancuri,148999.0
10,868950814,Casas,0.0,89,2,2,2,Fortaleza,Ancuri,155000.0
11,963240918,Casas,0.0,85,2,2,2,Fortaleza,Ancuri,160000.0
12,933708184,Casas,0.0,0,2,2,2,Fortaleza,Ancuri,160000.0
13,968292099,Apartamentos,0.0,50,2,1,1,Fortaleza,Ancuri,130000.0
14,975789781,Casas,0.0,97,3,3,2,Fortaleza,Ancuri,384000.0
15,961642297,Casas,0.0,86,2,1,2,Fortaleza,Ancuri,165000.0
16,780191217,Casas,0.0,85,2,2,2,Fortaleza,Ancuri,145000.0
17,918263504,Casas,0.0,85,2,2,2,Fortaleza,Ancuri,160000.0
18,913300654,Casas,0.0,89,2,2,2,Fortaleza,Ancuri,160000.0
19,960717946,Casas,0.0,84,2,2,1,Fortaleza,Ancuri,160000.0
20,956555790,Casas,0.0,90,2,2,3,Fortaleza,Ancuri,160000.0
21,964344862,Casas,0.0,96,3,2,2,Fortaleza,Ancuri,200000.0
22,975166584,Apartamentos,50.0,50,2,1,1,Fortaleza,Ancuri,122000.0
23,893635642,Casas,0.0,77,2,2,2,Fortaleza,Ancuri,165000.0
24,899873241,Casas,0.0,81,2,2,2,Fortaleza,Ancuri,145000.0
25,949625751,Apartamentos,0.0,50,2,2,1,Fortaleza,Ancuri,120000.0
26,869891810,Casas,0.0,81,2,2,2,Fortaleza,Ancuri,145000.0
27,872677725,Casas,0.0,89,3,2,2,Fortaleza,Ancuri,190000.0
28,913497948,Casas,0.0,80,2,2,2,Fortaleza,Ancuri,145000.0
29,874067357,Casas,0.0,95,3,2,2,Fortaleza,Ancuri,175000.0
30,962221714,Casas,0.0,82,2,2,2,Fortaleza,Ancuri,0.0
31,952846000,Casas,0.0,0,2,2,2,Fortaleza,Ancuri,149000.0
32,963318898,Casas,0.0,89,2,2,2,Fortaleza,Ancuri,170000.0
33,974019062,Casas,0.0,0,4,2,2,Fortaleza,Ancuri,50000.0
34,962016840,Casas,0.0,89,2,2,2,Fortaleza,Ancuri,175000.0
35,938222610,Casas,0.0,92,3,2,2,Fortaleza,Ancuri,0.0
36,917501019,Casas,0.0,89,2,2,4,Fortaleza,Ancuri,160000.0
37,951465555,Casas,0.0,0,3,2,2,Fortaleza,Ancuri,219000.0
38,953231387,Casas,0.0,92,3,2,2,Fortaleza,Ancuri,145000.0
39,889985565,Casas,0.0,86,2,2,3,Fortaleza,Ancuri,152000.0
40,949843942,Casas,0.0,103,3,2,2,Fortaleza,Ancuri,221000.0
41,869007075,Casas,0.0,84,2,2,2,Fortaleza,Ancuri,150000.0
42,946990261,Casas,0.0,96,3,2,5 ou mais,Fortaleza,Ancuri,170000.0
43,945653279,Casas,0.0,80,3,2,2,Fortaleza,Ancuri,165000.0
44,948106426,Casas,0.0,96,3,2,2,Fortaleza,Ancuri,199999.0
45,959541921,Casas,0.0,89,2,2,2,Fortaleza,Ancuri,160000.0
46,949844236,Casas,0.0,84,2,1,1,Fortaleza,Ancuri,155000.0
47,858668924,Casas,0.0,97,3,2,,Fortaleza,Ancuri,250000.0
48,923334909,Casas,0.0,96,3,2,2,Fortaleza,Ancuri,159999.0
49,970958972,Casas,0.0,94,3,2,4,Fortaleza,Ancuri,170000.0
50,957084283,Casas,0.0,96,3,2,4,Fortaleza,Ancuri,190000.0
51,957336893,Casas,0.0,82,2,2,2,Fortaleza,Ancuri,140000.0
52,950639612,Casas,0.0,103,3,2,3,Fortaleza,Ancuri,218900.0
53,970739592,Casas,0.0,0,2,2,1,Fortaleza,Ancuri,60000.0
54,956781697,Casas,0.0,892,2,2,2,Fortaleza,Ancuri,150000.0
55,932901007,Casas,0.0,125,2,2,2,Fortaleza,Ancuri,0.0
56,712926649,Casas,0.0,86,2,,2,Fortaleza,Ancuri,147000.0
57,663395743,Casas,0.0,96,2,2,3,Fortaleza,Ancuri,0.0
58,947025093,Casas,0.0,0,2,2,2,Fortaleza,Ancuri,135000.0
59,859423847,Casas,0.0,89,2,2,2,Fortaleza,Ancuri,165000.0
60,904122819,Casas,0.0,96,3,2,2,Fortaleza,Ancuri,162000.0
61,946249999,Casas,0.0,0,3,2,3,Fortaleza,Ancuri,190000.0
62,849786595,Casas,0.0,97,3,2,3,Fortaleza,Ancuri,249900.0
63,894163984,Casas,0.0,96,3,2,4,Fortaleza,Ancuri,165000.0
64,968672113,Casas,0.0,78,2,2,2,Fortaleza,Ancuri,165000.0
65,968670737,Casas,0.0,73,2,2,2,Fortaleza,Ancuri,150000.0
66,968659532,Casas,0.0,75,2,2,2,Fortaleza,Ancuri,166000.0
67,968657613,Apartamentos,0.0,50,2,1,1,Fortaleza,Ancuri,140000.0
68,968631049,Casas,0.0,89,3,2,3,Fortaleza,Ancuri,200000.0
69,968628903,Casas,0.0,103,3,2,2,Fortaleza,Ancuri,221000.0
70,968624956,Casas,0.0,86,2,2,2,Fortaleza,Ancuri,160000.0
71,858445926,Casas,0.0,88,2,2,2,Fortaleza,Ancuri,157000.0
72,660903390,Casas,0.0,84,2,2,3,Fortaleza,Ancuri,146990.0
73,968341848,Apartamentos,0.0,0,2,1,1,Fortaleza,Ancuri,18000.0
74,967980289,Casas,0.0,0,2,2,2,Fortaleza,Ancuri,157000.0
75,940908346,Apartamentos,0.0,43,2,2,5 ou mais,Fortaleza,Ancuri,0.0
76,894869433,Casas,0.0,82,2,2,2,Fortaleza,Ancuri,144000.0
77,942347417,Casas,0.0,0,2,2,1,Fortaleza,Ancuri,145000.0
78,942339837,Casas,0.0,0,2,2,2,Fortaleza,Ancuri,40000.0
79,946868448,Casas,0.0,97,3,3,2,Fortaleza,Ancuri,384000.0
80,669585898,Casas,0.0,80,2,2,2,Fortaleza,Ancuri,125000.0
81,960958019,Apartamentos,0.0,0,2,2,2,Fortaleza,Ancuri,0.0
82,938755640,Casas,0.0,0,2,2,2,Fortaleza,Ancuri,150000.0
83,938763413,Casas,0.0,0,2,2,2,Fortaleza,Ancuri,160000.0
84,914034857,Casas,0.0,80,3,3,2,Fortaleza,Ancuri,0.0
85,958807565,Casas,0.0,0,3,2,2,Fortaleza,Ancuri,199999.0
86,958258528,Casas,0.0,0,2,2,2,Fortaleza,Ancuri,160000.0
87,957940651,Casas,0.0,89,3,2,2,Fortaleza,Ancuri,160000.0
88,934577944,Apartamentos,0.0,0,2,1,1,Fortaleza,Ancuri,125900.0
