,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,801590907,Apartamentos,340.0,63,3,2,1,Fortaleza,Antônio Bezerra,240000.0
1,922409952,Casas,0.0,0,3,2,1,Fortaleza,Antônio Bezerra,250000.0
2,976993988,Casas,0.0,0,0,0,0,Fortaleza,Antônio Bezerra,65000.0
3,932972230,Casas,0.0,140,3,2,0,Fortaleza,Antônio Bezerra,200000.0
4,949483047,Apartamentos,322.0,107,3,2,2,Fortaleza,Antônio Bezerra,239000.0
5,946207730,Casas,300.0,87,3,2,2,Fortaleza,Antônio Bezerra,249000.0
6,937711762,Apartamentos,350.0,51,2,2,1,Fortaleza,Antônio Bezerra,301000.0
7,976178449,Casas,0.0,100,4,2,1,Fortaleza,Antônio Bezerra,130000.0
8,969151345,Apartamentos,250.0,64,3,3,1,Fortaleza,Antônio Bezerra,250000.0
9,975797596,Casas,0.0,130,3,2,2,Fortaleza,Antônio Bezerra,410000.0
10,975769748,Apartamentos,240.0,54,2,2,1,Fortaleza,Antônio Bezerra,170000.0
11,975677578,Casas,0.0,0,1,1,3,Fortaleza,Antônio Bezerra,100000.0
12,668388794,Casas,500.0,0,0,0,0,Fortaleza,Antônio Bezerra,0.0
13,975502815,Casas,0.0,72,1,2,,Fortaleza,Antônio Bezerra,260000.0
14,970215211,Apartamentos,250.0,63,3,3,1,Fortaleza,Antônio Bezerra,250000.0
15,935168619,Apartamentos,250.0,71,3,2,1,Fortaleza,Antônio Bezerra,230000.0
16,941196295,Apartamentos,120.0,50,2,2,1,Fortaleza,Antônio Bezerra,115000.0
17,972996593,Casas,0.0,93,3,2,1,Fortaleza,Antônio Bezerra,120000.0
18,974933380,Apartamentos,250.0,64,3,2,1,Fortaleza,Antônio Bezerra,235000.0
19,974924478,Casas,0.0,0,2,1,,Fortaleza,Antônio Bezerra,15000.0
20,955146538,Apartamentos,180.0,55,2,2,1,Fortaleza,Antônio Bezerra,200000.0
21,974033240,Casas,0.0,150,3,2,1,Fortaleza,Antônio Bezerra,160000.0
22,961220906,Apartamentos,0.0,56,2,1,1,Fortaleza,Antônio Bezerra,130000.0
23,847330496,Apartamentos,250.0,64,3,2,1,Fortaleza,Antônio Bezerra,250000.0
24,973573942,Casas,0.0,0,2,1,4,Fortaleza,Antônio Bezerra,60000.0
25,973553106,Apartamentos,0.0,63,3,2,0,Fortaleza,Antônio Bezerra,312000.0
26,971968904,Casas,0.0,0,2,1,1,Fortaleza,Antônio Bezerra,230000.0
27,960682444,Apartamentos,150.0,56,2,2,1,Fortaleza,Antônio Bezerra,180000.0
28,941299669,Apartamentos,275.0,60,2,2,1,Fortaleza,Antônio Bezerra,120000.0
29,923579998,Apartamentos,220.0,60,3,2,1,Fortaleza,Antônio Bezerra,139000.0
30,926734793,Casas,0.0,140,3,2,,Fortaleza,Antônio Bezerra,200000.0
31,972934390,Casas,0.0,0,3,2,1,Fortaleza,Antônio Bezerra,150000.0
32,932421459,Casas,200.0,60,2,1,1,Fortaleza,Antônio Bezerra,200000.0
33,907566832,Casas,170.0,90,2,1,3,Fortaleza,Antônio Bezerra,198000.0
34,915189472,Apartamentos,275.0,45,2,2,1,Fortaleza,Antônio Bezerra,140000.0
35,919811071,Casas,0.0,125,2,2,2,Fortaleza,Antônio Bezerra,0.0
36,919811115,Casas,0.0,125,2,2,2,Fortaleza,Antônio Bezerra,0.0
37,909963345,Casas,0.0,83,2,3,2,Fortaleza,Antônio Bezerra,330000.0
38,922146522,Apartamentos,250.0,71,3,2,1,Fortaleza,Antônio Bezerra,230000.0
39,969939915,Casas,0.0,340,5 ou mais,2,1,Fortaleza,Antônio Bezerra,400000.0
40,969917467,Apartamentos,230.0,50,2,1,1,Fortaleza,Antônio Bezerra,120000.0
41,969106894,Casas,0.0,130,3,2,2,Fortaleza,Antônio Bezerra,410000.0
42,849480846,Apartamentos,220.0,60,3,2,1,Fortaleza,Antônio Bezerra,140000.0
43,968382416,Apartamentos,400.0,93230,3,3,2,Fortaleza,Antônio Bezerra,200000.0
44,950937718,Apartamentos,270.0,60,2,2,1,Fortaleza,Antônio Bezerra,120000.0
