,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,917077193,Apartamentos,550.0,68,2,2,0,Fortaleza,Praia do Futuro II,350000.0
1,953361437,Apartamentos,645.0,78,3,3,2,Fortaleza,Praia do Futuro I,570000.0
2,942505583,Casas,0.0,600,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Praia do Futuro II,400000.0
3,969312524,Apartamentos,0.0,98,3,4,2,Fortaleza,Praia do Futuro I,750000.0
4,827064325,Apartamentos,0.0,60,2,2,2,Fortaleza,Praia do Futuro I,239999.0
5,930546803,Apartamentos,1100.0,82,2,2,1,Fortaleza,Praia do Futuro II,550000.0
6,955351736,Apartamentos,490.0,51,2,2,1,Fortaleza,Praia do Futuro II,385000.0
7,947093695,Apartamentos,1600.0,180,3,4,2,Fortaleza,Praia do Futuro I,430000.0
8,977200418,Apartamentos,400.0,59,3,2,1,Fortaleza,Praia do Futuro II,295000.0
9,963186015,Casas,620.0,117,3,4,0,Fortaleza,Praia do Futuro I,920000.0
10,964967563,Casas,0.0,419,5 ou mais,4,5 ou mais,Fortaleza,Praia do Futuro II,3000000.0
11,961431489,Apartamentos,2200.0,166,3,4,4,Fortaleza,Praia do Futuro II,1360000.0
12,929593114,Casas,685.0,117,3,4,2,Fortaleza,Praia do Futuro I,760000.0
13,907565760,Apartamentos,560.0,58,2,2,1,Fortaleza,Praia do Futuro II,420000.0
14,977122850,Apartamentos,0.0,0,3,2,,Fortaleza,Praia do Futuro I,300000.0
15,948180467,Apartamentos,530.0,51,2,1,0,Fortaleza,Praia do Futuro II,385000.0
16,816390556,Apartamentos,2200.0,166,4,4,4,Fortaleza,Praia do Futuro II,1400000.0
17,969845835,Casas,685.0,117,3,4,2,Fortaleza,Praia do Futuro I,799277.0
18,949477782,Apartamentos,470.0,39,1,1,1,Fortaleza,Praia do Futuro II,335000.0
19,925401495,Casas,700.0,141,3,3,3,Fortaleza,Praia do Futuro I,750000.0
20,923691799,Casas,685.0,117,3,3,2,Fortaleza,Praia do Futuro II,762000.0
21,954006531,Casas,685.0,117,3,3,2,Fortaleza,Praia do Futuro I,806101.0
22,971780449,Casas,0.0,600,5 ou mais,5 ou mais,4,Fortaleza,Praia do Futuro I,1790000.0
23,969509269,Apartamentos,490.0,52,2,1,1,Fortaleza,Praia do Futuro II,390000.0
24,952444942,Apartamentos,750.0,58,2,1,1,Fortaleza,Praia do Futuro II,570000.0
25,976829445,Apartamentos,350.0,79,2,2,1,Fortaleza,Praia do Futuro II,400000.0
26,976797581,Casas,685.0,117,3,4,2,Fortaleza,Praia do Futuro I,760500.0
27,976797577,Casas,685.0,117,3,4,2,Fortaleza,Praia do Futuro I,760500.0
28,976757600,Apartamentos,0.0,161,3,3,1,Fortaleza,Praia do Futuro I,239000.0
29,964454144,Casas,1087.0,186,4,4,1,Fortaleza,Praia do Futuro I,1265000.0
30,888572800,Casas,1003.0,205,4,5 ou mais,0,Fortaleza,Praia do Futuro I,1238620.0
31,969522979,Apartamentos,450.0,68,2,2,1,Fortaleza,Praia do Futuro II,310000.0
32,959072463,Apartamentos,747.0,59,2,2,1,Fortaleza,Praia do Futuro II,420000.0
33,967298943,Apartamentos,0.0,61,3,3,2,Fortaleza,Praia do Futuro II,474500.0
34,771170227,Apartamentos,1000.0,83,3,2,2,Fortaleza,Praia do Futuro II,720000.0
35,971780409,Apartamentos,580.0,51,2,2,1,Fortaleza,Praia do Futuro II,330000.0
36,926646605,Casas,0.0,180,3,2,2,Fortaleza,Praia do Futuro I,0.0
37,926646359,Casas,0.0,125,2,2,2,Fortaleza,Praia do Futuro I,0.0
38,926646330,Casas,0.0,125,2,2,2,Fortaleza,Praia do Futuro I,0.0
39,895437408,Apartamentos,780.0,60,2,2,1,Fortaleza,Praia do Futuro II,439000.0
40,921709069,Apartamentos,550.0,36,1,1,1,Fortaleza,Praia do Futuro II,315000.0
41,905359938,Apartamentos,680.0,60,2,2,2,Fortaleza,Praia do Futuro I,230000.0
42,644676568,Apartamentos,790.0,58,2,2,1,Fortaleza,Praia do Futuro II,475000.0
43,864698210,Apartamentos,650.0,61,2,2,1,Fortaleza,Praia do Futuro I,297000.0
44,976207859,Apartamentos,980.0,240,2,3,2,Fortaleza,Praia do Futuro I,390000.0
45,976185747,Casas,0.0,117,3,4,2,Fortaleza,Praia do Futuro I,795100.0
46,967128653,Apartamentos,598.0,58,2,2,1,Fortaleza,Praia do Futuro II,455000.0
47,969038528,Apartamentos,0.0,58,2,2,1,Fortaleza,Praia do Futuro II,460000.0
48,952227583,Apartamentos,638.0,62,2,1,1,Fortaleza,Praia do Futuro II,465000.0
