,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,827021266,Apartamentos,280.0,47,2,1,1,Fortaleza,Barra do Ceará,145000.0
1,924123064,Casas,0.0,800,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Barra do Ceará,900000.0
2,928111546,Casas,0.0,125,2,2,2,Fortaleza,Barra do Ceará,0.0
3,928111562,Casas,0.0,125,2,2,2,Fortaleza,Barra do Ceará,0.0
4,951128676,Casas,0.0,160,3,2,2,Fortaleza,Barra do Ceará,270000.0
5,952448166,Casas,0.0,67,3,1,5 ou mais,Fortaleza,Barra do Ceará,265000.0
6,976964621,Apartamentos,1200.0,143,2,3,2,Fortaleza,Barra do Ceará,690000.0
7,923968534,Apartamentos,327.0,61,3,2,1,Fortaleza,Barra do Ceará,245000.0
8,672939343,Casas,0.0,0,3,2,2,Fortaleza,Barra do Ceará,290000.0
9,952951796,Apartamentos,363.0,62,3,2,1,Fortaleza,Barra do Ceará,215000.0
10,976631425,Casas,0.0,100,3,2,2,Fortaleza,Barra do Ceará,480000.0
11,920263813,Casas,0.0,125,2,2,2,Fortaleza,Barra do Ceará,0.0
12,920263786,Casas,0.0,125,2,2,2,Fortaleza,Barra do Ceará,0.0
13,967155852,Casas,0.0,200,3,2,2,Fortaleza,Barra do Ceará,400000.0
14,976267815,Casas,0.0,0,1,1,0,Fortaleza,Barra do Ceará,55000.0
15,923195638,Casas,0.0,231,4,3,1,Fortaleza,Barra do Ceará,350000.0
16,951130098,Casas,0.0,400,4,5 ou mais,3,Fortaleza,Barra do Ceará,510000.0
17,976188551,Casas,0.0,58,2,2,0,Fortaleza,Barra do Ceará,110000.0
18,976020565,Casas,0.0,0,2,1,0,Fortaleza,Barra do Ceará,0.0
19,975936594,Casas,0.0,0,5 ou mais,2,,Fortaleza,Barra do Ceará,85000.0
20,975789733,Apartamentos,300.0,57,2,2,1,Fortaleza,Barra do Ceará,175000.0
21,969111099,Apartamentos,0.0,62,3,2,1,Fortaleza,Barra do Ceará,215000.0
22,955433514,Casas,0.0,150,3,2,3,Fortaleza,Barra do Ceará,380000.0
23,971140191,Casas,0.0,196,3,3,2,Fortaleza,Barra do Ceará,20000.0
24,975249824,Casas,0.0,120,3,2,1,Fortaleza,Barra do Ceará,20000.0
25,969376806,Casas,0.0,220,3,1,2,Fortaleza,Barra do Ceará,15000.0
26,879797450,Casas,0.0,152,0,0,0,Fortaleza,Barra do Ceará,255000.0
27,975002939,Casas,0.0,592,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Barra do Ceará,500000.0
28,935146510,Apartamentos,370.0,62,3,1,1,Fortaleza,Barra do Ceará,245000.0
29,970519769,Apartamentos,600.0,53,2,2,1,Fortaleza,Barra do Ceará,285000.0
30,951127399,Casas,0.0,160,3,2,5 ou mais,Fortaleza,Barra do Ceará,290000.0
31,927661832,Casas,0.0,100,2,1,4,Fortaleza,Barra do Ceará,300000.0
32,974404337,Casas,0.0,150,3,2,2,Fortaleza,Barra do Ceará,21000.0
33,936376268,Casas,0.0,160,3,2,5 ou mais,Fortaleza,Barra do Ceará,290000.0
34,920289869,Casas,0.0,125,2,2,2,Fortaleza,Barra do Ceará,0.0
35,920289831,Casas,0.0,125,2,2,2,Fortaleza,Barra do Ceará,0.0
36,850825772,Apartamentos,750.0,130,4,3,2,Fortaleza,Barra do Ceará,410000.0
37,923996197,Apartamentos,280.0,44,2,1,1,Fortaleza,Barra do Ceará,150000.0
38,974075800,Apartamentos,0.0,90,3,2,2,Fortaleza,Barra do Ceará,110000.0
39,941372505,Apartamentos,1.0,70,3,2,2,Fortaleza,Barra do Ceará,395000.0
40,935884377,Casas,0.0,400,4,5 ou mais,3,Fortaleza,Barra do Ceará,510000.0
41,973747654,Apartamentos,40.0,0,2,1,1,Fortaleza,Barra do Ceará,52000.0
42,973477929,Casas,0.0,100000,2,2,0,Fortaleza,Barra do Ceará,100000.0
43,969051211,Casas,0.0,125,3,2,3,Fortaleza,Barra do Ceará,400000.0
44,973454996,Casas,0.0,40,1,1,0,Fortaleza,Barra do Ceará,37000.0
45,973408770,Casas,0.0,128,3,3,1,Fortaleza,Barra do Ceará,20000.0
46,825153045,Apartamentos,315.0,52,2,1,1,Fortaleza,Barra do Ceará,240000.0
47,973260243,Casas,0.0,80,2,2,1,Fortaleza,Barra do Ceará,60000.0
48,973130555,Casas,0.0,0,1,1,0,Fortaleza,Barra do Ceará,15000.0
49,866334549,Casas,0.0,120,1,1,0,Fortaleza,Barra do Ceará,80000.0
50,920282000,Casas,0.0,125,2,2,2,Fortaleza,Barra do Ceará,0.0
51,920282133,Casas,0.0,125,2,2,2,Fortaleza,Barra do Ceará,0.0
52,924123139,Apartamentos,0.0,44,2,1,1,Fortaleza,Barra do Ceará,130000.0
53,924123132,Casas,0.0,188,3,3,1,Fortaleza,Barra do Ceará,230000.0
54,972297979,Casas,0.0,850,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Barra do Ceará,1800000.0
55,972266619,Casas,0.0,0,2,2,1,Fortaleza,Barra do Ceará,35000.0
56,911522467,Casas,0.0,125,2,2,2,Fortaleza,Barra do Ceará,0.0
57,971486339,Apartamentos,0.0,98,3,2,2,Fortaleza,Barra do Ceará,180000.0
58,971107700,Casas,0.0,90,2,2,0,Fortaleza,Barra do Ceará,0.0
59,625557158,Apartamentos,0.0,51,2,2,1,Fortaleza,Barra do Ceará,320000.0
60,944265816,Apartamentos,0.0,67,3,2,1,Fortaleza,Barra do Ceará,220000.0
61,970064974,Casas,0.0,0,2,1,,Fortaleza,Barra do Ceará,28000.0
62,941472351,Casas,0.0,0,3,2,1,Fortaleza,Barra do Ceará,135000.0
63,348734301,Casas,0.0,231,5 ou mais,,5 ou mais,Fortaleza,Barra do Ceará,680000.0
64,969198602,Casas,0.0,0,4,3,1,Fortaleza,Barra do Ceará,150000.0
