,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,972297833,Casas,290.0,77,3,3,2,Fortaleza,Barroso,279000.0
1,917141709,Casas,0.0,77,2,3,2,Fortaleza,Barroso,279000.0
2,904333492,Apartamentos,0.0,41,2,1,,Fortaleza,Barroso,158896.0
3,971855326,Casas,0.0,0,1,1,0,Fortaleza,Barroso,40000000.0
4,941759994,Apartamentos,330.0,65,3,2,1,Fortaleza,Barroso,180000.0
5,886574573,Apartamentos,200.0,50,2,1,1,Fortaleza,Barroso,120000.0
6,886579159,Casas,290.0,77,2,2,2,Fortaleza,Barroso,292000.0
7,970915459,Casas,0.0,130,4,3,2,Fortaleza,Barroso,250000.0
8,955796561,Apartamentos,0.0,42,2,1,1,Fortaleza,Barroso,148000.0
9,970829221,Apartamentos,330.0,64,3,2,1,Fortaleza,Barroso,170000.0
10,961949422,Apartamentos,450.0,95,3,3,2,Fortaleza,Barroso,399000.0
11,894331832,Casas,0.0,152,2,2,5 ou mais,Fortaleza,Barroso,330000.0
12,894331714,Apartamentos,200.0,54,2,1,1,Fortaleza,Barroso,135000.0
13,923945137,Casas,1.0,76,2,2,2,Fortaleza,Barroso,279000.0
14,811982082,Apartamentos,0.0,0,3,3,1,Fortaleza,Barroso,130000.0
15,812803134,Apartamentos,225.0,80,3,2,2,Fortaleza,Barroso,155000.0
16,968049325,Apartamentos,0.0,0,2,0,1,Fortaleza,Barroso,157896.0
17,894341244,Casas,0.0,120,3,3,2,Fortaleza,Barroso,250000.0
18,625532003,Casas,290.0,77,3,3,2,Fortaleza,Barroso,269000.0
19,967850106,Casas,0.0,400,4,3,3,Fortaleza,Barroso,380000.0
20,904025706,Apartamentos,270.0,80,3,2,1,Fortaleza,Barroso,155000.0
21,886574045,Apartamentos,350.0,64,3,1,2,Fortaleza,Barroso,165000.0
22,966635675,Casas,0.0,0,4,2,1,Fortaleza,Barroso,125000.0
23,838968863,Casas,360.0,76,2,1,2,Fortaleza,Barroso,279000.0
24,916734969,Casas,115.0,123,2,1,2,Fortaleza,Barroso,180000.0
25,966348710,Apartamentos,0.0,0,2,1,,Fortaleza,Barroso,20000.0
26,934074276,Casas,0.0,193,4,4,3,Fortaleza,Barroso,320000.0
27,888809956,Casas,250.0,77,3,3,2,Fortaleza,Barroso,298000.0
28,895030090,Casas,0.0,90,3,2,3,Fortaleza,Barroso,290000.0
29,886579519,Apartamentos,320.0,53,2,2,1,Fortaleza,Barroso,160000.0
30,964559582,Apartamentos,0.0,0,2,1,1,Fortaleza,Barroso,130000.0
31,952699411,Apartamentos,165.0,55,2,1,1,Fortaleza,Barroso,120000.0
32,964334408,Casas,0.0,0,1,1,0,Fortaleza,Barroso,350000.0
33,947768155,Apartamentos,330.0,67,3,2,1,Fortaleza,Barroso,180000.0
34,964302213,Casas,0.0,0,2,,,Fortaleza,Barroso,70000.0
35,907567483,Apartamentos,320.0,59,2,2,1,Fortaleza,Barroso,150000.0
36,907567109,Casas,0.0,320,3,1,3,Fortaleza,Barroso,289000.0
37,963767890,Casas,0.0,0,1,1,0,Fortaleza,Barroso,0.0
38,963558939,Casas,0.0,25,2,2,1,Fortaleza,Barroso,55000.0
39,898267072,Apartamentos,330.0,65,3,2,1,Fortaleza,Barroso,180000.0
40,961573139,Casas,290.0,80,3,3,2,Fortaleza,Barroso,290000.0
41,961382336,Casas,0.0,325,1,1,0,Fortaleza,Barroso,75000.0
42,960787897,Casas,0.0,198,3,2,2,Fortaleza,Barroso,150000.0
43,960592951,Apartamentos,0.0,0,2,1,1,Fortaleza,Barroso,20000.0
44,960306406,Apartamentos,200.0,55,2,1,1,Fortaleza,Barroso,128000.0
45,958592075,Casas,0.0,110,3,2,1,Fortaleza,Barroso,150000.0
46,958161865,Casas,0.0,58,2,1,1,Fortaleza,Barroso,65000.0
47,956959648,Casas,0.0,0,4,2,0,Fortaleza,Barroso,135000.0
48,956550877,Casas,0.0,0,2,,,Fortaleza,Barroso,30000.0
49,956450729,Apartamentos,0.0,71,3,2,0,Fortaleza,Barroso,38000.0
50,955955898,Casas,0.0,0,3,2,1,Fortaleza,Barroso,65000.0
51,955745969,Casas,0.0,0,1,1,,Fortaleza,Barroso,25000.0
52,955631371,Casas,0.0,0,0,,,Fortaleza,Barroso,1000.0
53,955130111,Casas,0.0,0,2,1,1,Fortaleza,Barroso,90000.0
54,954702832,Apartamentos,0.0,41,2,1,1,Fortaleza,Barroso,148288.0
55,953195810,Apartamentos,0.0,41,2,2,1,Fortaleza,Barroso,144380.0
56,940099151,Apartamentos,0.0,45,2,2,1,Fortaleza,Barroso,183734.0
57,940099346,Apartamentos,0.0,41,2,1,1,Fortaleza,Barroso,175000.0
58,905564903,Casas,290.0,76,2,3,2,Fortaleza,Barroso,280000.0
