,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,670304560,Apartamentos,0.0,61,3,2,1,Fortaleza,Bela Vista,279999.0
1,974683741,Apartamentos,0.0,73,3,1,1,Fortaleza,Bela Vista,200000.0
2,900202034,Apartamentos,580.0,84,3,1,1,Fortaleza,Bela Vista,495000.0
3,977043695,Casas,0.0,380,1,1,0,Fortaleza,Bela Vista,30000.0
4,956233454,Casas,0.0,500,5 ou mais,5 ou mais,4,Fortaleza,Bela Vista,520000.0
5,961543116,Apartamentos,464.0,75,3,3,1,Fortaleza,Bela Vista,257000.0
6,956210933,Casas,0.0,198,3,2,2,Fortaleza,Bela Vista,430000.0
7,972053484,Casas,0.0,182,4,2,2,Fortaleza,Bela Vista,290000.0
8,892510036,Apartamentos,0.0,61,3,2,1,Fortaleza,Bela Vista,279999.0
9,976038786,Apartamentos,230.0,55,2,2,2,Fortaleza,Bela Vista,120000.0
10,976025446,Casas,0.0,0,1,1,0,Fortaleza,Bela Vista,65000.0
11,975846108,Apartamentos,0.0,50,2,1,0,Fortaleza,Bela Vista,76000.0
12,975753546,Casas,0.0,181,4,2,1,Fortaleza,Bela Vista,290000.0
13,975578218,Casas,0.0,198,3,3,3,Fortaleza,Bela Vista,460000.0
14,940394899,Apartamentos,300.0,55,2,2,1,Fortaleza,Bela Vista,125000.0
15,942002067,Apartamentos,200.0,57,2,2,1,Fortaleza,Bela Vista,145000.0
16,971139724,Casas,0.0,186,2,2,1,Fortaleza,Bela Vista,15000.0
17,761242774,Apartamentos,0.0,62,3,2,2,Fortaleza,Bela Vista,290000.0
18,972208687,Apartamentos,0.0,60,3,2,1,Fortaleza,Bela Vista,180000.0
19,947082929,Apartamentos,449.0,90,3,2,1,Fortaleza,Bela Vista,180000.0
20,920483708,Casas,0.0,125,2,2,2,Fortaleza,Bela Vista,0.0
21,920483673,Casas,0.0,125,2,2,2,Fortaleza,Bela Vista,0.0
22,971233411,Casas,0.0,0,4,2,0,Fortaleza,Bela Vista,280000.0
23,971003440,Casas,0.0,0,1,1,,Fortaleza,Bela Vista,58000.0
24,969915853,Casas,0.0,0,1,1,0,Fortaleza,Bela Vista,70000.0
25,879955783,Apartamentos,259.0,65,2,2,1,Fortaleza,Bela Vista,140000.0
26,969101878,Casas,0.0,0,3,2,2,Fortaleza,Bela Vista,270000.0
27,968189181,Casas,0.0,0,1,1,1,Fortaleza,Bela Vista,69500.0
28,842883927,Apartamentos,230.0,53,2,2,1,Fortaleza,Bela Vista,129500.0
29,549752047,Apartamentos,230.0,56,2,2,1,Fortaleza,Bela Vista,129000.0
30,966811570,Apartamentos,0.0,36,2,2,0,Fortaleza,Bela Vista,40000.0
31,966261719,Apartamentos,230.0,53,2,2,1,Fortaleza,Bela Vista,130000.0
32,965496922,Casas,0.0,130,3,3,1,Fortaleza,Bela Vista,250000.0
33,821568574,Apartamentos,315.0,62,3,2,2,Fortaleza,Bela Vista,279999.0
34,813473752,Casas,0.0,0,2,1,2,Fortaleza,Bela Vista,299000.0
35,962167354,Casas,0.0,0,1,1,0,Fortaleza,Bela Vista,17000.0
36,907566661,Apartamentos,250.0,60,2,2,1,Fortaleza,Bela Vista,130000.0
37,832952694,Apartamentos,0.0,62,3,2,1,Fortaleza,Bela Vista,326427.0
38,958808566,Casas,0.0,0,2,2,1,Fortaleza,Bela Vista,149900.0
39,957683108,Apartamentos,0.0,0,2,2,1,Fortaleza,Bela Vista,120000.0
40,931667370,Casas,0.0,186,3,3,2,Fortaleza,Bela Vista,320000.0
41,955489208,Apartamentos,230.0,65,2,2,1,Fortaleza,Bela Vista,135000.0
42,942923207,Apartamentos,50.0,350,5 ou mais,,5 ou mais,Fortaleza,Bela Vista,780000.0
43,931474888,Casas,0.0,189,3,3,2,Fortaleza,Bela Vista,230000.0
