,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,977405632,Apartamentos,530.0,88,3,3,1,Fortaleza,Benfica,220000.0
1,977405399,Apartamentos,320.0,81,3,2,1,Fortaleza,Benfica,275000.0
2,977405396,Apartamentos,350.0,81,3,2,1,Fortaleza,Benfica,300000.0
3,972299794,Apartamentos,0.0,76,3,2,2,Fortaleza,Benfica,510000.0
4,966197691,Apartamentos,400.0,78,3,2,2,Fortaleza,Benfica,320000.0
5,974939780,Apartamentos,131.0,21,1,1,0,Fortaleza,Benfica,60000.0
6,775578876,Casas,0.0,264,5 ou mais,3,1,Fortaleza,Benfica,399000.0
7,934647613,Apartamentos,0.0,57,2,1,1,Fortaleza,Benfica,305364.0
8,928345304,Apartamentos,0.0,56,3,2,1,Fortaleza,Benfica,410000.0
9,877596962,Apartamentos,0.0,56,2,1,1,Fortaleza,Benfica,374749.0
10,967159074,Apartamentos,400.0,75,3,2,2,Fortaleza,Benfica,310000.0
11,907566756,Apartamentos,614.0,106,3,1,2,Fortaleza,Benfica,200000.0
12,977091201,Apartamentos,0.0,101,4,2,1,Fortaleza,Benfica,440720.0
13,893735682,Apartamentos,450.0,81,3,2,1,Fortaleza,Benfica,250000.0
14,946017249,Apartamentos,0.0,56,2,1,0,Fortaleza,Benfica,415000.0
15,976958012,Casas,0.0,300,4,3,4,Fortaleza,Benfica,670000.0
16,967712442,Apartamentos,0.0,58,2,2,2,Fortaleza,Benfica,500000.0
17,871816541,Apartamentos,480.0,77,3,2,2,Fortaleza,Benfica,280000.0
18,921756002,Apartamentos,0.0,76,3,2,2,Fortaleza,Benfica,540000.0
19,886401696,Apartamentos,0.0,76,3,1,2,Fortaleza,Benfica,483926.0
20,976714948,Apartamentos,450.0,95,3,2,2,Fortaleza,Benfica,300000.0
21,897614350,Apartamentos,1.0,97,2,1,1,Fortaleza,Benfica,499665.0
22,923776863,Apartamentos,0.0,56,2,2,2,Fortaleza,Benfica,390000.0
23,948867411,Apartamentos,640.0,113,3,2,1,Fortaleza,Benfica,350000.0
24,964151653,Apartamentos,0.0,56,2,2,1,Fortaleza,Benfica,410000.0
25,959978043,Casas,0.0,411,5 ou mais,3,0,Fortaleza,Benfica,500000.0
26,950164791,Casas,0.0,600,4,2,2,Fortaleza,Benfica,300000.0
27,924125847,Apartamentos,647.0,92,3,3,1,Fortaleza,Benfica,250000.0
28,947405709,Apartamentos,650.0,113,3,3,1,Fortaleza,Benfica,380000.0
29,976514445,Casas,0.0,216,2,1,2,Fortaleza,Benfica,120000.0
30,974949953,Casas,0.0,150,5 ou mais,2,2,Fortaleza,Benfica,650000.0
31,945668449,Casas,0.0,120,3,2,1,Fortaleza,Benfica,360000.0
32,969744221,Apartamentos,820.0,100,4,2,1,Fortaleza,Benfica,400000.0
33,976298870,Apartamentos,800.0,122,3,3,1,Fortaleza,Benfica,300000.0
34,971885278,Apartamentos,520.0,70,3,3,1,Fortaleza,Benfica,200000.0
35,976222253,Apartamentos,650.0,93,3,3,1,Fortaleza,Benfica,235000.0
36,823809553,Apartamentos,535.0,90,3,3,2,Fortaleza,Benfica,750000.0
37,907566135,Apartamentos,400.0,100,3,3,1,Fortaleza,Benfica,280000.0
38,889263825,Apartamentos,660.0,100,3,2,1,Fortaleza,Benfica,400000.0
39,963547043,Apartamentos,970.0,101,3,2,1,Fortaleza,Benfica,440000.0
40,791493189,Apartamentos,0.0,56,2,2,1,Fortaleza,Benfica,502113.0
41,888809675,Apartamentos,0.0,76,3,2,2,Fortaleza,Benfica,722891.0
42,972296881,Apartamentos,650.0,93,3,3,1,Fortaleza,Benfica,280000.0
43,976046279,Apartamentos,0.0,70,3,2,2,Fortaleza,Benfica,437172.0
44,971502227,Apartamentos,820.0,101,3,2,1,Fortaleza,Benfica,400000.0
45,921949977,Casas,0.0,125,2,2,2,Fortaleza,Benfica,0.0
46,921950013,Casas,0.0,125,2,2,2,Fortaleza,Benfica,0.0
47,877596961,Apartamentos,0.0,75,3,1,2,Fortaleza,Benfica,576309.0
48,975890658,Apartamentos,456.0,62,2,2,2,Fortaleza,Benfica,380000.0
49,888807848,Apartamentos,0.0,76,3,2,2,Fortaleza,Benfica,715734.0
50,791097950,Casas,0.0,275,5 ou mais,3,0,Fortaleza,Benfica,275000.0
51,952902429,Apartamentos,435.0,67,3,2,2,Fortaleza,Benfica,569000.0
52,791493227,Apartamentos,0.0,75,3,2,2,Fortaleza,Benfica,694492.0
53,975789598,Apartamentos,0.0,57,2,1,1,Fortaleza,Benfica,400000.0
54,975789514,Apartamentos,0.0,57,2,1,2,Fortaleza,Benfica,331221.0
55,975789402,Apartamentos,0.0,76,3,1,2,Fortaleza,Benfica,483926.0
56,975789250,Apartamentos,0.0,68,3,1,2,Fortaleza,Benfica,441386.0
57,972299719,Apartamentos,0.0,68,3,2,2,Fortaleza,Benfica,455000.0
58,916735012,Apartamentos,550.0,75,3,3,1,Fortaleza,Benfica,230000.0
59,818188176,Apartamentos,0.0,76,3,2,2,Fortaleza,Benfica,540000.0
