,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,977345146,Apartamentos,0.0,11,2,1,,Fortaleza,Bom Jardim,30000.0
1,962427259,Casas,0.0,92,3,2,2,Fortaleza,Siqueira,190000.0
2,954858485,Casas,0.0,1000,5 ou mais,5 ou mais,4,Fortaleza,Siqueira,0.0
3,852663954,Apartamentos,0.0,54,2,1,1,Fortaleza,Bom Jardim,152000.0
4,964881669,Apartamentos,0.0,52,2,1,5 ou mais,Fortaleza,Bom Jardim,3600000.0
5,977184749,Casas,0.0,98,3,2,2,Fortaleza,Siqueira,239000.0
6,977166312,Casas,0.0,0,1,,,Fortaleza,Canindezinho,60000.0
7,977163932,Apartamentos,0.0,0,2,1,,Fortaleza,Siqueira,20000.0
8,977150793,Casas,0.0,0,2,1,,Fortaleza,Siqueira,20000.0
9,879955806,Casas,0.0,100,2,2,3,Fortaleza,Canindezinho,260000.0
10,977087761,Casas,0.0,1400,2,1,5 ou mais,Fortaleza,Canindezinho,75000.0
11,976965816,Casas,0.0,0,3,,,Fortaleza,Siqueira,0.0
12,976961915,Apartamentos,0.0,0,3,1,0,Fortaleza,Siqueira,50000.0
13,976906988,Casas,0.0,0,2,2,2,Fortaleza,Siqueira,20000.0
14,976905268,Apartamentos,100.0,0,2,1,1,Fortaleza,Siqueira,70000.0
15,976867635,Apartamentos,1900.0,225,4,0,1,Fortaleza,Bom Jardim,570000.0
16,976796009,Casas,0.0,100,0,,,Fortaleza,Bom Jardim,120000.0
17,976600925,Casas,0.0,100,2,1,1,Fortaleza,Bom Jardim,50000.0
18,976431696,Casas,0.0,70,2,2,1,Fortaleza,Siqueira,0.0
19,976377594,Casas,0.0,0,3,3,3,Fortaleza,Siqueira,420000.0
20,976374861,Casas,0.0,0,3,3,3,Fortaleza,Siqueira,275000.0
21,976374148,Casas,0.0,0,3,3,3,Fortaleza,Siqueira,285000.0
22,976374111,Casas,0.0,0,3,3,3,Fortaleza,Siqueira,515000.0
23,976354539,Apartamentos,0.0,0,2,1,1,Fortaleza,Canindezinho,115000.0
24,969112039,Casas,0.0,93,2,3,3,Fortaleza,Siqueira,185000.0
25,976175664,Casas,150.0,63,2,2,1,Fortaleza,Siqueira,290000.0
26,976164189,Casas,0.0,83,2,1,3,Fortaleza,Bom Jardim,150000.0
27,976123220,Apartamentos,0.0,0,2,1,1,Fortaleza,Canindezinho,115003.0
28,976112536,Apartamentos,0.0,0,2,1,1,Fortaleza,Siqueira,149003.0
29,976015598,Apartamentos,0.0,0,2,2,3,Fortaleza,Siqueira,138000.0
30,976013145,Casas,0.0,0,2,2,4,Fortaleza,Siqueira,220000.0
31,975934158,Apartamentos,0.0,52,2,2,1,Fortaleza,Siqueira,140000.0
32,975932703,Casas,0.0,0,3,3,3,Fortaleza,Siqueira,575000.0
33,975912776,Casas,0.0,0,3,3,3,Fortaleza,Siqueira,3000000.0
34,975910828,Casas,0.0,0,3,3,3,Fortaleza,Siqueira,782000.0
35,961183348,Casas,0.0,160,5 ou mais,2,2,Fortaleza,Siqueira,197000.0
36,853581125,Apartamentos,0.0,330,0,0,0,Fortaleza,Bom Jardim,105000.0
37,975663448,Casas,0.0,0,3,1,2,Fortaleza,Siqueira,170000.0
38,975655591,Casas,0.0,240,3,2,2,Fortaleza,Siqueira,170000.0
39,801306665,Apartamentos,1.0,45,2,1,1,Fortaleza,Siqueira,135000.0
40,975566074,Casas,0.0,150,0,,,Fortaleza,Bom Jardim,75000.0
41,975496234,Apartamentos,0.0,44,2,1,1,Fortaleza,Siqueira,153000.0
42,969111997,Casas,0.0,96,2,2,3,Fortaleza,Siqueira,230000.0
43,894334961,Apartamentos,0.0,44,2,1,1,Fortaleza,Siqueira,149000.0
44,975458137,Casas,0.0,0,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Siqueira,160000.0
45,975416679,Casas,0.0,60,2,2,1,Fortaleza,Canindezinho,0.0
46,950412494,Casas,0.0,92,2,3,2,Fortaleza,Siqueira,185000.0
47,945593651,Casas,0.0,96,2,2,2,Fortaleza,Siqueira,210000.0
48,975318665,Apartamentos,0.0,57,2,2,1,Fortaleza,Siqueira,157000.0
49,975312657,Casas,0.0,30,2,2,1,Fortaleza,Siqueira,140000.0
50,975277151,Casas,0.0,0,3,1,,Fortaleza,Siqueira,40000.0
51,952911291,Apartamentos,0.0,165,3,4,3,Fortaleza,Siqueira,2000000.0
52,975261484,Casas,0.0,65,2,2,2,Fortaleza,Canindezinho,130000.0
53,975255502,Apartamentos,0.0,0,2,1,1,Fortaleza,Siqueira,150000.0
54,975255117,Casas,0.0,0,1,1,1,Fortaleza,Canindezinho,80000.0
55,975229866,Apartamentos,0.0,0,2,1,1,Fortaleza,Siqueira,20000.0
56,975212949,Casas,0.0,0,2,1,,Fortaleza,Siqueira,16000.0
57,962877887,Casas,0.0,89,3,2,,Fortaleza,Siqueira,190000.0
58,950374221,Casas,0.0,92,3,2,2,Fortaleza,Siqueira,190000.0
59,974927423,Casas,0.0,150,2,2,2,Fortaleza,Siqueira,185000.0
60,974873884,Casas,0.0,0,2,3,0,Fortaleza,Bom Jardim,120.0
61,974864127,Casas,0.0,198,3,3,2,Fortaleza,Bom Jardim,0.0
62,952737434,Apartamentos,0.0,105,3,2,2,Fortaleza,Siqueira,249990.0
63,742342091,Apartamentos,0.0,50,2,1,1,Fortaleza,Siqueira,152000.0
64,949485681,Apartamentos,0.0,44,2,1,1,Fortaleza,Siqueira,141500.0
65,974654411,Apartamentos,0.0,0,2,1,1,Fortaleza,Siqueira,149002.0
66,974654407,Apartamentos,0.0,0,2,1,1,Fortaleza,Canindezinho,115002.0
67,949483558,Casas,0.0,90,2,3,2,Fortaleza,Siqueira,175000.0
68,974525687,Casas,0.0,290,4,2,1,Fortaleza,Canindezinho,180000.0
69,959971457,Casas,0.0,55,3,3,2,Fortaleza,Siqueira,220000.0
70,965163251,Apartamentos,0.0,35,1,1,0,Fortaleza,Siqueira,57500.0
71,955795453,Casas,0.0,63,2,2,2,Fortaleza,Siqueira,185000.0
72,974348508,Casas,0.0,0,2,1,,Fortaleza,Siqueira,35000.0
73,814453643,Apartamentos,0.0,55,2,1,1,Fortaleza,Siqueira,151998.0
74,946911114,Apartamentos,291.0,4483,2,1,1,Fortaleza,Siqueira,148820.0
75,974160187,Casas,0.0,0,0,0,0,Fortaleza,Siqueira,110000.0
76,974034932,Casas,0.0,100,2,1,1,Fortaleza,Siqueira,95000.0
77,973978159,Casas,0.0,0,1,1,1,Fortaleza,Canindezinho,120000.0
78,973854013,Casas,0.0,0,1,1,1,Fortaleza,Siqueira,25000.0
79,946635111,Apartamentos,500.0,81,3,3,2,Fortaleza,Bom Jardim,470000.0
80,973646347,Casas,0.0,132,2,2,3,Fortaleza,Bom Jardim,300000.0
81,929119164,Apartamentos,230.0,45,2,1,1,Fortaleza,Siqueira,158000.0
82,960709088,Casas,500.0,360,3,4,4,Fortaleza,Siqueira,1980000.0
83,973317252,Casas,0.0,120,2,2,1,Fortaleza,Bom Jardim,120000.0
84,942001992,Apartamentos,0.0,45,2,1,1,Fortaleza,Siqueira,135000.0
85,973276282,Casas,0.0,50,1,1,1,Fortaleza,Canindezinho,27500.0
86,973253327,Casas,0.0,0,2,2,,Fortaleza,Bom Jardim,40000.0
87,973177864,Casas,0.0,84,4,2,1,Fortaleza,Siqueira,10000.0
88,973176142,Casas,0.0,100,2,2,3,Fortaleza,Bom Jardim,110000.0
89,973164292,Casas,0.0,0,1,1,,Fortaleza,Bom Jardim,14000.0
90,884401414,Casas,0.0,85,2,2,2,Fortaleza,Siqueira,130000.0
91,823795763,Casas,0.0,133,2,2,2,Fortaleza,Bom Jardim,165000.0
92,973077492,Casas,0.0,0,4,1,0,Fortaleza,Siqueira,30000.0
93,973076668,Casas,0.0,0,1,1,1,Fortaleza,Siqueira,40000.0
94,944265453,Casas,0.0,0,2,3,3,Fortaleza,Siqueira,185000.0
95,911148687,Casas,180.0,51,2,2,1,Fortaleza,Siqueira,190000.0
96,972998374,Apartamentos,0.0,0,2,1,1,Fortaleza,Siqueira,149001.0
97,942001921,Apartamentos,0.0,41,2,2,1,Fortaleza,Canindezinho,168490.0
98,972960206,Casas,0.0,30,2,1,0,Fortaleza,Siqueira,27000.0
99,972953058,Apartamentos,0.0,0,2,1,1,Fortaleza,Canindezinho,115001.0
100,972937755,Casas,0.0,459,4,3,2,Fortaleza,Siqueira,600000.0
101,972924448,Casas,0.0,32,1,2,1,Fortaleza,Canindezinho,76000.0
102,972873699,Casas,0.0,0,4,2,1,Fortaleza,Bom Jardim,190000.0
103,972859010,Casas,0.0,0,3,2,1,Fortaleza,Bom Jardim,80000.0
104,972816646,Casas,0.0,0,3,2,1,Fortaleza,Bom Jardim,130000.0
105,902923110,Apartamentos,0.0,49,2,2,1,Fortaleza,Siqueira,155000.0
106,972719046,Casas,0.0,0,2,2,2,Fortaleza,Siqueira,75000.0
107,909177500,Apartamentos,0.0,44,2,1,1,Fortaleza,Siqueira,148000.0
108,972387146,Casas,0.0,0,3,1,,Fortaleza,Siqueira,45000.0
109,739085224,Casas,0.0,171,3,2,2,Fortaleza,Siqueira,180000.0
110,636184792,Apartamentos,291.0,44,2,1,1,Fortaleza,Siqueira,142000.0
111,882552497,Apartamentos,0.0,49,2,2,1,Fortaleza,Siqueira,155000.0
112,972235654,Casas,0.0,60,2,1,0,Fortaleza,Bom Jardim,35000.0
113,920938628,Casas,0.0,125,2,2,2,Fortaleza,Siqueira,0.0
114,920938706,Casas,0.0,125,2,2,2,Fortaleza,Siqueira,0.0
115,972034875,Casas,0.0,0,2,1,2,Fortaleza,Bom Jardim,150000.0
116,945653529,Apartamentos,410.0,58,2,2,0,Fortaleza,Siqueira,375000.0
117,971766898,Casas,0.0,6,0,0,2,Fortaleza,Canindezinho,0.0
118,971685136,Casas,0.0,0,2,1,,Fortaleza,Bom Jardim,35000.0
119,971649562,Casas,0.0,0,2,3,1,Fortaleza,Bom Jardim,150000.0
120,813473749,Apartamentos,0.0,44,2,1,1,Fortaleza,Siqueira,149000.0
121,971465119,Apartamentos,0.0,0,2,1,1,Fortaleza,Siqueira,149000.0
122,971462034,Casas,0.0,0,3,2,2,Fortaleza,Siqueira,65000.0
123,971231778,Casas,250.0,55867,2,2,1,Fortaleza,Siqueira,190000.0
124,971226921,Apartamentos,0.0,0,2,1,1,Fortaleza,Canindezinho,115000.0
125,971091841,Casas,0.0,56,2,2,2,Fortaleza,Siqueira,1000.0
126,909177459,Casas,0.0,63,2,1,1,Fortaleza,Siqueira,190000.0
127,971063769,Casas,0.0,0,3,2,2,Fortaleza,Canindezinho,320000.0
128,955796478,Apartamentos,0.0,45,2,1,1,Fortaleza,Siqueira,131000.0
129,970994590,Casas,0.0,0,2,1,,Fortaleza,Siqueira,80000.0
130,970991107,Casas,0.0,0,2,1,0,Fortaleza,Siqueira,80000.0
131,970960736,Apartamentos,0.0,48,2,1,1,Fortaleza,Siqueira,12000.0
132,970950986,Casas,0.0,15,2,2,0,Fortaleza,Siqueira,35000.0
133,879955879,Casas,0.0,0,4,4,4,Fortaleza,Siqueira,400000.0
134,970836679,Apartamentos,14000.0,48,2,1,1,Fortaleza,Siqueira,14000.0
135,949498704,Casas,1.0,160,5 ou mais,2,2,Fortaleza,Siqueira,197000.0
136,970515420,Casas,0.0,0,2,1,0,Fortaleza,Canindezinho,85000.0
137,919533080,Casas,0.0,125,2,2,2,Fortaleza,Canindezinho,0.0
138,919533122,Casas,0.0,125,2,2,2,Fortaleza,Canindezinho,0.0
139,935397526,Casas,160.0,54,2,2,1,Fortaleza,Siqueira,185000.0
140,970187670,Casas,180.0,52,2,2,1,Fortaleza,Siqueira,139900.0
141,921461109,Apartamentos,0.0,0,2,1,1,Fortaleza,Siqueira,142000.0
142,970133064,Casas,0.0,112,1,1,1,Fortaleza,Bom Jardim,30000.0
143,969778228,Apartamentos,0.0,0,2,1,,Fortaleza,Siqueira,0.0
144,969665077,Apartamentos,0.0,0,3,1,0,Fortaleza,Siqueira,30000.0
145,969568877,Casas,0.0,0,1,1,,Fortaleza,Siqueira,45000.0
146,924123131,Casas,0.0,220,2,2,3,Fortaleza,Siqueira,280000.0
147,790198406,Casas,0.0,330,5 ou mais,5 ou mais,2,Fortaleza,Canindezinho,790000.0
148,969264101,Casas,0.0,120,5 ou mais,5 ou mais,1,Fortaleza,Siqueira,150000.0
149,953948060,Casas,0.0,89,2,1,2,Fortaleza,Siqueira,160000.0
150,969122437,Casas,0.0,95,3,2,2,Fortaleza,Siqueira,165000.0
151,903227901,Apartamentos,0.0,85,3,4,2,Fortaleza,Siqueira,470641.0
152,969036415,Casas,0.0,0,5 ou mais,2,5 ou mais,Fortaleza,Siqueira,0.0
153,608894376,Casas,0.0,65,2,3,2,Fortaleza,Siqueira,189999.0
154,968789827,Apartamentos,0.0,0,2,1,1,Fortaleza,Siqueira,11500.0
155,968774794,Casas,32000.0,0,2,1,1,Fortaleza,Siqueira,0.0
156,968745276,Casas,0.0,4,2,1,1,Fortaleza,Siqueira,30000.0
157,861069617,Casas,0.0,100,4,5 ou mais,2,Fortaleza,Siqueira,450000.0
158,861071639,Casas,0.0,100,5 ou mais,5 ou mais,2,Fortaleza,Siqueira,450000.0
159,968614070,Casas,0.0,0,4,1,1,Fortaleza,Bom Jardim,150000.0
160,968563825,Casas,0.0,0,2,1,1,Fortaleza,Bom Jardim,200000.0
161,636491298,Apartamentos,0.0,45,2,2,1,Fortaleza,Siqueira,149000.0
162,968219596,Casas,50.0,50,2,1,2,Fortaleza,Bom Jardim,35000.0
163,903781362,Apartamentos,80.0,51,2,1,1,Fortaleza,Canindezinho,115000.0
164,934296544,Casas,180.0,55,2,2,1,Fortaleza,Siqueira,169000.0
165,968089319,Apartamentos,0.0,45,2,1,1,Fortaleza,Siqueira,155000.0
166,968086726,Casas,0.0,0,4,4,3,Fortaleza,Canindezinho,0.0
167,968038485,Casas,0.0,0,2,1,3,Fortaleza,Bom Jardim,0.0
168,968008290,Casas,0.0,0,3,2,0,Fortaleza,Bom Jardim,80000.0
169,967890362,Casas,0.0,30,4,4,1,Fortaleza,Siqueira,170000.0
170,890615965,Apartamentos,0.0,0,2,1,1,Fortaleza,Siqueira,115000.0
171,501584577,Casas,250.0,63,2,2,1,Fortaleza,Siqueira,185900.0
172,967543218,Apartamentos,0.0,0,2,0,0,Fortaleza,Siqueira,150880.0
173,967535002,Casas,0.0,89,2,2,2,Fortaleza,Siqueira,50000.0
174,745644583,Apartamentos,0.0,58,3,2,2,Fortaleza,Siqueira,280000.0
175,966957322,Casas,0.0,0,2,1,1,Fortaleza,Canindezinho,99900.0
176,966950513,Casas,0.0,0,2,1,1,Fortaleza,Canindezinho,99900.0
177,966906870,Casas,0.0,21,2,1,0,Fortaleza,Bom Jardim,25000.0
178,966888709,Apartamentos,0.0,0,2,1,1,Fortaleza,Siqueira,149000.0
