,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,935170471,Apartamentos,0.0,46,2,1,0,Fortaleza,Bonsucesso,70000.0
1,976876963,Casas,1.0,48,2,0,0,Fortaleza,Bonsucesso,300.0
2,976631429,Casas,0.0,183,5 ou mais,1,2,Fortaleza,Bonsucesso,320000.0
3,976050107,Casas,0.0,240500,3,3,2,Fortaleza,Bonsucesso,480000.0
4,975661708,Casas,0.0,0,0,0,0,Fortaleza,Bonsucesso,0.0
5,975117560,Casas,0.0,0,2,2,2,Fortaleza,Bonsucesso,100000.0
6,974870247,Casas,0.0,0,1,1,1,Fortaleza,Bonsucesso,65000.0
7,798423922,Casas,0.0,78,3,2,2,Fortaleza,Bonsucesso,110000.0
8,924789478,Casas,0.0,125,2,2,2,Fortaleza,Bonsucesso,0.0
9,924789550,Casas,0.0,125,2,2,2,Fortaleza,Bonsucesso,0.0
10,974050405,Casas,0.0,96,2,1,1,Fortaleza,Bonsucesso,125000.0
11,972985034,Casas,0.0,55,3,1,1,Fortaleza,Bonsucesso,105000.0
12,972297470,Casas,0.0,259,3,4,3,Fortaleza,Bonsucesso,800000.0
13,972256877,Casas,0.0,0,2,1,0,Fortaleza,Bonsucesso,65000.0
14,972216353,Apartamentos,0.0,0,2,1,1,Fortaleza,Bonsucesso,35000.0
15,919783686,Casas,0.0,125,2,2,2,Fortaleza,Bonsucesso,0.0
16,919783556,Casas,0.0,125,2,2,2,Fortaleza,Bonsucesso,0.0
17,885059899,Casas,0.0,280,5 ou mais,4,4,Fortaleza,Bonsucesso,255000.0
18,970487702,Casas,0.0,1,1,1,0,Fortaleza,Bonsucesso,25000.0
19,970064088,Casas,0.0,0,2,2,0,Fortaleza,Bonsucesso,70000.0
20,969949975,Casas,0.0,0,3,3,,Fortaleza,Bonsucesso,0.0
21,969439043,Apartamentos,0.0,0,2,1,,Fortaleza,Bom Jardim,40000.0
22,902395685,Apartamentos,0.0,250,2,2,5 ou mais,Fortaleza,Bonsucesso,1500000.0
23,968664939,Casas,0.0,0,1,1,0,Fortaleza,Bonsucesso,280000.0
24,968284342,Casas,0.0,259,3,5 ou mais,2,Fortaleza,Bonsucesso,650000.0
25,967933652,Casas,0.0,0,1,1,0,Fortaleza,Bonsucesso,150.0
26,967609715,Casas,0.0,360,3,2,2,Fortaleza,Bonsucesso,200000.0
27,967540462,Casas,0.0,0,0,,,Fortaleza,Bonsucesso,900000.0
28,966632232,Casas,225.0,250,0,0,0,Fortaleza,Bonsucesso,65000.0
29,966505777,Casas,0.0,0,0,,,Fortaleza,Bonsucesso,0.0
30,966287873,Casas,0.0,0,3,2,1,Fortaleza,Bonsucesso,280000.0
31,917370972,Apartamentos,112.0,47,2,1,0,Fortaleza,Bonsucesso,90000.0
32,965128387,Casas,0.0,7,0,1,0,Fortaleza,Bonsucesso,40000.0
33,964919281,Casas,0.0,0,2,1,0,Fortaleza,Bonsucesso,85000.0
34,964916681,Casas,0.0,0,2,1,0,Fortaleza,Bonsucesso,85000.0
35,964855125,Casas,0.0,0,2,,,Fortaleza,Bonsucesso,290000.0
36,964568989,Casas,0.0,0,2,2,2,Fortaleza,Bonsucesso,120000.0
37,892082135,Casas,0.0,360,5 ou mais,3,2,Fortaleza,Bonsucesso,400000.0
38,963495869,Casas,0.0,0,3,2,,Fortaleza,Bonsucesso,0.0
39,960643684,Casas,0.0,0,5 ou mais,3,,Fortaleza,Bonsucesso,350000.0
40,960105452,Casas,0.0,146,5 ou mais,4,1,Fortaleza,Bonsucesso,285000.0
41,959906953,Casas,0.0,0,1,1,,Fortaleza,Bonsucesso,45000.0
42,959619529,Casas,0.0,8,1,1,1,Fortaleza,Bonsucesso,155000.0
43,959313784,Apartamentos,112.0,42,2,1,0,Fortaleza,Bonsucesso,76000.0
44,958937274,Apartamentos,0.0,0,2,1,,Fortaleza,Bonsucesso,90000.0
45,957334603,Casas,0.0,0,5 ou mais,4,0,Fortaleza,Bom Jardim,220.0
46,956625745,Casas,0.0,198,5 ou mais,4,0,Fortaleza,Bom Jardim,220000.0
47,927901461,Casas,0.0,125,2,2,2,Fortaleza,Bonsucesso,0.0
48,927901471,Casas,0.0,125,2,2,2,Fortaleza,Bonsucesso,0.0
49,836571439,Casas,0.0,207,5 ou mais,2,1,Fortaleza,Bonsucesso,400000.0
50,748479525,Casas,0.0,120,5 ou mais,,,Fortaleza,Bonsucesso,300000.0
51,638938156,Casas,0.0,484,3,,6,Fortaleza,Granja Portugal,320000.0
