,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,975881879,Apartamentos,0.0,62,2,2,1,Fortaleza,Cais do Porto,330000.0
1,969453672,Apartamentos,1164.0,54,2,2,1,Fortaleza,Cais do Porto,350000.0
2,976988791,Casas,0.0,0,2,1,,Fortaleza,Cais do Porto,48000.0
3,976633585,Casas,0.0,110,5 ou mais,3,1,Fortaleza,Cais do Porto,0.0
4,975789416,Casas,0.0,265,3,1,5 ou mais,Fortaleza,Cais do Porto,1200000.0
5,926720937,Casas,0.0,180,3,2,2,Fortaleza,Cais do Porto,0.0
6,926720347,Casas,0.0,125,2,2,2,Fortaleza,Cais do Porto,0.0
7,926720930,Casas,0.0,125,2,2,2,Fortaleza,Cais do Porto,0.0
8,952876166,Apartamentos,620.0,69,2,2,2,Fortaleza,Cais do Porto,220000.0
9,974826573,Casas,0.0,40,2,2,0,Fortaleza,Cais do Porto,35000.0
10,847766079,Apartamentos,790.0,59,1,1,1,Fortaleza,Cais do Porto,380000.0
11,926720385,Casas,0.0,125,2,2,2,Fortaleza,Cais do Porto,0.0
12,974819851,Casas,0.0,0,4,1,0,Fortaleza,Cais do Porto,90000.0
13,813896215,Apartamentos,0.0,122,2,3,1,Fortaleza,Cais do Porto,180000.0
14,972296785,Apartamentos,530.0,52,2,2,1,Fortaleza,Cais do Porto,385000.0
15,974459999,Casas,0.0,0,1,1,,Fortaleza,Cais do Porto,0.0
16,898191168,Apartamentos,450.0,114,4,3,1,Fortaleza,Cais do Porto,200000.0
17,920766897,Apartamentos,1091.0,63,2,2,1,Fortaleza,Cais do Porto,300000.0
18,972936264,Casas,0.0,0,2,,,Fortaleza,Cais do Porto,480.0
19,972296992,Apartamentos,572.0,56,2,2,1,Fortaleza,Cais do Porto,450000.0
20,955922063,Apartamentos,650.0,124,3,2,1,Fortaleza,Cais do Porto,265000.0
21,970558492,Apartamentos,0.0,0,2,1,1,Fortaleza,Cais do Porto,60000.0
22,968925348,Apartamentos,0.0,589,3,1,0,Fortaleza,Cais do Porto,55000000.0
23,936416539,Apartamentos,340.0,66,1,2,1,Fortaleza,Cais do Porto,199000.0
24,932284210,Apartamentos,470.0,68,2,2,2,Fortaleza,Cais do Porto,350000.0
25,968174197,Casas,0.0,0,2,1,,Fortaleza,Cais do Porto,50000.0
26,966511682,Apartamentos,220.0,70,3,1,1,Fortaleza,Cais do Porto,120000.0
27,965510543,Casas,0.0,0,2,2,,Fortaleza,Cais do Porto,45000.0
28,934063808,Casas,0.0,180,3,2,2,Fortaleza,Cais do Porto,0.0
29,934063754,Casas,0.0,125,2,2,2,Fortaleza,Cais do Porto,0.0
30,934064003,Casas,0.0,53,2,2,1,Fortaleza,Cais do Porto,0.0
31,934063844,Apartamentos,0.0,43,2,2,5 ou mais,Fortaleza,Cais do Porto,0.0
32,934064054,Casas,0.0,151,2,2,3,Fortaleza,Cais do Porto,0.0
33,934063719,Casas,0.0,125,2,2,2,Fortaleza,Cais do Porto,0.0
34,934063718,Casas,0.0,125,2,2,2,Fortaleza,Cais do Porto,0.0
35,958501391,Apartamentos,645.0,70,2,3,2,Fortaleza,Cais do Porto,565000.0
36,957552912,Casas,0.0,0,2,1,1,Fortaleza,Cais do Porto,6000.0
37,692886424,Apartamentos,510.0,68,2,2,2,Fortaleza,Cais do Porto,0.0
38,736681236,Apartamentos,340.0,76,1,2,1,Fortaleza,Cais do Porto,199000.0
39,920734906,Apartamentos,0.0,60,2,2,1,Fortaleza,Cais do Porto,280000.0
