,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,967717434,Casas,1450.0,263,4,3,5 ou mais,Fortaleza,Cambeba,820000.0
1,948563532,Apartamentos,700.0,112,3,4,2,Fortaleza,Cambeba,750000.0
2,977405516,Casas,0.0,250,4,4,4,Fortaleza,Cambeba,625000.0
3,977405411,Casas,1750.0,390,4,5 ou mais,4,Fortaleza,Cambeba,1750000.0
4,953191040,Apartamentos,0.0,101,3,3,2,Fortaleza,Cambeba,903870.0
5,888572773,Casas,0.0,190,3,2,3,Fortaleza,Cambeba,550000.0
6,894334736,Apartamentos,347.0,58,2,1,1,Fortaleza,Cambeba,380000.0
7,949833879,Casas,0.0,134,3,3,5 ou mais,Fortaleza,Cambeba,550000.0
8,641986590,Apartamentos,0.0,89,3,3,2,Fortaleza,Cambeba,555000.0
9,886401736,Apartamentos,650.0,105,3,3,2,Fortaleza,Cambeba,690000.0
10,918775505,Apartamentos,300.0,51,2,2,1,Fortaleza,Cambeba,241486.0
11,893163188,Casas,520.0,180,4,5 ou mais,5 ou mais,Fortaleza,Cambeba,780000.0
12,956996112,Apartamentos,0.0,62,3,2,2,Fortaleza,Cambeba,259000.0
13,908858045,Casas,0.0,230,5 ou mais,3,3,Fortaleza,Cambeba,460000.0
14,896758495,Apartamentos,364.0,128,4,3,2,Fortaleza,Cambeba,410000.0
15,940454809,Apartamentos,0.0,51,2,1,1,Fortaleza,Cambeba,241486.0
16,937964180,Apartamentos,350.0,57,2,1,1,Fortaleza,Cambeba,270000.0
17,970510396,Apartamentos,542.0,65,3,2,1,Fortaleza,Cambeba,320000.0
18,977039137,Apartamentos,0.0,61,3,2,1,Fortaleza,Cambeba,220000.0
19,959072162,Apartamentos,0.0,80,3,2,2,Fortaleza,Cambeba,520000.0
20,945913327,Apartamentos,661.0,105,3,4,2,Fortaleza,Cambeba,720000.0
21,636184986,Apartamentos,0.0,80,3,2,2,Fortaleza,Cambeba,702000.0
22,902930865,Casas,0.0,190,3,3,4,Fortaleza,Cambeba,550000.0
23,888809078,Casas,350.0,138,3,4,2,Fortaleza,Cambeba,470000.0
24,976956018,Apartamentos,0.0,0,3,3,2,Fortaleza,Cambeba,0.0
25,976955658,Apartamentos,850.0,132,3,4,3,Fortaleza,Cambeba,830000.0
26,964759665,Apartamentos,520.0,74,3,3,2,Fortaleza,Cambeba,420000.0
27,970510412,Casas,0.0,227,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Cambeba,900000.0
28,940459100,Casas,1150.0,220,4,5 ou mais,4,Fortaleza,Cambeba,629000.0
29,970513901,Apartamentos,280.0,45,2,2,1,Fortaleza,Cambeba,198000.0
