,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,977104948,Casas,0.0,0,2,1,2,Fortaleza,Parque São José,45000.0
1,976749538,Apartamentos,290.0,59,2,2,1,Fortaleza,Parque São José,100000.0
2,952192593,Casas,0.0,0,4,3,1,Fortaleza,Parque Santa Rosa,200000.0
3,976460130,Casas,0.0,0,1,2,,Fortaleza,Parque Santa Rosa,95000.0
4,973328351,Apartamentos,220.0,58,2,2,1,Fortaleza,Parque Santa Rosa,134999.0
5,937693714,Apartamentos,160.0,42,2,1,1,Fortaleza,Parque São José,110000.0
6,966954300,Casas,0.0,165,3,2,1,Fortaleza,Parque Presidente Vargas,130000.0
7,975763263,Casas,230000.0,25,3,3,1,Fortaleza,Parque Santa Rosa,230000.0
8,845806659,Casas,0.0,528,4,3,,Fortaleza,Parque São José,1200000.0
9,974669873,Apartamentos,0.0,0,2,,,Fortaleza,Parque Santa Rosa,530000.0
10,974364223,Casas,0.0,0,4,3,3,Fortaleza,Parque Santa Rosa,150000.0
11,974104682,Casas,0.0,0,3,3,1,Fortaleza,Parque Santa Rosa,0.0
12,974022856,Apartamentos,300.0,47,2,2,2,Fortaleza,Parque Santa Rosa,150000.0
13,973972643,Apartamentos,0.0,59,2,1,1,Fortaleza,Parque Santa Rosa,134000.0
14,973553072,Apartamentos,130.0,74,3,2,1,Fortaleza,Parque São José,179990.0
15,973389562,Casas,0.0,0,2,4,2,Fortaleza,Parque Santa Rosa,140000.0
16,973175202,Apartamentos,0.0,45,2,1,1,Fortaleza,Parque Presidente Vargas,60000.0
17,973117650,Apartamentos,0.0,45,2,1,1,Fortaleza,Parque Presidente Vargas,60000.0
18,973062889,Casas,0.0,200,3,1,1,Fortaleza,Parque São José,150000.0
19,973044315,Casas,0.0,140,3,2,2,Fortaleza,Parque Santa Rosa,230000.0
20,972700279,Casas,260.0,0,3,2,1,Fortaleza,Parque Santa Rosa,220000.0
