,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,977405485,Apartamentos,200.0,100,2,2,2,Fortaleza,Carlito Pamplona,190000.0
1,948964879,Apartamentos,320.0,60,3,2,1,Fortaleza,Carlito Pamplona,175000.0
2,831393174,Casas,0.0,68,2,2,2,Fortaleza,Carlito Pamplona,158000.0
3,941481944,Casas,0.0,121,2,2,0,Fortaleza,Carlito Pamplona,250000.0
4,976913370,Apartamentos,0.0,60,2,,,Fortaleza,Carlito Pamplona,50000.0
5,968803829,Apartamentos,320.0,60,3,2,1,Fortaleza,Carlito Pamplona,180000.0
6,976370614,Casas,0.0,0,2,2,,Fortaleza,Carlito Pamplona,17000.0
7,949083789,Apartamentos,195.0,56,2,1,1,Fortaleza,Carlito Pamplona,135000.0
8,975764712,Casas,0.0,150,2,1,0,Fortaleza,Carlito Pamplona,85000.0
9,952375544,Apartamentos,320.0,60,3,2,1,Fortaleza,Carlito Pamplona,180000.0
10,892510552,Apartamentos,270.0,50,2,1,1,Fortaleza,Carlito Pamplona,120000.0
11,975220853,Casas,0.0,0,1,1,2,Fortaleza,Carlito Pamplona,20000.0
12,951199363,Apartamentos,0.0,60,3,2,0,Fortaleza,Carlito Pamplona,180000.0
13,920224993,Casas,0.0,177,1,2,1,Fortaleza,Carlito Pamplona,420000.0
14,972159578,Apartamentos,200.0,54,2,1,2,Fortaleza,Carlito Pamplona,125000.0
15,915189749,Apartamentos,0.0,60,3,2,1,Fortaleza,Carlito Pamplona,169000.0
16,924123120,Casas,0.0,130,4,3,3,Fortaleza,Carlito Pamplona,500000.0
17,932354640,Casas,0.0,125,2,2,2,Fortaleza,Carlito Pamplona,0.0
18,932354765,Casas,0.0,125,2,2,2,Fortaleza,Carlito Pamplona,0.0
19,932354809,Casas,0.0,125,2,2,2,Fortaleza,Carlito Pamplona,0.0
20,932354865,Casas,0.0,180,3,2,2,Fortaleza,Carlito Pamplona,0.0
21,932354947,Apartamentos,0.0,43,2,2,2,Fortaleza,Carlito Pamplona,0.0
22,941148874,Casas,0.0,0,2,2,,Fortaleza,Carlito Pamplona,250000.0
23,969693099,Casas,0.0,180,3,3,3,Fortaleza,Carlito Pamplona,0.0
24,969693001,Apartamentos,0.0,48,2,2,2,Fortaleza,Carlito Pamplona,0.0
25,969692968,Apartamentos,0.0,52,2,1,1,Fortaleza,Carlito Pamplona,0.0
26,969692970,Casas,0.0,216,3,2,3,Fortaleza,Carlito Pamplona,0.0
27,969493666,Casas,0.0,0,1,1,,Fortaleza,Carlito Pamplona,26000.0
28,968577227,Apartamentos,0.0,72,2,1,1,Fortaleza,Carlito Pamplona,0.0
29,965374849,Casas,0.0,0,2,1,0,Fortaleza,Carlito Pamplona,100000.0
30,964919186,Apartamentos,0.0,0,2,1,1,Fortaleza,Carlito Pamplona,45000.0
31,813473903,Apartamentos,327.0,75,3,2,1,Fortaleza,Carlito Pamplona,225000.0
32,963135726,Apartamentos,0.0,0,2,1,1,Fortaleza,Carlito Pamplona,60000.0
33,962443789,Apartamentos,0.0,44,2,1,,Fortaleza,Carlito Pamplona,55000.0
34,911289402,Casas,0.0,125,2,2,2,Fortaleza,Carlito Pamplona,0.0
35,961757322,Apartamentos,320.0,63,3,2,1,Fortaleza,Carlito Pamplona,185000.0
36,960297760,Apartamentos,0.0,0,2,1,1,Fortaleza,Carlito Pamplona,150000.0
37,940321461,Apartamentos,280.0,43,2,1,1,Fortaleza,Carlito Pamplona,130000.0
38,960017102,Apartamentos,0.0,0,2,1,0,Fortaleza,Carlito Pamplona,45000.0
39,959918807,Casas,0.0,0,1,1,0,Fortaleza,Carlito Pamplona,140000.0
40,958539198,Casas,0.0,0,1,1,0,Fortaleza,Carlito Pamplona,33000.0
41,958214571,Casas,1.0,1,1,1,1,Fortaleza,Carlito Pamplona,600.0
42,957524533,Apartamentos,330.0,0,2,2,1,Fortaleza,Carlito Pamplona,170000.0
43,955479219,Casas,0.0,0,3,2,0,Fortaleza,Carlito Pamplona,0.0
44,660996463,Casas,0.0,136,5 ou mais,5 ou mais,1,Fortaleza,Carlito Pamplona,670000.0
