,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,977405540,Casas,0.0,130,4,3,4,Fortaleza,Boa Vista-Castelão,370000.0
1,977405368,Apartamentos,492.0,61,2,2,1,Fortaleza,Boa Vista-Castelão,160000.0
2,977344159,Casas,0.0,30,3,3,1,Fortaleza,Boa Vista-Castelão,90000.0
3,976370720,Apartamentos,250.0,46,2,2,1,Fortaleza,Boa Vista-Castelão,180000.0
4,977200022,Apartamentos,235.0,45,2,1,1,Fortaleza,Boa Vista-Castelão,169000.0
5,803287717,Casas,0.0,171,3,2,1,Fortaleza,Boa Vista-Castelão,260000.0
6,976895335,Apartamentos,538.0,62,3,3,0,Fortaleza,Boa Vista-Castelão,180000.0
7,934811191,Apartamentos,253.0,45,2,1,0,Fortaleza,Boa Vista-Castelão,160000.0
8,964417362,Apartamentos,230.0,48,2,1,1,Fortaleza,Boa Vista-Castelão,190000.0
9,935142289,Apartamentos,0.0,42,2,1,1,Fortaleza,Boa Vista-Castelão,175000.0
10,927042087,Apartamentos,210.0,44,2,1,1,Fortaleza,Boa Vista-Castelão,165000.0
11,950665488,Apartamentos,253.0,45,2,1,1,Fortaleza,Boa Vista-Castelão,170000.0
12,974772238,Apartamentos,0.0,300,2,1,,Fortaleza,Castelão,450000.0
13,954809911,Apartamentos,0.0,45,2,2,1,Fortaleza,Boa Vista-Castelão,177590.0
14,834830710,Apartamentos,205.0,46,2,2,1,Fortaleza,Boa Vista-Castelão,180000.0
15,969129147,Apartamentos,235.0,45,2,1,1,Fortaleza,Boa Vista-Castelão,169000.0
16,954220738,Casas,0.0,104,3,3,4,Fortaleza,Boa Vista-Castelão,340000.0
17,925782154,Apartamentos,100.0,57,2,1,1,Fortaleza,Boa Vista-Castelão,169000.0
18,950989054,Casas,300.0,99,4,4,2,Fortaleza,Boa Vista-Castelão,375000.0
19,942001976,Apartamentos,168.0,48,2,2,0,Fortaleza,Boa Vista-Castelão,165000.0
20,926865168,Casas,0.0,125,2,2,2,Fortaleza,Boa Vista-Castelão,0.0
21,926865129,Casas,0.0,125,2,2,2,Fortaleza,Boa Vista-Castelão,0.0
22,960716176,Casas,0.0,100,4,2,2,Fortaleza,Boa Vista-Castelão,185000.0
23,973696832,Casas,300.0,160,4,3,2,Fortaleza,Boa Vista-Castelão,375000.0
24,956382155,Casas,800.0,120,3,2,3,Fortaleza,Boa Vista-Castelão,360000.0
25,973553123,Apartamentos,266.0,55,3,2,1,Fortaleza,Boa Vista-Castelão,229000.0
26,950665495,Apartamentos,250.0,48,2,2,1,Fortaleza,Boa Vista-Castelão,155000.0
27,927575941,Apartamentos,232.0,42,2,1,1,Fortaleza,Boa Vista-Castelão,170000.0
28,942002142,Apartamentos,250.0,44,2,1,1,Fortaleza,Boa Vista-Castelão,170000.0
29,972824043,Casas,0.0,560,4,3,3,Fortaleza,Boa Vista-Castelão,150000.0
30,759552571,Casas,100.0,90,3,2,1,Fortaleza,Boa Vista-Castelão,227000.0
31,972511618,Apartamentos,230.0,45,2,1,1,Fortaleza,Boa Vista-Castelão,185000.0
32,972342014,Casas,300.0,0,4,4,2,Fortaleza,Boa Vista-Castelão,375000.0
33,972297597,Casas,0.0,250,4,5 ou mais,4,Fortaleza,Boa Vista-Castelão,700000.0
34,947403060,Casas,0.0,90,3,2,2,Fortaleza,Boa Vista-Castelão,360000.0
35,943966874,Casas,100.0,57,2,1,1,Fortaleza,Boa Vista-Castelão,169000.0
36,970436167,Apartamentos,0.0,0,2,1,1,Fortaleza,Boa Vista-Castelão,25000.0
37,955796425,Apartamentos,200.0,57,2,2,1,Fortaleza,Boa Vista-Castelão,169000.0
38,955796518,Casas,0.0,73,3,4,0,Fortaleza,Boa Vista-Castelão,550000.0
39,940100727,Apartamentos,232.0,42,2,1,1,Fortaleza,Boa Vista-Castelão,159000.0
40,940100690,Apartamentos,232.0,42,2,1,1,Fortaleza,Boa Vista-Castelão,155000.0
41,950252449,Apartamentos,100.0,57,2,1,1,Fortaleza,Boa Vista-Castelão,169000.0
42,969394426,Apartamentos,260.0,47,2,2,1,Fortaleza,Boa Vista-Castelão,185000.0
43,917704131,Apartamentos,203.0,42,2,1,1,Fortaleza,Boa Vista-Castelão,160000.0
44,955796200,Apartamentos,232.0,46,2,2,1,Fortaleza,Boa Vista-Castelão,185000.0
45,955796014,Apartamentos,100.0,57,2,1,1,Fortaleza,Boa Vista-Castelão,169000.0
46,968219917,Casas,300.0,140,4,4,2,Fortaleza,Boa Vista-Castelão,375000.0
47,625608516,Apartamentos,100.0,57,2,1,1,Fortaleza,Boa Vista-Castelão,169000.0
48,813466562,Apartamentos,546.0,62,3,1,1,Fortaleza,Boa Vista-Castelão,160000.0
49,916734878,Casas,0.0,170,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Boa Vista-Castelão,1250000.0
50,967441907,Apartamentos,220.0,42,2,1,0,Fortaleza,Boa Vista-Castelão,185000.0
51,967171197,Apartamentos,260.0,0,2,2,1,Fortaleza,Boa Vista-Castelão,185000.0
52,904696279,Apartamentos,0.0,273,0,0,0,Fortaleza,Boa Vista-Castelão,130000.0
53,886573780,Casas,100.0,57,2,1,1,Fortaleza,Boa Vista-Castelão,169000.0
54,966223779,Casas,660000.0,132,3,2,3,Fortaleza,Boa Vista-Castelão,0.0
55,920949820,Casas,0.0,165,3,3,2,Fortaleza,Boa Vista-Castelão,290000.0
56,965416715,Apartamentos,250.0,48,2,2,1,Fortaleza,Boa Vista-Castelão,160000.0
57,965391254,Apartamentos,253.0,45,2,1,1,Fortaleza,Boa Vista-Castelão,50000.0
58,949059835,Apartamentos,100.0,57,2,2,1,Fortaleza,Boa Vista-Castelão,169000.0
59,964557726,Casas,0.0,0,5 ou mais,5 ou mais,4,Fortaleza,Boa Vista-Castelão,0.0
60,949298449,Apartamentos,100.0,57,2,2,1,Fortaleza,Boa Vista-Castelão,169000.0
61,880955952,Casas,0.0,240,4,5 ou mais,4,Fortaleza,Boa Vista-Castelão,440000.0
62,955795752,Apartamentos,160.0,45,2,1,1,Fortaleza,Boa Vista-Castelão,188000.0
63,793774831,Apartamentos,0.0,55,2,1,1,Fortaleza,Boa Vista-Castelão,170000.0
64,878728222,Casas,300.0,130,3,,2,Fortaleza,Boa Vista-Castelão,400000.0
65,955795291,Apartamentos,195.0,45,2,1,1,Fortaleza,Boa Vista-Castelão,185000.0
66,961721637,Apartamentos,250.0,58,2,1,1,Fortaleza,Boa Vista-Castelão,170000.0
67,961481066,Apartamentos,360.0,65,3,2,1,Fortaleza,Boa Vista-Castelão,170000.0
68,961395488,Casas,0.0,264,5 ou mais,2,1,Fortaleza,Boa Vista-Castelão,165000.0
69,910164528,Casas,0.0,70,2,3,1,Fortaleza,Boa Vista,225000.0
70,960825029,Casas,0.0,150,3,3,5 ou mais,Fortaleza,Boa Vista-Castelão,380000.0
71,893043080,Apartamentos,240.0,44,2,1,1,Fortaleza,Boa Vista-Castelão,165000.0
