,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,914170285,Apartamentos,315.0,63,2,2,1,Fortaleza,Centro,175000.0
1,947718027,Casas,0.0,271,5 ou mais,5 ou mais,3,Fortaleza,Centro,1700000.0
2,977423628,Casas,0.0,0,2,2,,Fortaleza,Centro,100000.0
3,636184336,Apartamentos,360.0,78,3,3,2,Fortaleza,José Bonifácio,503617.0
4,977405509,Apartamentos,350.0,100,4,4,1,Fortaleza,Centro,160000.0
5,977405501,Apartamentos,270.0,67,3,2,1,Fortaleza,Centro,39000.0
6,977386689,Casas,0.0,0,1,1,,Fortaleza,Centro,0.0
7,971780422,Apartamentos,434.0,61,3,2,1,Fortaleza,Centro,380000.0
8,918056130,Apartamentos,305.0,45,2,1,1,Fortaleza,Centro,275000.0
9,921816792,Apartamentos,0.0,72,2,2,2,Fortaleza,Praia de Iracema,450000.0
10,975957420,Casas,0.0,250,3,4,2,Fortaleza,Centro,329000.0
11,977315387,Casas,0.0,0,2,,,Fortaleza,Centro,180000.0
12,920199539,Apartamentos,0.0,100,3,4,2,Fortaleza,Centro,759000.0
13,673257137,Apartamentos,1500.0,225,4,4,4,Fortaleza,Centro,1600000.0
14,932972808,Apartamentos,196.0,39,1,1,0,Fortaleza,Centro,145000.0
15,938939209,Casas,0.0,98,2,1,0,Fortaleza,Centro,550000.0
16,575019271,Casas,550.0,180,4,4,3,Fortaleza,Centro,755000.0
17,707553368,Apartamentos,360.0,78,3,3,2,Fortaleza,Centro,560000.0
18,936417408,Casas,0.0,400,5 ou mais,2,2,Fortaleza,Praia de Iracema,4500000.0
19,928101185,Apartamentos,0.0,43,2,2,5 ou mais,Fortaleza,Centro,0.0
20,928101076,Casas,0.0,180,3,2,2,Fortaleza,Centro,0.0
21,964109468,Apartamentos,687.0,107,3,4,3,Fortaleza,Centro,930000.0
22,928100933,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
23,928101013,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
24,940100779,Apartamentos,900.0,25,1,1,0,Fortaleza,Praia de Iracema,150000.0
25,960008473,Casas,0.0,150,3,2,0,Fortaleza,Centro,290000.0
26,964109490,Apartamentos,550.0,83,3,3,2,Fortaleza,Centro,670000.0
27,928100894,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
28,964248805,Apartamentos,0.0,100,3,1,2,Fortaleza,Centro,677000.0
29,977107061,Casas,0.0,83,2,2,2,Fortaleza,Centro,125400.0
30,977105472,Casas,0.0,220,2,2,2,Fortaleza,Centro,111720.0
31,956256333,Casas,0.0,211,2,2,2,Fortaleza,Centro,450000.0
32,928081425,Casas,0.0,125,2,3,2,Fortaleza,Centro,0.0
33,964533038,Apartamentos,720.0,120,3,4,1,Fortaleza,Centro,560000.0
34,928081414,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
35,977079285,Casas,0.0,85,2,2,2,Fortaleza,Centro,164000.0
36,811840233,Apartamentos,500.0,85,3,2,2,Fortaleza,Centro,560000.0
37,977070679,Casas,0.0,89,2,2,2,Fortaleza,Centro,160000.0
38,977060052,Casas,0.0,84,2,2,2,Fortaleza,Centro,175000.0
39,886401570,Apartamentos,600.0,120,3,1,1,Fortaleza,Centro,299000.0
40,956346777,Apartamentos,500.0,83,3,2,2,Fortaleza,Centro,645000.0
41,948215488,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
42,948215485,Apartamentos,0.0,43,2,2,2,Fortaleza,Centro,0.0
43,948215559,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
44,948215558,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
45,948215633,Apartamentos,0.0,43,2,2,5 ou mais,Fortaleza,Centro,0.0
46,948215637,Casas,0.0,180,3,2,2,Fortaleza,Centro,0.0
47,948215677,Casas,0.0,151,2,2,4,Fortaleza,Centro,0.0
48,907566032,Casas,0.0,155,4,2,3,Fortaleza,Farias Brito,390000.0
49,913856544,Apartamentos,0.0,100,3,3,,Fortaleza,Centro,662000.0
50,964524722,Casas,0.0,628,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Centro,5000000.0
51,885732025,Apartamentos,450.0,55,2,2,1,Fortaleza,José Bonifácio,440000.0
52,976949005,Apartamentos,250.0,71,2,1,1,Fortaleza,Centro,120000.0
53,961220925,Apartamentos,460.0,83,3,2,1,Fortaleza,Centro,175000.0
54,976918038,Casas,0.0,125,2,2,2,Fortaleza,Centro,15000.0
55,971806784,Apartamentos,374.0,78,3,3,2,Fortaleza,José Bonifácio,550000.0
56,972299764,Apartamentos,380.0,72,3,3,2,Fortaleza,José Bonifácio,469000.0
57,963036873,Apartamentos,0.0,72,2,2,2,Fortaleza,Praia de Iracema,440000.0
58,896288614,Apartamentos,180.0,55,3,2,1,Fortaleza,Centro,140000.0
59,976745443,Apartamentos,0.0,150,4,5 ou mais,2,Fortaleza,Praia de Iracema,2200097.0
60,976742017,Casas,0.0,98,2,2,2,Fortaleza,Centro,330000.0
61,972268071,Apartamentos,620.0,82,3,3,1,Fortaleza,Centro,230000.0
62,918149712,Casas,0.0,336,4,2,0,Fortaleza,Centro,1350000.0
63,935170473,Apartamentos,0.0,65,2,1,0,Fortaleza,Centro,80000.0
64,967485792,Apartamentos,1.0,100,3,4,2,Fortaleza,Centro,677000.0
65,959954091,Apartamentos,380.0,73,3,2,2,Fortaleza,José Bonifácio,480000.0
66,970133887,Casas,0.0,300,3,2,2,Fortaleza,Centro,15000.0
67,964759616,Apartamentos,400.0,80,3,2,1,Fortaleza,Centro,300000.0
68,895437779,Apartamentos,566.0,55,2,2,2,Fortaleza,José Bonifácio,488000.0
69,951369924,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
70,951369913,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
71,954006400,Apartamentos,0.0,54,2,2,1,Fortaleza,Praia de Iracema,624069.0
72,969287883,Apartamentos,1200.0,162,3,3,0,Fortaleza,Centro,630000.0
73,791493219,Apartamentos,0.0,100,3,4,2,Fortaleza,Centro,697000.0
74,835111833,Casas,150.0,78,3,3,2,Fortaleza,Centro,219900.0
75,968777299,Apartamentos,380.0,72,3,2,2,Fortaleza,José Bonifácio,469000.0
76,953054486,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
77,953055055,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
78,976623209,Apartamentos,800.0,112,3,4,2,Fortaleza,Centro,460000.0
79,940396830,Apartamentos,480.0,55,2,2,1,Fortaleza,Centro,495000.0
80,976587586,Apartamentos,0.0,0,2,1,1,Fortaleza,Centro,20000.0
81,946635023,Casas,0.0,230,4,4,5 ou mais,Fortaleza,Centro,1400000.0
82,958479470,Apartamentos,400.0,110,3,3,1,Fortaleza,Centro,330000.0
83,883383014,Apartamentos,300.0,55,2,2,1,Fortaleza,Centro,330000.0
84,967120158,Apartamentos,296.0,60,2,2,1,Fortaleza,Centro,370000.0
85,950989058,Apartamentos,0.0,71,3,2,2,Fortaleza,Centro,645000.0
86,967165354,Apartamentos,500.0,96,4,2,2,Fortaleza,José Bonifácio,280000.0
87,972268000,Apartamentos,0.0,54,2,2,1,Fortaleza,Praia de Iracema,593000.0
88,961535152,Apartamentos,500.0,63,2,3,2,Fortaleza,Centro,300000.0
89,960693415,Apartamentos,1035.0,119,3,3,1,Fortaleza,Centro,320000.0
90,916734993,Casas,0.0,88,3,1,0,Fortaleza,Centro,400000.0
91,962841173,Apartamentos,0.0,68,3,2,2,Fortaleza,Centro,550000.0
92,938595558,Apartamentos,399.0,54,2,2,2,Fortaleza,José Bonifácio,442000.0
93,924472362,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
94,924472277,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
95,924472106,Casas,0.0,125,2,2,2,Fortaleza,Centro,0.0
96,924472464,Casas,0.0,180,3,2,2,Fortaleza,Centro,0.0
97,938939245,Apartamentos,550.0,112,3,2,1,Fortaleza,Centro,260000.0
98,926611714,Casas,0.0,125,2,2,0,Fortaleza,Centro,0.0
