,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,932049210,Apartamentos,568.0,75,3,2,2,Fortaleza,Cidade 2000,377059.0
1,883383022,Apartamentos,630.0,75,3,3,2,Fortaleza,Cidade 2000,373325.0
2,934748419,Apartamentos,568.0,75,3,2,2,Fortaleza,Cidade 2000,370000.0
3,975277034,Apartamentos,400.0,6200,3,2,1,Fortaleza,Cidade 2000,330000.0
4,943735394,Apartamentos,420.0,65,3,2,1,Fortaleza,Cidade 2000,255000.0
5,938146290,Apartamentos,568.0,73,3,1,2,Fortaleza,Cidade 2000,393000.0
6,945552698,Apartamentos,295.0,47,2,1,1,Fortaleza,Cidade 2000,205000.0
7,932284770,Casas,0.0,200,5 ou mais,4,2,Fortaleza,Cidade 2000,520000.0
8,947562484,Apartamentos,350.0,50,2,1,1,Fortaleza,Cidade 2000,225000.0
9,895901625,Apartamentos,285.0,69,3,2,1,Fortaleza,Cidade 2000,280000.0
10,970389259,Apartamentos,410.0,69,3,2,1,Fortaleza,Cidade 2000,265000.0
11,976684338,Apartamentos,550.0,75,3,3,2,Fortaleza,Cidade 2000,384600.0
12,976368695,Apartamentos,350.0,50,2,2,1,Fortaleza,Cidade 2000,230000.0
13,907378389,Apartamentos,400.0,68,3,2,1,Fortaleza,Cidade 2000,270000.0
14,976301285,Casas,0.0,72,2,2,2,Fortaleza,Cidade 2000,195000.0
15,928765518,Casas,0.0,135,3,4,2,Fortaleza,Cidade 2000,719000.0
16,847846493,Casas,0.0,119,4,,1,Fortaleza,Cidade 2000,300000.0
17,906736284,Apartamentos,650.0,75,3,3,2,Fortaleza,Cidade 2000,373325.0
18,976061562,Apartamentos,375.0,50,2,1,1,Fortaleza,Cidade 2000,195000.0
19,967072043,Apartamentos,0.0,55,2,1,1,Fortaleza,Cidade 2000,219999.0
20,772801757,Apartamentos,654.0,75,3,2,1,Fortaleza,Cidade 2000,370000.0
21,946923019,Apartamentos,0.0,39,1,1,1,Fortaleza,Cidade 2000,390278.0
22,936417205,Casas,0.0,160,5 ou mais,3,2,Fortaleza,Cidade 2000,490000.0
23,961950100,Casas,0.0,150,3,3,2,Fortaleza,Cidade 2000,299000.0
24,967258613,Apartamentos,0.0,62,3,2,1,Fortaleza,Cidade 2000,229999.0
25,962542866,Apartamentos,0.0,210,3,1,0,Fortaleza,Cidade 2000,900000.0
26,940100821,Apartamentos,631.0,75,3,3,2,Fortaleza,Cidade 2000,400000.0
27,950629095,Apartamentos,0.0,30,1,1,1,Fortaleza,Cidade 2000,303566.0
28,959072179,Apartamentos,364.0,62,3,2,1,Fortaleza,Cidade 2000,264000.0
29,795955382,Apartamentos,364.0,62,3,2,1,Fortaleza,Cidade 2000,264000.0
30,968739856,Casas,0.0,175,5 ou mais,2,2,Fortaleza,Cidade 2000,450000.0
31,825408143,Apartamentos,350.0,44,1,1,1,Fortaleza,Cidade 2000,170000.0
32,825380008,Apartamentos,350.0,44,1,1,1,Fortaleza,Cidade 2000,170000.0
33,825377661,Apartamentos,350.0,45,1,1,1,Fortaleza,Cidade 2000,170000.0
34,689021964,Apartamentos,360.0,51,2,1,1,Fortaleza,Cidade 2000,185000.0
35,689034306,Apartamentos,360.0,51,2,1,1,Fortaleza,Cidade 2000,191000.0
36,689704741,Apartamentos,360.0,51,1,1,1,Fortaleza,Cidade 2000,195000.0
37,773612653,Apartamentos,365.0,44,2,1,1,Fortaleza,Cidade 2000,205000.0
38,773614801,Apartamentos,365.0,46,2,1,1,Fortaleza,Cidade 2000,205000.0
39,773616836,Apartamentos,365.0,46,2,1,1,Fortaleza,Cidade 2000,205000.0
40,835486343,Apartamentos,355.0,51,2,2,1,Fortaleza,Cidade 2000,235000.0
41,838055947,Apartamentos,355.0,50,2,2,1,Fortaleza,Cidade 2000,225000.0
42,839043541,Apartamentos,355.0,45,2,1,1,Fortaleza,Cidade 2000,179999.0
43,697424145,Apartamentos,462.0,60,2,2,2,Fortaleza,Cidade 2000,310000.0
44,697421679,Apartamentos,463.0,60,2,2,2,Fortaleza,Cidade 2000,310000.0
45,862354871,Apartamentos,520.0,70,3,3,2,Fortaleza,Cidade 2000,550000.0
46,913368445,Apartamentos,650.0,75,3,3,2,Fortaleza,Cidade 2000,377500.0
47,838055534,Apartamentos,355.0,50,2,2,1,Fortaleza,Cidade 2000,225000.0
48,839042671,Apartamentos,355.0,45,2,1,1,Fortaleza,Cidade 2000,179999.0
49,839039551,Apartamentos,355.0,45,2,1,1,Fortaleza,Cidade 2000,179999.0
50,839039551,Apartamentos,355.0,45,2,1,1,Fortaleza,Cidade 2000,179999.0
51,839041744,Apartamentos,355.0,45,2,1,1,Fortaleza,Cidade 2000,179999.0
52,773615415,Apartamentos,365.0,46,2,1,1,Fortaleza,Cidade 2000,205000.0
53,690312368,Apartamentos,362.0,53,2,1,1,Fortaleza,Cidade 2000,186000.0
54,690227630,Apartamentos,361.0,50,2,1,1,Fortaleza,Cidade 2000,189999.0
55,835484953,Apartamentos,355.0,51,2,2,1,Fortaleza,Cidade 2000,235000.0
56,738791553,Apartamentos,820.0,103,3,4,2,Fortaleza,Cidade 2000,220000.0
57,690229997,Apartamentos,361.0,51,2,1,1,Fortaleza,Cidade 2000,185000.0
58,738790622,Apartamentos,820.0,103,3,4,2,Fortaleza,Cidade 2000,220000.0
59,950703246,Apartamentos,370.0,0,2,2,1,Fortaleza,Cidade 2000,215000.0
60,950696599,Apartamentos,370.0,0,2,2,1,Fortaleza,Cidade 2000,215000.0
61,950691921,Apartamentos,370.0,0,2,2,1,Fortaleza,Cidade 2000,215000.0
62,950689046,Apartamentos,370.0,0,2,2,1,Fortaleza,Cidade 2000,215000.0
