,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,912025851,Apartamentos,320.0,48,2,1,1,Fortaleza,Cidade dos Funcionários,135000.0
1,910805231,Casas,0.0,161,4,4,3,Fortaleza,Cidade dos Funcionários,580000.0
2,972296847,Casas,600.0,222,5 ou mais,5 ou mais,4,Fortaleza,Cidade dos Funcionários,879000.0
3,971138529,Casas,0.0,130,3,4,5 ou mais,Fortaleza,Cidade dos Funcionários,650000.0
4,896318851,Casas,0.0,160,3,3,4,Fortaleza,Cidade dos Funcionários,450000.0
5,647564040,Apartamentos,500.0,74,3,2,2,Fortaleza,Cidade Dos Funcionários,499000.0
6,959044560,Casas,0.0,420,4,4,4,Fortaleza,Cidade dos Funcionários,675000.0
7,977190161,Apartamentos,350.0,147,3,3,1,Fortaleza,Cidade dos Funcionários,210000.0
8,968810085,Casas,0.0,145,3,4,0,Fortaleza,Cidade dos Funcionários,759088.0
9,977169449,Casas,995.0,250,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Cidade dos Funcionários,900000.0
10,968701356,Casas,0.0,250,3,3,4,Fortaleza,Cidade dos Funcionários,850000.0
11,967675217,Apartamentos,0.0,89,3,3,2,Fortaleza,Cidade dos Funcionários,535000.0
12,950537117,Casas,840.0,300,5 ou mais,5 ou mais,4,Fortaleza,Cidade dos Funcionários,1100000.0
13,886401163,Casas,0.0,250,5 ou mais,1,5 ou mais,Fortaleza,Cidade dos Funcionários,1200000.0
14,947398712,Casas,0.0,180,4,5 ou mais,4,Fortaleza,Cidade dos Funcionários,980000.0
15,958176891,Casas,0.0,161,3,3,2,Fortaleza,Cidade dos Funcionários,430000.0
16,973784840,Apartamentos,0.0,147,2,1,0,Fortaleza,Cidade dos Funcionários,110300.0
17,960718255,Apartamentos,760.0,63,3,2,2,Fortaleza,Cidade dos Funcionários,280000.0
18,952650572,Apartamentos,275.0,60,3,2,1,Fortaleza,Cidade dos Funcionários,280000.0
19,929707947,Casas,0.0,479,3,2,4,Fortaleza,Cidade dos Funcionários,760000.0
20,977073739,Casas,0.0,250,4,5 ou mais,2,Fortaleza,Cidade dos Funcionários,850000.0
21,972268118,Apartamentos,562.0,120,3,4,2,Fortaleza,Cidade dos Funcionários,750000.0
22,977061112,Casas,0.0,238,5 ou mais,3,5 ou mais,Fortaleza,Cidade dos Funcionários,499000.0
23,961937719,Casas,1100.0,205,4,5 ou mais,4,Fortaleza,Cidade dos Funcionários,1300000.0
24,897616358,Apartamentos,600.0,1980,3,2,2,Fortaleza,Cidade dos Funcionários,180000.0
25,940459781,Casas,650.0,500,3,4,2,Fortaleza,Cidade dos Funcionários,845000.0
26,977016130,Casas,0.0,145,3,3,4,Fortaleza,Cidade dos Funcionários,435000.0
27,970199670,Casas,0.0,147,3,3,2,Fortaleza,Cidade dos Funcionários,350000.0
28,976990491,Casas,0.0,214,3,2,2,Fortaleza,Cidade dos Funcionários,390000.0
29,894339505,Casas,0.0,233,3,3,3,Fortaleza,Cidade dos Funcionários,680000.0
30,896319057,Apartamentos,365.0,90,3,2,1,Fortaleza,Cidade dos Funcionários,210000.0
31,976951985,Casas,520.0,100,3,3,2,Fortaleza,Cidade dos Funcionários,430000.0
32,896318923,Apartamentos,315.0,45,2,1,1,Fortaleza,Cidade dos Funcionários,144999.0
33,943645970,Casas,0.0,219,4,4,5 ou mais,Fortaleza,Cidade dos Funcionários,790000.0
34,877995649,Casas,600.0,250,4,5 ou mais,4,Fortaleza,Cidade dos Funcionários,838000.0
35,949118186,Casas,10.0,250,4,4,3,Fortaleza,Cidade dos Funcionários,1000000.0
36,932999135,Casas,0.0,198,2,3,2,Fortaleza,Cidade dos Funcionários,350000.0
37,970513818,Casas,0.0,140,5 ou mais,4,3,Fortaleza,Cidade dos Funcionários,540000.0
38,669250028,Casas,0.0,300,2,1,1,Fortaleza,Cidade dos Funcionários,950000.0
39,938543268,Casas,1000.0,200,3,5 ou mais,4,Fortaleza,Cidade dos Funcionários,1000050.0
40,886591771,Casas,0.0,314,4,4,4,Fortaleza,Cidade dos Funcionários,795000.0
41,945511063,Casas,700.0,240,4,4,5 ou mais,Fortaleza,Cidade dos Funcionários,640000.0
42,976649395,Casas,0.0,163,3,4,3,Fortaleza,Cidade dos Funcionários,489900.0
43,959044230,Casas,0.0,250,3,4,4,Fortaleza,Cidade dos Funcionários,550000.0
44,899446259,Casas,800.0,122,4,3,3,Fortaleza,Cidade dos Funcionários,500000.0
45,940100636,Apartamentos,0.0,73,3,2,2,Fortaleza,Cidade dos Funcionários,580000.0
46,817284240,Casas,0.0,167,3,3,2,Fortaleza,Cidade dos Funcionários,880000.0
47,954960040,Casas,0.0,230,3,4,5 ou mais,Fortaleza,Cidade dos Funcionários,950000.0
48,970843666,Casas,0.0,114,3,3,5 ou mais,Fortaleza,Cidade dos Funcionários,650000.0
49,914169894,Casas,0.0,385,4,5 ou mais,5 ou mais,Fortaleza,Cidade dos Funcionários,580000.0
50,841813116,Apartamentos,760.0,63,3,2,2,Fortaleza,Cambeba,259000.0
51,938406693,Apartamentos,0.0,64,3,2,2,Fortaleza,Cidade dos Funcionários,215000.0
52,976301294,Casas,0.0,300,4,5 ou mais,5 ou mais,Fortaleza,Cidade dos Funcionários,1500000.0
53,976301274,Casas,0.0,277,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Cidade dos Funcionários,650000.0
54,894335930,Casas,0.0,220,4,4,1,Fortaleza,Cidade dos Funcionários,750000.0
55,976248870,Apartamentos,176.0,55,2,1,5 ou mais,Fortaleza,Cidade dos Funcionários,105000.0
56,949849955,Casas,0.0,100,3,3,1,Fortaleza,Cidade dos Funcionários,350000.0
57,916198966,Apartamentos,0.0,53,2,2,1,Fortaleza,Cidade dos Funcionários,473197.0
58,949118176,Casas,520.0,114,3,2,5 ou mais,Fortaleza,Cidade dos Funcionários,499999.0
59,914004239,Casas,0.0,90,2,1,2,Fortaleza,Cidade dos Funcionários,245000.0
60,976207866,Casas,0.0,200,4,4,2,Fortaleza,Cidade dos Funcionários,650000.0
61,970578243,Casas,0.0,195,5 ou mais,4,5 ou mais,Fortaleza,Cidade dos Funcionários,750000.0
62,920851666,Casas,0.0,515,5 ou mais,5 ou mais,4,Fortaleza,Cidade dos Funcionários,599000.0
63,976123245,Casas,1000.0,220,4,4,4,Fortaleza,Cidade dos Funcionários,1300000.0
64,896318817,Casas,0.0,194,3,3,4,Fortaleza,Cidade dos Funcionários,499999.0
65,958004218,Apartamentos,668.0,73,2,2,2,Fortaleza,Cidade dos Funcionários,595000.0
66,967139367,Apartamentos,600.0,70,3,2,2,Fortaleza,Cidade dos Funcionários,190000.0
67,813494716,Casas,0.0,210,4,5 ou mais,5 ou mais,Fortaleza,Cidade dos Funcionários,650000.0
68,976004366,Apartamentos,410.0,62,3,2,1,Fortaleza,Cidade dos Funcionários,150000.0
69,941151071,Casas,0.0,290,4,,4,Fortaleza,Cidade dos Funcionários,570000.0
70,879955986,Casas,0.0,196,4,4,4,Fortaleza,Cidade dos Funcionários,880000.0
71,975791090,Casas,0.0,154,3,4,3,Fortaleza,Cidade dos Funcionários,480000.0
