,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,940110767,Casas,0.0,250,4,2,3,Fortaleza,Conjunto Ceará I,380000.0
1,971508499,Casas,0.0,96,3,2,1,Fortaleza,Conjunto Ceará I,18000.0
2,879356657,Casas,0.0,76,3,2,2,Fortaleza,Conjunto Ceará I,110000.0
3,972757287,Casas,0.0,320,2,2,0,Fortaleza,Conjunto Ceará II,150.0
4,972691668,Casas,0.0,140,3,3,2,Fortaleza,Conjunto Ceará I,25000.0
5,976014304,Casas,0.0,160,3,3,2,Fortaleza,Conjunto Ceará I,20000.0
6,943067028,Casas,0.0,173,3,3,1,Fortaleza,Conjunto Ceará I,380000.0
7,896881952,Apartamentos,0.0,55,2,1,0,Fortaleza,Conjunto Ceará II,420000.0
8,959044031,Casas,0.0,112,3,2,2,Fortaleza,Conjunto Ceará I,260000.0
9,900201834,Apartamentos,0.0,55,2,1,1,Fortaleza,Conjunto Ceará II,420000.0
10,485003187,Casas,0.0,84,3,,2,Fortaleza,Conjunto Ceará II,90000.0
11,961923730,Casas,0.0,180,3,4,,Fortaleza,Conjunto Ceará I,450000.0
12,974773585,Casas,0.0,0,3,2,1,Fortaleza,Conjunto Ceará I,150000.0
13,955795470,Casas,0.0,97,2,4,2,Fortaleza,Conjunto Ceará I,230000.0
14,964541523,Casas,0.0,360,5 ou mais,5 ou mais,2,Fortaleza,Conjunto Ceará I,600000.0
15,973887838,Casas,0.0,0,2,,,Fortaleza,Conjunto Ceará I,490000.0
16,954913352,Casas,0.0,250,2,3,2,Fortaleza,Conjunto Ceará II,423000.0
17,949625968,Casas,0.0,240,3,5 ou mais,3,Fortaleza,Conjunto Ceará I,440000.0
18,919862301,Casas,0.0,242,5 ou mais,5 ou mais,2,Fortaleza,Conjunto Ceará I,699000.0
19,942002025,Casas,0.0,107,3,2,2,Fortaleza,Conjunto Ceará I,335000.0
20,972337176,Casas,0.0,153,4,2,1,Fortaleza,Conjunto Ceará II,250000.0
21,917761624,Casas,0.0,91,1,1,1,Fortaleza,Conjunto Ceará II,179000.0
22,971699093,Casas,0.0,10,3,2,2,Fortaleza,Conjunto Ceará II,24000.0
23,971642750,Casas,0.0,220,3,2,1,Fortaleza,Conjunto Ceará II,115000.0
24,971300123,Casas,0.0,102,3,1,2,Fortaleza,Conjunto Ceará I,195000.0
25,940110225,Casas,0.0,160,5 ou mais,3,1,Fortaleza,Conjunto Ceará I,300000.0
26,970842243,Casas,0.0,0,3,3,4,Fortaleza,Conjunto Ceará I,500000.0
27,917141683,Casas,0.0,112,3,3,3,Fortaleza,Conjunto Ceará I,360000.0
28,970140004,Casas,0.0,200,3,1,1,Fortaleza,Conjunto Ceará II,300000.0
29,969909567,Casas,0.0,0,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Conjunto Ceará II,190.0
30,969694069,Apartamentos,20000.0,0,2,1,,Fortaleza,Cj Ceará,10000.0
31,969630135,Casas,0.0,0,2,2,,Fortaleza,Conjunto Ceará I,290000.0
32,969175577,Casas,0.0,157,4,3,3,Fortaleza,Conjunto Ceará I,550000.0
33,968841480,Casas,0.0,0,2,2,,Fortaleza,Conjunto Ceará I,35000.0
34,968659561,Apartamentos,180.0,0,3,2,1,Fortaleza,Conjunto Ceará I,170000.0
35,968597183,Casas,0.0,0,1,1,0,Fortaleza,Conjunto Ceará II,85000.0
36,968453313,Casas,270000.0,0,3,1,2,Fortaleza,Conjunto Ceará I,270000.0
37,920688317,Casas,0.0,450,5 ou mais,4,4,Fortaleza,Conjunto Ceará II,600000.0
38,934642444,Casas,0.0,250,3,3,1,Fortaleza,Conjunto Ceará II,285000.0
39,925121597,Casas,0.0,80,2,2,2,Fortaleza,Conjunto Ceará I,220000.0
40,968191838,Apartamentos,0.0,0,2,1,1,Fortaleza,Conjunto Ceará II,30000.0
41,968112767,Apartamentos,0.0,0,2,2,0,Fortaleza,Conjunto Ceará I,0.0
42,914465275,Casas,0.0,125,2,2,2,Fortaleza,Conjunto Ceará I,0.0
43,914465718,Casas,0.0,125,2,2,2,Fortaleza,Conjunto Ceará I,0.0
44,967024426,Casas,0.0,153,2,,1,Fortaleza,Conjunto Ceará I,200000.0
45,952339220,Casas,0.0,80,2,2,2,Fortaleza,Conjunto Ceará II,140000.0
46,923145703,Casas,0.0,242,4,5 ou mais,5 ou mais,Fortaleza,Conjunto Ceará I,600000.0
47,965266987,Casas,0.0,600,5 ou mais,4,4,Fortaleza,Conjunto Ceará II,600000.0
48,965225154,Casas,0.0,153,4,2,3,Fortaleza,Conjunto Ceará II,260000.0
49,964566965,Apartamentos,0.0,0,2,1,5 ou mais,Fortaleza,Cj Ceará,15000.0
50,961959464,Casas,0.0,153,3,2,3,Fortaleza,Conjunto Ceará II,320000.0
51,961192830,Casas,0.0,162,3,2,2,Fortaleza,Conjunto Ceará II,310000.0
52,961032132,Casas,0.0,264000,2,1,1,Fortaleza,Conjunto Ceará I,50000.0
53,960858033,Casas,0.0,0,3,1,1,Fortaleza,Conjunto Ceará II,0.0
54,959841192,Casas,0.0,0,5 ou mais,2,2,Fortaleza,Conjunto Ceará I,280000.0
55,958852079,Casas,0.0,0,2,1,1,Fortaleza,Conjunto Ceará I,100000.0
56,957908552,Casas,0.0,98,3,1,1,Fortaleza,Conjunto Ceará I,345000.0
57,957441854,Casas,0.0,0,2,1,2,Fortaleza,Conjunto Ceará I,140000.0
58,954778001,Casas,0.0,250,2,3,2,Fortaleza,Conjunto Ceará II,423000.0
59,848404379,Apartamentos,0.0,250,2,1,,Fortaleza,Conjunto Ceará II,420000.0
60,950646249,Casas,0.0,726,5 ou mais,,5 ou mais,Fortaleza,Conjunto Ceará II,398000.0
61,947753228,Casas,0.0,130,3,,3,Fortaleza,Conjunto Ceará II,300000.0
62,941650170,Casas,0.0,153,4,2,1,Fortaleza,Conjunto Ceará I,300000.0
63,935176598,Casas,0.0,242,3,3,1,Fortaleza,Conjunto Ceará,350000.0
64,926045820,Casas,0.0,0,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Conjunto Ceará II,398000.0
65,889094301,Apartamentos,0.0,360,5 ou mais,5 ou mais,0,Fortaleza,Conjunto Ceará II,369000.0
66,889045727,Casas,0.0,360,5 ou mais,5 ou mais,0,Fortaleza,Conjunto Ceará II,369000.0
67,867758301,Casas,0.0,72,2,2,2,Fortaleza,Conjunto Ceará I,138000.0
68,864995579,Casas,0.0,153,3,3,1,Fortaleza,Conjunto Ceará I,390000.0
69,858307677,Casas,0.0,200,3,3,3,Fortaleza,Conjunto Ceará I,295000.0
70,858302165,Casas,0.0,103,3,3,4,Fortaleza,Conjunto Ceará I,335000.0
71,749607369,Casas,0.0,242,5 ou mais,3,5 ou mais,Fortaleza,Conjunto Ceará II,398000.0
72,647882764,Casas,0.0,120,2,1,1,Fortaleza,Conjunto Ceará II,150000.0
