,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,935205881,Apartamentos,0.0,42,2,1,1,Fortaleza,Conjunto Esperança,95000.0
1,886401667,Casas,0.0,170,2,2,4,Fortaleza,Conjunto Esperança,230000.0
2,976460458,Apartamentos,110.0,53,2,1,1,Fortaleza,Conjunto Esperança,85000.0
3,976037510,Apartamentos,0.0,40,2,1,1,Fortaleza,Conjunto Esperança,0.0
4,976028779,Casas,0.0,207,4,3,0,Fortaleza,Cj Esperança,0.0
5,935168785,Apartamentos,0.0,42,2,1,1,Fortaleza,Conjunto Esperança,95000.0
6,975789694,Casas,0.0,170,2,2,4,Fortaleza,Conjunto Esperança,230000.0
7,975789470,Apartamentos,0.0,40,2,1,1,Fortaleza,Conjunto Esperança,90000.0
8,917338635,Casas,0.0,84,3,2,2,Fortaleza,Conjunto Esperança,95000.0
9,909184494,Apartamentos,220.0,60,3,2,1,Fortaleza,Conjunto Esperança,75000.0
10,975495603,Apartamentos,220.0,65,3,2,1,Fortaleza,Conjunto Esperança,110000.0
11,974632704,Apartamentos,110.0,0,2,1,1,Fortaleza,Conjunto Esperança,75000.0
12,949485683,Casas,0.0,68,2,2,2,Fortaleza,Conjunto Esperança,155000.0
13,974461072,Casas,0.0,0,2,2,,Fortaleza,Conjunto Esperança,80000.0
14,945170402,Apartamentos,200.0,49,2,1,1,Fortaleza,Conjunto Esperança,110000.0
15,974189037,Casas,0.0,88,1,1,0,Fortaleza,Conjunto Esperança,79000.0
16,959114162,Apartamentos,200.0,49,2,1,1,Fortaleza,Conjunto Esperança,100000.0
17,973553160,Apartamentos,220.0,44,2,1,1,Fortaleza,Conjunto Esperança,139000.0
18,973553141,Apartamentos,330.0,43,2,1,1,Fortaleza,Conjunto Esperança,129850.0
19,886838484,Apartamentos,0.0,40,2,1,1,Fortaleza,Conjunto Esperança,90000.0
20,972347657,Apartamentos,240.0,36,1,1,1,Fortaleza,Conjunto Esperança,170000.0
21,927583413,Apartamentos,0.0,45,2,1,1,Fortaleza,Conjunto Esperança,125000.0
22,956386035,Apartamentos,200.0,44,2,1,1,Fortaleza,Conjunto Esperança,105000.0
23,971626715,Apartamentos,0.0,40,2,1,1,Fortaleza,Cj Esperança,0.0
24,971614203,Casas,0.0,207,4,3,0,Fortaleza,Cj Esperança,0.0
25,971468592,Casas,0.0,153,3,2,,Fortaleza,Conjunto Esperança,320000.0
26,817036574,Apartamentos,0.0,130,3,2,1,Fortaleza,Conjunto Esperança,160000.0
27,955796330,Apartamentos,350.0,44,2,1,0,Fortaleza,Conjunto Esperança,110000.0
28,955796423,Apartamentos,0.0,62,3,1,1,Fortaleza,Conjunto Esperança,110000.0
29,969366501,Casas,0.0,0,2,2,,Fortaleza,Conjunto Esperança,43000.0
30,891128885,Apartamentos,160.0,55,2,1,1,Fortaleza,Conjunto Esperança,84000.0
31,955796532,Apartamentos,325.0,43,2,1,0,Fortaleza,Conjunto Esperança,90000.0
32,934077902,Apartamentos,0.0,80,3,1,2,Fortaleza,Conjunto Esperança,170000.0
33,907568095,Casas,0.0,420,4,5 ou mais,4,Fortaleza,Conjunto Esperança,950000.0
34,967779814,Apartamentos,160.0,47,2,2,1,Fortaleza,Conjunto Esperança,0.0
35,967441933,Apartamentos,110.0,45,2,1,0,Fortaleza,Conjunto Esperança,75000.0
36,966850421,Casas,0.0,25,1,1,1,Fortaleza,Conjunto Esperança,70000.0
37,966491656,Apartamentos,0.0,40,2,1,1,Fortaleza,Conjunto Esperança,170000.0
38,813473936,Apartamentos,200.0,50,2,1,1,Fortaleza,Conjunto Esperança,100000.0
39,965545477,Apartamentos,0.0,73,3,2,2,Fortaleza,Conjunto Esperança,0.0
40,955795961,Casas,0.0,69,2,2,0,Fortaleza,Conjunto Esperança,240000.0
41,935795846,Apartamentos,160.0,47,2,1,1,Fortaleza,Conjunto Esperança,95000.0
42,964930815,Casas,0.0,0,2,2,1,Fortaleza,Conjunto Esperança,50000.0
43,964744614,Casas,0.0,207,4,3,0,Fortaleza,Conjunto Esperança,210000.0
44,964135763,Apartamentos,160.0,57,2,1,1,Fortaleza,Conjunto Esperança,85000.0
45,963162520,Casas,0.0,0,2,1,2,Fortaleza,Conjunto Esperança,19000.0
46,828281021,Casas,0.0,252,1,1,1,Fortaleza,Conjunto Esperança,190000.0
47,960239703,Casas,0.0,0,4,2,1,Fortaleza,Conjunto Esperança,230000.0
48,959562367,Casas,0.0,80,5 ou mais,3,3,Fortaleza,Conjunto Esperança,190000.0
49,959499042,Apartamentos,150.0,50,2,1,0,Fortaleza,Conjunto Esperança,90000.0
50,957963882,Casas,0.0,0,0,0,0,Fortaleza,Conjunto Esperança,200000.0
51,957900885,Apartamentos,110.0,0,2,1,1,Fortaleza,Conjunto Esperança,75000.0
52,956459349,Casas,0.0,0,2,1,,Fortaleza,Conjunto Esperança,30000.0
53,905373489,Casas,0.0,125,2,2,2,Fortaleza,Conjunto Esperança,0.0
54,955884166,Apartamentos,140.0,50,2,1,1,Fortaleza,Conjunto Esperança,120000.0
55,932468820,Apartamentos,150.0,47,2,1,1,Fortaleza,Conjunto Esperança,95000.0
