,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,975644904,Apartamentos,550.0,110,3,3,2,Fortaleza,Cocó,380000.0
1,967470455,Apartamentos,550.0,85,3,3,1,Fortaleza,Cocó,315000.0
2,958174010,Apartamentos,0.0,150,3,4,2,Fortaleza,Cocó,900000.0
3,933322768,Apartamentos,1400.0,142,3,3,,Fortaleza,Cocó,550000.0
4,676284320,Apartamentos,1050.0,140,4,4,2,Fortaleza,Cocó,320000.0
5,961603514,Apartamentos,900.0,120,3,4,3,Fortaleza,Cocó,950000.0
6,902364470,Apartamentos,0.0,123,3,4,4,Fortaleza,Cocó,900000.0
7,938380586,Apartamentos,864.0,116,3,3,2,Fortaleza,Manuel Dias Branco,1100000.0
8,887233419,Apartamentos,1250.0,111,3,3,2,Fortaleza,Cocó,299000.0
9,944296448,Apartamentos,850.0,99,3,3,2,Fortaleza,Cocó,750000.0
10,956341029,Apartamentos,770.0,99,3,3,2,Fortaleza,Cocó,750000.0
11,977405082,Apartamentos,650.0,110,4,3,2,Fortaleza,Cocó,0.0
12,962076617,Apartamentos,0.0,80,3,2,2,Fortaleza,Cocó,615000.0
13,964759688,Apartamentos,1200.0,138,3,4,3,Fortaleza,Cocó,850000.0
14,926586420,Apartamentos,1000.0,153,3,1,2,Fortaleza,Cocó,470000.0
15,886401376,Apartamentos,850.0,138,3,2,2,Fortaleza,Cocó,350000.0
16,937229303,Apartamentos,0.0,81,3,3,2,Fortaleza,Cocó,823062.0
17,943830498,Apartamentos,400.0,43,2,1,1,Fortaleza,Manuel Dias Branco,220000.0
18,945964359,Apartamentos,1400.0,142,3,4,2,Fortaleza,Cocó,555000.0
19,972268119,Apartamentos,900.0,136,2,2,2,Fortaleza,Cocó,430000.0
20,949339542,Apartamentos,690.0,83,3,3,2,Fortaleza,Cocó,590000.0
21,969722409,Apartamentos,1200.0,231,4,5 ou mais,3,Fortaleza,Cocó,450000.0
22,968810351,Apartamentos,900.0,91,3,4,2,Fortaleza,Cocó,449000.0
23,967320839,Apartamentos,0.0,104,3,3,2,Fortaleza,Cocó,527100.0
24,903189405,Apartamentos,770.0,123,3,5 ou mais,2,Fortaleza,Cocó,1125000.0
25,919850989,Apartamentos,999.0,155,3,4,2,Fortaleza,Cocó,599000.0
26,971131367,Apartamentos,570.0,114,4,3,1,Fortaleza,Cocó,360000.0
27,959973307,Apartamentos,800.0,104,3,3,2,Fortaleza,Cocó,600000.0
28,906536878,Apartamentos,500.0,72,3,1,2,Fortaleza,Cocó,530000.0
29,970828675,Apartamentos,1200.0,138,4,5 ou mais,3,Fortaleza,Cocó,800000.0
30,911996752,Apartamentos,0.0,257,3,5 ou mais,4,Fortaleza,Cocó,2547416.0
31,976731663,Apartamentos,0.0,123,3,5 ou mais,3,Fortaleza,Cocó,1413957.0
32,956348143,Apartamentos,730.0,150,3,4,2,Fortaleza,Cocó,900000.0
33,612545635,Apartamentos,690.0,107,3,2,1,Fortaleza,Cocó,290000.0
34,950990396,Apartamentos,1360.0,185,3,5 ou mais,3,Fortaleza,Cocó,1100000.0
35,883620336,Apartamentos,570.0,96,3,3,2,Fortaleza,Cocó,674000.0
36,902759604,Apartamentos,830.0,149,4,3,2,Fortaleza,Cocó,400000.0
37,931481361,Apartamentos,0.0,116,3,3,3,Fortaleza,Manuel Dias Branco,1434598.0
38,913207327,Apartamentos,900.0,103,3,4,3,Fortaleza,Cocó,640000.0
39,951305284,Apartamentos,1100.0,117,2,3,3,Fortaleza,Cocó,679000.0
40,959071966,Apartamentos,950.0,141,3,4,3,Fortaleza,Cocó,650000.0
41,605793212,Apartamentos,0.0,68,3,3,2,Fortaleza,Cocó,389999.0
42,646442034,Apartamentos,0.0,75,3,3,2,Fortaleza,Cocó,380000.0
43,940232935,Apartamentos,900.0,91,3,3,2,Fortaleza,Cocó,449000.0
44,954256429,Apartamentos,0.0,61,2,2,1,Fortaleza,Cocó,442455.0
45,666032968,Apartamentos,350.0,50,2,2,1,Fortaleza,Manuel Dias Branco,214999.0
46,958173995,Apartamentos,550.0,70,3,2,0,Fortaleza,Cocó,580000.0
47,816911767,Apartamentos,580.0,96,3,3,2,Fortaleza,Cocó,699000.0
48,776777594,Apartamentos,0.0,55,2,2,2,Fortaleza,Manuel Dias Branco,305000.0
49,967687620,Apartamentos,700.0,98,3,3,2,Fortaleza,Cocó,310000.0
50,967687620,Apartamentos,700.0,98,3,3,2,Fortaleza,Cocó,310000.0
51,919029658,Apartamentos,745.0,98,3,3,2,Fortaleza,Cocó,799900.0
52,977207285,Apartamentos,700.0,99,3,3,1,Fortaleza,Cocó,220000.0
53,977192179,Casas,0.0,280,3,3,3,Fortaleza,Cocó,1900000.0
54,977192167,Casas,0.0,450,4,3,5 ou mais,Fortaleza,Cocó,3500000.0
55,977190155,Apartamentos,600.0,112,4,2,1,Fortaleza,Cocó,300000.0
56,961535193,Apartamentos,700.0,68,2,2,1,Fortaleza,Cocó,335000.0
57,941379479,Apartamentos,1.0,123,3,4,2,Fortaleza,Cocó,990000.0
58,956620602,Apartamentos,1000.0,172,3,5 ou mais,2,Fortaleza,Cocó,500000.0
59,970194369,Apartamentos,950.0,203,2,4,3,Fortaleza,Cocó,635000.0
60,946921823,Apartamentos,0.0,97,3,3,2,Fortaleza,Cocó,880000.0
61,977182966,Apartamentos,0.0,111,3,3,2,Fortaleza,Cocó,1270000.0
62,972299757,Apartamentos,0.0,110,3,3,2,Fortaleza,Cocó,1169624.0
63,963045959,Apartamentos,800.0,69,2,2,2,Fortaleza,Cocó,260000.0
64,977171277,Apartamentos,395.0,53,2,2,1,Fortaleza,Manuel Dias Branco,220000.0
65,969051318,Apartamentos,500.0,82,3,3,2,Fortaleza,Cocó,550000.0
66,962034328,Apartamentos,0.0,92,3,3,,Fortaleza,Manuel Dias Branco,960000.0
67,960519050,Apartamentos,781.0,134,3,5 ou mais,3,Fortaleza,Cocó,1190000.0
68,957584428,Apartamentos,547.0,68,3,2,2,Fortaleza,Cocó,575000.0
69,949662941,Apartamentos,0.0,123,3,4,3,Fortaleza,Cocó,938000.0
70,932284264,Apartamentos,744.0,98,3,3,2,Fortaleza,Cocó,750000.0
