,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,972299717,Casas,0.0,120,3,2,,Fortaleza,Álvaro Weyne,250000.0
1,977405408,Apartamentos,300.0,48,2,1,1,Fortaleza,Cristo Redentor,130000.0
2,925401642,Apartamentos,850.0,165,3,3,4,Fortaleza,Cristo Redentor,1305350.0
3,695884410,Apartamentos,0.0,47,2,1,1,Fortaleza,Cristo Redentor,182200.0
4,752276788,Apartamentos,0.0,40,1,1,1,Fortaleza,Álvaro Weyne,220000.0
5,909177274,Casas,0.0,200,4,4,2,Fortaleza,Cristo Redentor,275000.0
6,976007849,Apartamentos,354.0,59000,2,1,1,Fortaleza,Cristo Redentor,210000.0
7,975879476,Apartamentos,0.0,47,2,1,1,Fortaleza,Cristo Redentor,182200.0
8,975332420,Casas,0.0,0,2,2,,Fortaleza,Cristo Redentor,57000.0
9,975090179,Casas,0.0,60000,1,2,0,Fortaleza,Cristo Redentor,115000.0
10,935167610,Apartamentos,0.0,40,1,1,1,Fortaleza,Álvaro Weyne,220000.0
11,924123041,Apartamentos,305.0,75,2,2,1,Fortaleza,Álvaro Weyne,145000.0
12,771412505,Apartamentos,0.0,47,2,1,1,Fortaleza,Cristo Redentor,176900.0
13,973945820,Casas,0.0,160,3,2,1,Fortaleza,Cristo Redentor,55000.0
14,973698471,Apartamentos,387.0,55,2,1,1,Fortaleza,Cristo Redentor,223000.0
15,952899628,Apartamentos,0.0,52,2,1,1,Fortaleza,Cristo Redentor,250000.0
16,915248761,Apartamentos,1600.0,259,4,5 ou mais,4,Fortaleza,Cristo Redentor,2650000.0
17,956149583,Apartamentos,350.0,52,2,2,1,Fortaleza,Álvaro Weyne,390000.0
18,759285261,Apartamentos,0.0,47,2,1,1,Fortaleza,Cristo Redentor,184900.0
19,972298712,Apartamentos,0.0,48,2,1,1,Fortaleza,Cristo Redentor,198600.0
20,972298303,Apartamentos,1.0,52,2,2,1,Fortaleza,Álvaro Weyne,368000.0
21,972297172,Apartamentos,1.0,51,2,1,1,Fortaleza,Álvaro Weyne,345000.0
22,643823750,Casas,0.0,480,4,2,2,Fortaleza,Cristo Redentor,310000.0
23,971473138,Casas,0.0,0,2,1,0,Fortaleza,Cristo Redentor,9000.0
24,971071116,Casas,0.0,0,3,4,1,Fortaleza,Cristo Redentor,300000.0
25,971029379,Casas,0.0,0,1,1,0,Fortaleza,Cristo Redentor,0.0
26,915189547,Casas,0.0,240,4,5 ou mais,2,Fortaleza,Cristo Redentor,440000.0
27,867735914,Apartamentos,300.0,57,2,1,1,Fortaleza,Cristo Redentor,225000.0
28,892510238,Apartamentos,0.0,47,2,1,1,Fortaleza,Cristo Redentor,176900.0
29,944040719,Apartamentos,295.0,44,2,1,2,Fortaleza,Cristo Redentor,165000.0
30,892505657,Apartamentos,295.0,440,2,1,2,Fortaleza,Cristo Redentor,165000.0
31,969709611,Casas,0.0,0,2,2,1,Fortaleza,Cristo Redentor,200000.0
32,958117193,Casas,0.0,142,3,1,1,Fortaleza,Cristo Redentor,260000.0
33,924123121,Apartamentos,297.0,55,2,1,1,Fortaleza,Cristo Redentor,240000.0
34,968749995,Casas,0.0,275,4,2,2,Fortaleza,Cristo Redentor,250000.0
35,813473768,Apartamentos,240.0,44,2,1,1,Fortaleza,Cristo Redentor,150000.0
36,949326843,Apartamentos,353.0,53,2,1,1,Fortaleza,Cristo Redentor,220000.0
37,892510519,Apartamentos,0.0,55,2,1,1,Fortaleza,Cristo Redentor,210000.0
38,966157765,Casas,0.0,0,1,2,0,Fortaleza,Cristo Redentor,150000.0
39,914985557,Casas,0.0,125,2,2,2,Fortaleza,Cristo Redentor,0.0
40,914985513,Casas,0.0,125,2,2,2,Fortaleza,Cristo Redentor,0.0
41,946404566,Apartamentos,353.0,53,2,1,1,Fortaleza,Cristo Redentor,250000.0
42,946404574,Apartamentos,353.0,53,2,1,1,Fortaleza,Cristo Redentor,235000.0
43,964532093,Apartamentos,0.0,55,2,1,1,Fortaleza,Cristo Redentor,240000.0
44,914768877,Casas,0.0,65,2,3,2,Fortaleza,Álvaro Weyne,160.0
45,945899857,Casas,0.0,75,3,3,2,Fortaleza,Álvaro Weyne,195000.0
46,964067710,Apartamentos,387.0,55,2,1,1,Fortaleza,Cristo Redentor,223000.0
47,741285963,Apartamentos,170.0,47,2,1,1,Fortaleza,Cristo Redentor,183000.0
48,813473765,Apartamentos,0.0,47,2,1,1,Fortaleza,Cristo Redentor,182200.0
49,942050800,Apartamentos,240.0,44,2,1,1,Fortaleza,Cristo Redentor,165000.0
50,961918790,Apartamentos,0.0,48,2,1,0,Fortaleza,Cristo Redentor,40000.0
51,961495477,Casas,0.0,130,2,1,1,Fortaleza,Álvaro Weyne,0.0
52,961034843,Casas,1050.0,240,4,3,5 ou mais,Fortaleza,Cristo Redentor,0.0
53,960179145,Casas,0.0,158,3,3,1,Fortaleza,Cristo Redentor,250000.0
54,959246344,Casas,0.0,0,4,3,1,Fortaleza,Álvaro Weyne,160000.0
55,957963303,Apartamentos,0.0,0,2,1,0,Fortaleza,Cristo Redentor,0.0
56,956316395,Casas,0.0,0,5 ou mais,2,1,Fortaleza,Cristo Redentor,160000.0
57,878126179,Apartamentos,0.0,47,2,1,1,Fortaleza,Cristo Redentor,182200.0
