,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,936417282,Casas,140.0,65,2,1,1,Fortaleza,Curió,195000.0
1,955783032,Casas,600.0,110,3,4,2,Fortaleza,Curió,220000.0
2,954960003,Casas,0.0,120,3,2,3,Fortaleza,Guajeru,350000.0
3,955477802,Casas,600.0,110,3,3,2,Fortaleza,Curió,220000.0
4,946724994,Apartamentos,330.0,67,3,2,1,Fortaleza,Curió,170000.0
5,960964675,Casas,50.0,200,4,3,4,Fortaleza,Guajeru,255000.0
6,973805045,Casas,0.0,133,4,4,3,Fortaleza,Curió,590000.0
7,976655472,Apartamentos,0.0,44,2,1,0,Fortaleza,Curió,128000.0
8,976378014,Casas,0.0,0,2,1,0,Fortaleza,Curió,25000.0
9,976116842,Casas,0.0,0,2,2,2,Fortaleza,Curió,189903.0
10,916609825,Casas,146.0,80,2,2,2,Fortaleza,Guajeru,185000.0
11,975935980,Casas,0.0,45,2,1,,Fortaleza,Guajeru,60000.0
12,956186344,Casas,400.0,80,2,1,2,Fortaleza,Curió,225000.0
13,967332437,Casas,750.0,160,4,5 ou mais,3,Fortaleza,Curió,560000.0
14,884229029,Apartamentos,350.0,68,3,2,1,Fortaleza,Curió,140000.0
15,975446384,Casas,300.0,0,2,2,1,Fortaleza,Guajeru,160000.0
16,889962787,Casas,735.0,132,3,4,2,Fortaleza,Curió,590000.0
17,729447424,Casas,320.0,60,2,1,,Fortaleza,Guajeru,160000.0
18,975156483,Casas,0.0,120,3,3,5 ou mais,Fortaleza,Curió,590000.0
19,937089901,Casas,145.0,80,2,2,2,Fortaleza,Guajeru,185000.0
20,915146210,Casas,350.0,78,3,2,2,Fortaleza,Curió,230000.0
21,935167699,Apartamentos,443.0,55,2,2,2,Fortaleza,Curió,155000.0
22,954960085,Casas,545.0,89,2,3,2,Fortaleza,Curió,320000.0
23,954959947,Casas,0.0,122,3,3,2,Fortaleza,Guajeru,300000.0
24,898267330,Apartamentos,530.0,60,2,2,1,Fortaleza,Curió,149000.0
25,932285671,Casas,1100.0,187,3,3,3,Fortaleza,Curió,765000.0
26,974653611,Casas,0.0,0,2,2,2,Fortaleza,Curió,189902.0
27,960258069,Casas,600.0,110,3,3,2,Fortaleza,Curió,220000.0
28,958696630,Casas,600.0,90,3,3,2,Fortaleza,Curió,220000.0
