,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,888572324,Casas,0.0,200,3,2,1,Fortaleza,Rodolfo Teófilo,370000.0
1,977448785,Apartamentos,298.0,78,3,2,1,Fortaleza,Damas,250000.0
2,907566441,Apartamentos,350.0,81,3,1,2,Fortaleza,Damas,440000.0
3,977447526,Apartamentos,370.0,72,3,3,1,Fortaleza,Damas,200000.0
4,960441510,Apartamentos,350.0,80,3,2,1,Fortaleza,Damas,450000.0
5,977368220,Casas,0.0,0,2,2,1,Fortaleza,Damas,0.0
6,873042956,Apartamentos,372.0,67,2,2,1,Fortaleza,Rodolfo Teófilo,170000.0
7,967720735,Apartamentos,360.0,68,3,2,1,Fortaleza,Damas,270000.0
8,954195508,Apartamentos,0.0,68,3,1,1,Fortaleza,Damas,270000.0
9,950665547,Apartamentos,360.0,66,3,2,1,Fortaleza,Damas,270000.0
10,956368471,Apartamentos,290.0,70,3,2,1,Fortaleza,Rodolfo Teófilo,210000.0
11,977163549,Apartamentos,300.0,83,3,2,2,Fortaleza,Damas,399000.0
12,961926970,Apartamentos,300.0,85,3,3,2,Fortaleza,Rodolfo Teófilo,499000.0
13,977132387,Casas,0.0,150,2,2,1,Fortaleza,Rodolfo Teófilo,0.0
14,909177299,Apartamentos,320.0,60,2,2,1,Fortaleza,Jardim América,205000.0
15,959860330,Apartamentos,0.0,67,2,1,1,Fortaleza,Rodolfo Teófilo,180000.0
16,976957935,Casas,0.0,0,3,3,2,Fortaleza,Rodolfo Teófilo,320000.0
17,883259635,Apartamentos,210.0,45,2,1,1,Fortaleza,Damas,160000.0
18,937721090,Apartamentos,425.0,60,3,2,2,Fortaleza,Damas,290000.0
19,973366339,Casas,0.0,170,2,1,1,Fortaleza,Damas,280000.0
20,951821464,Apartamentos,505.0,65,2,2,1,Fortaleza,Damas,170000.0
21,976649680,Apartamentos,360.0,68,3,2,1,Fortaleza,Damas,269900.0
22,973556909,Casas,0.0,192,3,1,,Fortaleza,Rodolfo Teófilo,550000.0
23,976601475,Apartamentos,600.0,71,3,2,1,Fortaleza,Damas,235000.0
24,976590124,Apartamentos,500.0,56,2,2,1,Fortaleza,Damas,215000.0
25,976589412,Apartamentos,350.0,70,3,2,1,Fortaleza,Damas,180000.0
26,959147921,Casas,0.0,200,4,3,1,Fortaleza,Rodolfo Teófilo,390000.0
27,951260672,Apartamentos,290.0,45,2,1,1,Fortaleza,Damas,120000.0
28,959792460,Apartamentos,0.0,66,2,2,1,Fortaleza,Damas,260000.0
29,976357763,Casas,0.0,0,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Jardim América,520000.0
30,925784812,Casas,0.0,125,2,2,2,Fortaleza,Damas,0.0
31,925784775,Casas,0.0,125,2,2,2,Fortaleza,Damas,0.0
32,976294477,Apartamentos,0.0,149,4,4,4,Fortaleza,Damas,660100.0
33,976264962,Apartamentos,300.0,83,3,2,2,Fortaleza,Damas,399000.0
34,976247608,Apartamentos,470.0,61,3,2,2,Fortaleza,Damas,0.0
35,976235807,Apartamentos,280.0,87,3,2,1,Fortaleza,Damas,0.0
36,957464064,Apartamentos,300.0,70,3,2,1,Fortaleza,Rodolfo Teófilo,210000.0
37,976221275,Apartamentos,350.0,81,3,2,2,Fortaleza,Damas,0.0
38,976219375,Apartamentos,500.0,66,3,2,1,Fortaleza,Damas,0.0
39,976218832,Apartamentos,360.0,56,2,2,1,Fortaleza,Rodolfo Teófilo,0.0
40,935168633,Casas,0.0,140,4,2,2,Fortaleza,Rodolfo Teófilo,415000.0
41,900200618,Casas,0.0,222,2,3,0,Fortaleza,Jardim América,450000.0
42,968810078,Apartamentos,330.0,68,3,2,0,Fortaleza,Damas,370000.0
43,972114504,Apartamentos,0.0,214,2,3,,Fortaleza,Rodolfo Teófilo,750000.0
44,976062147,Apartamentos,260.0,68,3,2,2,Fortaleza,Rodolfo Teófilo,0.0
45,976007210,Casas,0.0,120,3,3,2,Fortaleza,Rodolfo Teófilo,20000.0
46,970750825,Casas,0.0,400,5 ou mais,5 ou mais,1,Fortaleza,Damas,600000.0
47,965005640,Apartamentos,0.0,67,3,2,0,Fortaleza,Rodolfo Teófilo,165000.0
48,975789779,Apartamentos,525.0,72,2,2,1,Fortaleza,Damas,170000.0
49,975789458,Apartamentos,372.0,67,2,2,1,Fortaleza,Rodolfo Teófilo,170000.0
50,974022522,Casas,0.0,358,3,2,2,Fortaleza,Jardim América,602000.0
51,872830323,Apartamentos,320.0,64,2,2,1,Fortaleza,Damas,180000.0
52,952748489,Apartamentos,380.0,65,3,2,1,Fortaleza,Damas,240000.0
53,973690076,Apartamentos,370.0,72,3,2,1,Fortaleza,Damas,285000.0
54,973639771,Apartamentos,600.0,70,3,3,1,Fortaleza,Damas,0.0
55,973638628,Apartamentos,350.0,81,3,2,2,Fortaleza,Damas,0.0
56,973628541,Apartamentos,280.0,87,3,2,1,Fortaleza,Damas,0.0
57,938361937,Apartamentos,372.0,67,2,1,1,Fortaleza,Rodolfo Teófilo,180000.0
