,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,947398758,Casas,0.0,480,4,4,5 ou mais,Fortaleza,De Lourdes,1200000.0
1,946134804,Apartamentos,583.0,75,3,3,2,Fortaleza,De Lourdes,578000.0
2,954006687,Apartamentos,506.0,75,3,2,2,Fortaleza,De Lourdes,572464.0
3,935453467,Apartamentos,450.0,61,2,2,2,Fortaleza,De Lourdes,475045.0
4,957853673,Casas,2500.0,470,3,5 ou mais,5 ou mais,Fortaleza,De Lourdes,2699000.0
5,959973249,Apartamentos,0.0,135,3,4,2,Fortaleza,De Lourdes,580000.0
6,970513753,Apartamentos,480.0,88,3,3,2,Fortaleza,De Lourdes,717000.0
7,967128702,Casas,2087.0,3344,5 ou mais,5 ou mais,5 ou mais,Fortaleza,De Lourdes,2600000.0
8,729447388,Apartamentos,0.0,88,2,2,2,Fortaleza,De Lourdes,745528.0
9,947695303,Apartamentos,0.0,100,3,2,2,Fortaleza,De Lourdes,873100.0
10,883620366,Apartamentos,560.0,88,3,3,2,Fortaleza,De Lourdes,652359.0
11,959991057,Casas,2600.0,450,3,5 ou mais,5 ou mais,Fortaleza,De Lourdes,2699000.0
12,977192511,Apartamentos,600.0,75,3,2,1,Fortaleza,De Lourdes,270000.0
13,969051285,Casas,0.0,1503,4,5 ou mais,4,Fortaleza,De Lourdes,1800000.0
14,914170151,Casas,0.0,500,5 ou mais,5 ou mais,4,Fortaleza,De Lourdes,1050000.0
15,969375078,Apartamentos,571.0,88,3,3,2,Fortaleza,De Lourdes,700000.0
16,967123913,Apartamentos,500.0,75,3,3,2,Fortaleza,De Lourdes,545000.0
17,927515923,Apartamentos,0.0,62,2,2,2,Fortaleza,De Lourdes,377000.0
18,947398608,Casas,0.0,500,5 ou mais,5 ou mais,4,Fortaleza,De Lourdes,1050000.0
19,844211032,Apartamentos,1200.0,173,3,3,2,Fortaleza,De Lourdes,580000.0
20,952654758,Casas,4800.0,450,4,5 ou mais,5 ou mais,Fortaleza,De Lourdes,2990000.0
21,828288310,Apartamentos,1000.0,129,3,4,2,Fortaleza,De Lourdes,480000.0
22,947695210,Apartamentos,0.0,88,2,2,2,Fortaleza,De Lourdes,708900.0
23,954345609,Casas,2200.0,277,3,3,4,Fortaleza,De Lourdes,1100000.0
24,972296885,Apartamentos,650.0,75,3,3,2,Fortaleza,De Lourdes,566106.0
25,933322769,Casas,0.0,450,5 ou mais,3,3,Fortaleza,De Lourdes,2000000.0
26,955922201,Casas,0.0,740,4,3,4,Fortaleza,De Lourdes,1200000.0
27,908360376,Casas,0.0,720,3,5 ou mais,5 ou mais,Fortaleza,De Lourdes,2098000.0
28,933807628,Apartamentos,0.0,62,2,2,2,Fortaleza,De Lourdes,395000.0
29,906845283,Apartamentos,0.0,51,2,2,1,Fortaleza,De Lourdes,240000.0
30,671705835,Casas,1800.0,420,5 ou mais,5 ou mais,4,Fortaleza,De Lourdes,2500000.0
31,791493289,Apartamentos,0.0,88,2,2,2,Fortaleza,De Lourdes,733136.0
32,976756461,Casas,0.0,350,4,5 ou mais,5 ou mais,Fortaleza,De Lourdes,2990000.0
33,906730097,Apartamentos,500.0,62,2,2,2,Fortaleza,De Lourdes,368000.0
34,955426744,Casas,0.0,358,5 ou mais,5 ou mais,5 ou mais,Fortaleza,De Lourdes,1900000.0
35,756623902,Apartamentos,0.0,61,2,2,,Fortaleza,De Lourdes,473819.0
36,945155232,Apartamentos,500.0,139,2,2,2,Fortaleza,De Lourdes,489000.0
37,976649649,Casas,3300.0,260,5 ou mais,5 ou mais,3,Fortaleza,De Lourdes,2200000.0
38,952227704,Casas,0.0,650,5 ou mais,5 ou mais,4,Fortaleza,De Lourdes,1800000.0
39,970077327,Casas,0.0,498,4,5 ou mais,5 ou mais,Fortaleza,De Lourdes,1800000.0
40,967295628,Apartamentos,0.0,88,3,3,2,Fortaleza,De Lourdes,599999.0
41,921139953,Casas,2200.0,350,5 ou mais,5 ou mais,5 ou mais,Fortaleza,De Lourdes,1100000.0
42,883920051,Casas,1.0,400,3,5 ou mais,4,Fortaleza,De Lourdes,2000000.0
43,951409247,Casas,2400.0,200,3,4,5 ou mais,Fortaleza,De Lourdes,1350000.0
44,954006391,Apartamentos,0.0,61,2,2,2,Fortaleza,De Lourdes,377000.0
45,948776905,Apartamentos,600.0,88,3,3,2,Fortaleza,De Lourdes,640000.0
46,883620346,Apartamentos,560.0,88,3,3,2,Fortaleza,De Lourdes,652359.0
47,759661226,Apartamentos,857.0,127,3,3,2,Fortaleza,De Lourdes,560000.0
48,976301596,Casas,0.0,1300,4,5 ou mais,5 ou mais,Fortaleza,De Lourdes,6500000.0
49,956399950,Apartamentos,600.0,75,3,2,2,Fortaleza,De Lourdes,570000.0
50,956399950,Apartamentos,600.0,75,3,2,2,Fortaleza,De Lourdes,570000.0
51,967280452,Apartamentos,0.0,100,3,3,2,Fortaleza,De Lourdes,699999.0
52,947297048,Casas,0.0,186,4,4,4,Fortaleza,De Lourdes,1500000.0
53,968784173,Casas,0.0,740,4,4,4,Fortaleza,De Lourdes,1200000.0
54,950293341,Casas,0.0,300,5 ou mais,5 ou mais,4,Fortaleza,De Lourdes,1200000.0
55,961950774,Casas,1500.0,500,4,5 ou mais,4,Fortaleza,De Lourdes,1500000.0
56,956340993,Apartamentos,680.0,75,3,2,0,Fortaleza,De Lourdes,515000.0
57,964759613,Casas,0.0,336,3,3,0,Fortaleza,De Lourdes,800000.0
58,967657241,Casas,0.0,570,5 ou mais,5 ou mais,5 ou mais,Fortaleza,De Lourdes,3150000.0
59,933763408,Apartamentos,542.0,88,2,2,2,Fortaleza,De Lourdes,660000.0
60,780811856,Apartamentos,419.0,62,2,2,2,Fortaleza,De Lourdes,371000.0
61,816911764,Apartamentos,506.0,75,3,2,2,Fortaleza,De Lourdes,470000.0
62,975797611,Casas,0.0,650,4,1,5 ou mais,Fortaleza,De Lourdes,5000000.0
63,975797557,Apartamentos,1200.0,207,4,1,4,Fortaleza,De Lourdes,1100000.0
64,975789606,Casas,0.0,450,4,1,5 ou mais,Fortaleza,De Lourdes,1700000.0
65,975789553,Casas,0.0,450,3,5 ou mais,4,Fortaleza,De Lourdes,2100000.0
66,975789395,Casas,0.0,396,5 ou mais,5 ou mais,5 ou mais,Fortaleza,De Lourdes,2000000.0
67,975789349,Casas,0.0,600,5 ou mais,1,4,Fortaleza,De Lourdes,1050000.0
68,975789214,Casas,0.0,1120,3,4,5 ou mais,Fortaleza,De Lourdes,1800000.0
69,782551494,Apartamentos,0.0,75,3,2,2,Fortaleza,De Lourdes,591839.0
70,920733262,Casas,0.0,302,4,5 ou mais,5 ou mais,Fortaleza,De Lourdes,1500000.0
71,932972274,Apartamentos,0.0,88,2,2,2,Fortaleza,De Lourdes,745528.0
72,964759788,Casas,2500.0,246,5 ou mais,5 ou mais,0,Fortaleza,De Lourdes,2200000.0
73,945045171,Casas,1766.0,285,4,5 ou mais,4,Fortaleza,De Lourdes,2200000.0
74,920717952,Casas,0.0,787,3,3,4,Fortaleza,De Lourdes,1800000.0
75,975716229,Casas,0.0,380,3,3,5 ou mais,Fortaleza,De Lourdes,2100004.0
76,947254983,Apartamentos,526.0,62,2,2,2,Fortaleza,De Lourdes,465000.0
77,968657355,Casas,2200.0,300,3,5 ou mais,4,Fortaleza,De Lourdes,1000000.0
78,920732996,Casas,0.0,498,4,5 ou mais,4,Fortaleza,De Lourdes,2000000.0
79,791493278,Apartamentos,0.0,100,3,3,2,Fortaleza,De Lourdes,902988.0
80,949376537,Casas,1600.0,280,3,4,4,Fortaleza,De Lourdes,1600000.0
81,923758647,Apartamentos,0.0,492,5 ou mais,5 ou mais,5 ou mais,Fortaleza,De Lourdes,1700000.0
82,897614455,Casas,0.0,720,4,5 ou mais,5 ou mais,Fortaleza,De Lourdes,2100000.0
83,967138200,Apartamentos,419.0,61,2,2,2,Fortaleza,De Lourdes,372000.0
84,807125051,Apartamentos,0.0,132,3,4,2,Fortaleza,De Lourdes,580000.0
