,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,920043544,Casas,0.0,125,4,3,2,Fortaleza,Demócrito Rocha,270000.0
1,956255918,Apartamentos,200.0,80,3,2,1,Fortaleza,Demócrito Rocha,179000.0
2,976207834,Casas,0.0,280,4,1,4,Fortaleza,Demócrito Rocha,550000.0
3,975976005,Apartamentos,0.0,42,2,1,1,Fortaleza,Demócrito Rocha,24000.0
4,972299747,Apartamentos,405.0,68,3,2,2,Fortaleza,Demócrito Rocha,340000.0
5,854294586,Apartamentos,0.0,360,1,1,,Fortaleza,Demócrito Rocha,700000.0
6,920504917,Casas,0.0,125,2,2,2,Fortaleza,Demócrito Rocha,0.0
7,920504921,Casas,0.0,125,2,2,2,Fortaleza,Demócrito Rocha,0.0
8,753887563,Apartamentos,265.0,54,2,2,1,Fortaleza,Demócrito Rocha,130000.0
9,973378732,Apartamentos,385.0,56,3,,1,Fortaleza,Demócrito Rocha,230000.0
10,973240949,Apartamentos,0.0,65,3,2,1,Fortaleza,Demócrito Rocha,150000.0
11,973116159,Casas,0.0,0,4,2,5 ou mais,Fortaleza,Demócrito Rocha,250000.0
12,887194520,Casas,0.0,176,3,2,2,Fortaleza,Demócrito Rocha,450000.0
13,923619956,Apartamentos,415.0,51,2,2,1,Fortaleza,Demócrito Rocha,199000.0
14,946398206,Casas,0.0,151,2,2,4,Fortaleza,Demócrito Rocha,0.0
15,946398058,Casas,0.0,125,2,2,2,Fortaleza,Demócrito Rocha,0.0
16,946398047,Casas,0.0,125,2,2,2,Fortaleza,Demócrito Rocha,0.0
17,946398054,Casas,0.0,125,2,2,2,Fortaleza,Demócrito Rocha,0.0
18,946398123,Casas,0.0,50,2,1,1,Fortaleza,Demócrito Rocha,0.0
19,946398056,Casas,0.0,125,2,2,2,Fortaleza,Demócrito Rocha,0.0
20,946398066,Casas,0.0,180,2,2,2,Fortaleza,Demócrito Rocha,0.0
21,946398128,Apartamentos,0.0,43,2,2,5 ou mais,Fortaleza,Demócrito Rocha,0.0
22,934686656,Casas,0.0,280,3,2,3,Fortaleza,Demócrito Rocha,680000.0
23,909177369,Apartamentos,504.0,60,3,2,1,Fortaleza,Demócrito Rocha,180000.0
24,942324406,Casas,0.0,125,2,2,2,Fortaleza,Demócrito Rocha,0.0
25,942324565,Casas,0.0,125,2,2,2,Fortaleza,Demócrito Rocha,0.0
26,942324612,Casas,0.0,180,3,2,2,Fortaleza,Demócrito Rocha,0.0
27,942324667,Apartamentos,0.0,43,2,2,2,Fortaleza,Demócrito Rocha,0.0
28,942351703,Casas,0.0,125,2,2,2,Fortaleza,Demócrito Rocha,0.0
29,942351742,Casas,0.0,125,2,2,2,Fortaleza,Demócrito Rocha,0.0
30,942352986,Casas,0.0,125,2,2,2,Fortaleza,Demócrito Rocha,0.0
31,942353015,Casas,0.0,180,3,2,2,Fortaleza,Demócrito Rocha,0.0
32,942353036,Apartamentos,0.0,43,2,2,5 ou mais,Fortaleza,Demócrito Rocha,0.0
33,942353207,Casas,0.0,151,2,2,4,Fortaleza,Demócrito Rocha,0.0
34,942325015,Casas,0.0,151,2,2,4,Fortaleza,Demócrito Rocha,0.0
35,942324499,Casas,0.0,125,2,2,2,Fortaleza,Demócrito Rocha,0.0
36,952341495,Casas,0.0,82,2,2,1,Fortaleza,Demócrito Rocha,120000.0
37,965906578,Casas,0.0,150,2,1,3,Fortaleza,Demócrito Rocha,100000.0
38,964608395,Casas,0.0,144,3,2,2,Fortaleza,Demócrito Rocha,240000.0
39,861481007,Casas,0.0,0,2,2,,Fortaleza,Demócrito Rocha,319000.0
40,962562456,Casas,0.0,66,2,2,2,Fortaleza,Demócrito Rocha,250000.0
41,945455648,Casas,0.0,1049,0,0,0,Fortaleza,Demócrito Rocha,0.0
42,962111285,Apartamentos,470.0,75,3,2,1,Fortaleza,Demócrito Rocha,250000.0
43,960478322,Casas,0.0,0,1,1,,Fortaleza,Demócrito Rocha,90000.0
44,958304333,Casas,0.0,0,1,,,Fortaleza,Demócrito Rocha,15000.0
45,955083492,Casas,0.0,120,4,2,1,Fortaleza,Demócrito Rocha,125000.0
46,953231150,Casas,0.0,125,3,3,2,Fortaleza,Demócrito Rocha,450000.0
47,920038404,Casas,0.0,125,4,3,2,Fortaleza,Demócrito Rocha,280000.0
48,911979606,Casas,0.0,86,2,1,,Fortaleza,Demócrito Rocha,299000.0
49,697010953,Casas,0.0,0,3,5 ou mais,5 ou mais,Fortaleza,Demócrito Rocha,875000.0
