,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,672950429,Apartamentos,200.0,48,2,1,1,Fortaleza,Dias Macedo,169000.0
1,952877652,Casas,0.0,554,5 ou mais,3,0,Fortaleza,Dias Macedo,770000.0
2,976499281,Casas,0.0,0,0,0,0,Fortaleza,Dias Macedo,235000.0
3,928731961,Apartamentos,227.0,35,1,,1,Fortaleza,Dias Macedo,130000.0
4,974806308,Casas,0.0,0,1,1,,Fortaleza,Dias Macedo,75000.0
5,972296806,Apartamentos,205.0,66,3,2,1,Fortaleza,Dias Macedo,220000.0
6,974036624,Casas,0.0,0,1,1,0,Fortaleza,Dias Macedo,50000.0
7,973209654,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
8,963211436,Casas,0.0,180,5 ou mais,3,1,Fortaleza,Dias Macedo,150000.0
9,764214401,Apartamentos,390.0,63,3,2,2,Fortaleza,Dias Macedo,190000.0
10,972674443,Casas,0.0,70,4,4,1,Fortaleza,Dias Macedo,70000.0
11,972564613,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
12,972550371,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
13,972494534,Casas,0.0,75,1,1,0,Fortaleza,Dias Macedo,75000.0
14,972478829,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
15,972458548,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
16,972297474,Casas,0.0,330,3,5 ou mais,,Fortaleza,Dias Macedo,590000.0
17,972217212,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
18,972187236,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
19,972071754,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
20,972047503,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
21,971810227,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
22,971794689,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
23,971698012,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
24,971682910,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
25,971533814,Casas,880.0,208,3,5 ou mais,3,Fortaleza,Dias Macedo,990000.0
26,915767168,Casas,0.0,125,2,2,2,Fortaleza,Dias Macedo,0.0
27,915767269,Casas,0.0,125,2,2,2,Fortaleza,Dias Macedo,0.0
28,971434075,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
29,971411546,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
30,971315433,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
31,971288990,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
32,970876072,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
33,970865009,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
34,970849165,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
35,970566111,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
36,970548011,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
37,970420107,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
38,970145253,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
39,970093209,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
40,969971661,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
41,969706504,Apartamentos,0.0,0,2,1,1,Fortaleza,Dias Macedo,27000.0
42,969703686,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
43,969656389,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
44,969508926,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
45,969472547,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
46,969209028,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
47,969187531,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
48,969167886,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
49,968712102,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
50,968691727,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
51,968569798,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
52,968540221,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
53,968504808,Casas,0.0,0,2,1,,Fortaleza,Dias Macedo,48000.0
54,967706119,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
55,967604077,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
56,967580786,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
57,967558535,Apartamentos,200.0,45,2,1,1,Fortaleza,Dias Macedo,60000.0
58,967150543,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
59,967095388,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
60,966951601,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
61,966930231,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
62,941944278,Casas,0.0,52,2,2,1,Fortaleza,Dias Macedo,0.0
63,941942785,Casas,0.0,125,2,2,2,Fortaleza,Dias Macedo,0.0
64,941944340,Casas,0.0,151,2,2,4,Fortaleza,Dias Macedo,0.0
65,941943011,Casas,0.0,180,3,2,2,Fortaleza,Dias Macedo,0.0
66,941943187,Apartamentos,0.0,43,2,2,5 ou mais,Fortaleza,Dias Macedo,0.0
67,941942547,Casas,0.0,125,2,2,2,Fortaleza,Dias Macedo,0.0
68,941942774,Casas,0.0,125,2,2,2,Fortaleza,Dias Macedo,0.0
69,966668424,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
70,966647033,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
71,941974976,Casas,0.0,125,2,2,2,Fortaleza,Dias Macedo,0.0
72,941975002,Casas,0.0,125,2,2,2,Fortaleza,Dias Macedo,0.0
73,941975016,Casas,0.0,125,2,2,2,Fortaleza,Dias Macedo,0.0
74,941976604,Casas,0.0,180,3,2,2,Fortaleza,Dias Macedo,0.0
75,941976636,Apartamentos,0.0,43,2,2,5 ou mais,Fortaleza,Dias Macedo,0.0
76,941977828,Casas,0.0,151,2,2,4,Fortaleza,Dias Macedo,0.0
77,966544480,Apartamentos,0.0,48,2,2,2,Fortaleza,Dias Macedo,0.0
