,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,883620328,Apartamentos,400.0,50,2,2,1,Fortaleza,Dionisio Torres,494000.0
1,977462313,Apartamentos,0.0,120,3,4,2,Fortaleza,Dionisio Torres,899000.0
2,959973213,Apartamentos,0.0,235,4,5 ou mais,4,Fortaleza,Dionisio Torres,2600000.0
3,935168997,Apartamentos,850.0,126,3,1,2,Fortaleza,Dionisio Torres,450000.0
4,883259557,Apartamentos,800.0,170,4,4,2,Fortaleza,Dionisio Torres,615000.0
5,977423865,Casas,0.0,1000,5 ou mais,,,Fortaleza,Dionisio Torres,2000000.0
6,860655900,Apartamentos,775.0,118,3,4,2,Fortaleza,Dionisio Torres,980000.0
7,897614782,Apartamentos,1130.0,209,3,3,2,Fortaleza,Dionisio Torres,550000.0
8,971496344,Apartamentos,1100.0,134,3,4,2,Fortaleza,Dionisio Torres,400000.0
9,951008651,Apartamentos,1200.0,110,3,3,3,Fortaleza,Dionisio Torres,560000.0
10,959973185,Apartamentos,0.0,93,3,3,2,Fortaleza,Dionisio Torres,480000.0
11,884462441,Casas,0.0,350,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Dionisio Torres,1250000.0
12,977292875,Apartamentos,850.0,118,3,4,2,Fortaleza,Dionisio Torres,890000.0
13,950990662,Apartamentos,0.0,219,3,5 ou mais,4,Fortaleza,Dionisio Torres,2248789.0
14,958073651,Apartamentos,880.0,97,2,3,2,Fortaleza,Dionisio Torres,680000.0
15,970510436,Apartamentos,1300.0,160,3,5 ou mais,3,Fortaleza,Aldeota,450000.0
16,953465730,Apartamentos,0.0,219,4,5 ou mais,4,Fortaleza,Dionisio Torres,1850000.0
17,969417346,Apartamentos,850.0,110,3,3,2,Fortaleza,Dionisio Torres,390000.0
18,919851355,Apartamentos,1100.0,150,3,4,2,Fortaleza,Dionisio Torres,600000.0
19,960961815,Apartamentos,0.0,186,3,4,1,Fortaleza,Dionisio Torres,400000.0
20,950990669,Casas,0.0,134,3,3,3,Fortaleza,Dionisio Torres,1300000.0
21,946228397,Apartamentos,710.0,114,3,2,1,Fortaleza,Dionisio Torres,300000.0
22,878521734,Apartamentos,1600.0,138,4,3,3,Fortaleza,Dionisio Torres,990000.0
23,972296921,Apartamentos,0.0,95,3,2,2,Fortaleza,Dionisio Torres,840812.0
24,897614437,Apartamentos,1500.0,234,3,4,2,Fortaleza,Dionisio Torres,600000.0
25,950990636,Apartamentos,1300.0,119,3,5 ou mais,3,Fortaleza,Dionisio Torres,520000.0
26,958174000,Apartamentos,700.0,93,3,3,2,Fortaleza,Dionisio Torres,650000.0
27,977125105,Apartamentos,0.0,219,4,5 ou mais,4,Fortaleza,Dionisio Torres,2150000.0
28,959133491,Apartamentos,1000.0,140,3,4,2,Fortaleza,Dionisio Torres,450000.0
29,942001924,Apartamentos,0.0,78,3,2,0,Fortaleza,Dionisio Torres,610000.0
30,969074335,Apartamentos,850.0,108,4,3,1,Fortaleza,Dionisio Torres,260000.0
31,977082321,Apartamentos,1200.0,144,3,4,2,Fortaleza,Dionisio Torres,610000.0
32,977057619,Apartamentos,910.0,65,3,2,2,Fortaleza,Dionisio Torres,380000.0
33,953484944,Apartamentos,1300.0,150,4,4,3,Fortaleza,Dionisio Torres,550000.0
34,950617539,Apartamentos,0.0,150,3,3,2,Fortaleza,Dionisio Torres,460000.0
35,940588867,Casas,0.0,396,4,3,3,Fortaleza,Dionisio Torres,1020000.0
36,920684240,Apartamentos,890.0,216,3,4,3,Fortaleza,Dionisio Torres,1200000.0
37,504706785,Apartamentos,1300.0,198,4,,3,Fortaleza,Dionisio Torres,840000.0
