,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,931564765,Apartamentos,611.0,80,3,3,2,Fortaleza,Edson Queiroz,550000.0
1,914786955,Casas,0.0,125,3,3,3,Fortaleza,Edson Queiroz,520000.0
2,917471946,Casas,0.0,180,3,4,3,Fortaleza,Edson Queiroz,550000.0
3,976928354,Apartamentos,455.0,68,2,2,2,Fortaleza,Edson Queiroz,499000.0
4,949625599,Casas,0.0,125,3,4,4,Fortaleza,Edson Queiroz,540000.0
5,963551569,Apartamentos,724.0,60,3,2,2,Fortaleza,Edson Queiroz,300000.0
6,928528028,Casas,0.0,150,3,3,2,Fortaleza,Edson Queiroz,420000.0
7,890366810,Apartamentos,0.0,51,3,1,1,Fortaleza,Edson Queiroz,140000.0
8,976753741,Casas,745.0,140,3,4,2,Fortaleza,Edson Queiroz,550000.0
9,952869585,Casas,0.0,354,5 ou mais,5 ou mais,4,Fortaleza,Edson Queiroz,995000.0
10,947172112,Apartamentos,550.0,81,3,3,2,Fortaleza,Edson Queiroz,470000.0
11,976726916,Apartamentos,455.0,67,2,2,2,Fortaleza,Edson Queiroz,500000.0
12,845806637,Apartamentos,0.0,42,2,1,1,Fortaleza,Edson Queiroz,110000.0
13,946107141,Casas,1100.0,229,3,4,3,Fortaleza,Sabiaguaba,1190000.0
14,964480781,Casas,0.0,193,4,5 ou mais,5 ou mais,Fortaleza,Sabiaguaba,1200000.0
15,942002027,Apartamentos,550.0,81,3,3,2,Fortaleza,Edson Queiroz,470000.0
16,917471940,Casas,0.0,180,3,4,3,Fortaleza,Edson Queiroz,299900.0
17,976693222,Apartamentos,0.0,92,3,3,2,Fortaleza,Edson Queiroz,850000.0
18,825250750,Casas,0.0,143,3,3,3,Fortaleza,Sabiaguaba,480000.0
19,967739530,Apartamentos,455.0,67,2,2,2,Fortaleza,Edson Queiroz,500000.0
20,938834488,Casas,0.0,193,3,3,2,Fortaleza,Sabiaguaba,1020000.0
21,967064036,Apartamentos,0.0,65,3,2,2,Fortaleza,Edson Queiroz,299999.0
22,907566264,Apartamentos,575.0,115,3,1,2,Fortaleza,Salinas,480000.0
23,973259098,Casas,0.0,280,5 ou mais,5 ou mais,4,Fortaleza,Edson Queiroz,770000.0
24,932972947,Apartamentos,250.0,48,2,1,1,Fortaleza,Salinas,190000.0
25,968799200,Casas,700.0,215,3,3,2,Fortaleza,Sabiaguaba,840000.0
26,944863153,Casas,0.0,400,3,1,4,Fortaleza,Edson Queiroz,1700000.0
27,934593198,Apartamentos,550.0,80,3,3,2,Fortaleza,Edson Queiroz,560000.0
28,976649711,Casas,1200.0,300,5 ou mais,5 ou mais,4,Fortaleza,Edson Queiroz,749000.0
29,955866933,Apartamentos,910.0,107,3,4,2,Fortaleza,Salinas,550000.0
30,929350006,Apartamentos,850.0,186,3,3,2,Fortaleza,Sabiaguaba,1020000.0
31,944504437,Casas,1200.0,230,3,5 ou mais,5 ou mais,Fortaleza,Sabiaguaba,1300000.0
32,968810087,Apartamentos,550.0,81,3,3,2,Fortaleza,Edson Queiroz,550000.0
33,928508149,Apartamentos,550.0,81,3,3,2,Fortaleza,Edson Queiroz,460000.0
34,976543633,Apartamentos,0.0,48,2,2,1,Fortaleza,Salinas,199000.0
35,906731165,Apartamentos,500.0,80,3,3,2,Fortaleza,Edson Queiroz,450000.0
36,925663509,Apartamentos,1460.0,90,3,4,2,Fortaleza,Sabiaguaba,780000.0
37,954392698,Casas,0.0,182,4,4,2,Fortaleza,Edson Queiroz,550000.0
38,954379974,Apartamentos,200.0,54,2,2,1,Fortaleza,Edson Queiroz,545000.0
39,936845898,Casas,0.0,193,3,1,,Fortaleza,Sabiaguaba,918000.0
40,921119331,Casas,0.0,237,3,3,4,Fortaleza,Sabiaguaba,1100000.0
41,962076714,Apartamentos,550.0,81,3,4,2,Fortaleza,Edson Queiroz,499900.0
42,976441804,Apartamentos,230.0,48,2,2,1,Fortaleza,Edson Queiroz,199000.0
43,961626206,Apartamentos,620.0,60,2,2,2,Fortaleza,Edson Queiroz,350000.0
44,950988989,Apartamentos,550.0,81,3,3,2,Fortaleza,Edson Queiroz,460000.0
45,950537129,Casas,0.0,300,5 ou mais,4,4,Fortaleza,Sabiaguaba,550000.0
46,801208073,Casas,0.0,232,4,5 ou mais,4,Fortaleza,Edson Queiroz,700000.0
47,972268133,Apartamentos,0.0,30,1,1,1,Fortaleza,Edson Queiroz,284000.0
48,935094563,Apartamentos,0.0,91,3,1,2,Fortaleza,Edson Queiroz,850000.0
49,944863151,Casas,850.0,186,3,4,2,Fortaleza,Sabiaguaba,1103130.0
50,925182772,Apartamentos,550.0,81,3,3,2,Fortaleza,Edson Queiroz,480000.0
51,772347780,Casas,1550.0,242,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Alagadiço Novo,1550000.0
52,967118492,Apartamentos,250.0,43,2,2,1,Fortaleza,Salinas,215000.0
53,975151572,Apartamentos,0.0,91,3,3,2,Fortaleza,Edson Queiroz,900099.0
54,975145452,Apartamentos,0.0,60,2,0,1,Fortaleza,Edson Queiroz,0.0
55,707243724,Apartamentos,0.0,68,3,2,2,Fortaleza,Edson Queiroz,240000.0
56,912656504,Casas,0.0,405,4,2,5 ou mais,Fortaleza,Edson Queiroz,800000.0
57,817791371,Casas,1280.0,229,0,4,,Fortaleza,Sabiaguaba,1310000.0
58,954960140,Casas,0.0,300,5 ou mais,4,5 ou mais,Fortaleza,Edson Queiroz,1100000.0
