,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,971780384,Casas,300.0,340,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Engenheiro Luciano Cavalcante,1180000.0
1,920196639,Apartamentos,0.0,69,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,450000.0
2,969242731,Apartamentos,620.0,76,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,580000.0
3,947183568,Apartamentos,800.0,112,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,880000.0
4,958479466,Apartamentos,580.0,60,3,3,1,Fortaleza,Engenheiro Luciano Cavalcante,330000.0
5,977464191,Apartamentos,0.0,146,3,4,3,Fortaleza,Engenheiro Luciano Cavalcante,1380000.0
6,941312838,Apartamentos,1.0,98,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,787000.0
7,807053702,Apartamentos,584.0,71,3,2,2,Fortaleza,Engenheiro Luciano Cavalcante,520000.0
8,913207373,Apartamentos,1000.0,145,3,4,3,Fortaleza,Engenheiro Luciano Cavalcante,980000.0
9,920787927,Apartamentos,0.0,189,3,4,4,Fortaleza,Engenheiro Luciano Cavalcante,1892000.0
10,824853983,Casas,0.0,440,5 ou mais,,5 ou mais,Fortaleza,Engenheiro Luciano Cavalcante,1450000.0
11,970535126,Apartamentos,980.0,120,4,5 ou mais,2,Fortaleza,Engenheiro Luciano Cavalcante,720000.0
12,964151488,Apartamentos,536.0,98,3,4,2,Fortaleza,Engenheiro Luciano Cavalcante,886539.0
13,949161185,Apartamentos,617.0,76,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,590000.0
14,963313251,Apartamentos,565.0,72,2,2,2,Fortaleza,Engenheiro Luciano Cavalcante,570000.0
15,886683205,Apartamentos,0.0,240,5 ou mais,5 ou mais,4,Fortaleza,Engenheiro Luciano Cavalcante,899000.0
16,932284817,Apartamentos,1200.0,182,4,5 ou mais,4,Fortaleza,Engenheiro Luciano Cavalcante,1700000.0
17,684620012,Apartamentos,672.0,70,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,572000.0
18,953835615,Casas,1400.0,154,3,5 ou mais,4,Fortaleza,Engenheiro Luciano Cavalcante,798000.0
19,947695374,Apartamentos,0.0,101,3,2,2,Fortaleza,Engenheiro Luciano Cavalcante,814200.0
20,912579349,Apartamentos,440.0,44,1,1,1,Fortaleza,Engenheiro Luciano Cavalcante,350000.0
21,954960155,Apartamentos,630.0,110,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,950000.0
22,977314820,Casas,0.0,232,4,4,5 ou mais,Fortaleza,Engenheiro Luciano Cavalcante,600000.0
23,883620329,Apartamentos,315.0,43,1,1,1,Fortaleza,Engenheiro Luciano Cavalcante,150000.0
24,884231069,Apartamentos,580.0,60,3,2,1,Fortaleza,Engenheiro Luciano Cavalcante,330000.0
25,962987502,Apartamentos,0.0,126,3,4,3,Fortaleza,Engenheiro Luciano Cavalcante,650000.0
26,970194352,Casas,0.0,455,4,5 ou mais,4,Fortaleza,Engenheiro Luciano Cavalcante,1500000.0
27,927042048,Apartamentos,570.0,102,3,4,2,Fortaleza,Engenheiro Luciano Cavalcante,856000.0
28,945917425,Apartamentos,0.0,189,4,5 ou mais,4,Fortaleza,Engenheiro Luciano Cavalcante,1877000.0
29,972387223,Apartamentos,600.0,71,3,2,2,Fortaleza,Engenheiro Luciano Cavalcante,586477.0
30,946635105,Apartamentos,0.0,77,3,2,1,Fortaleza,Engenheiro Luciano Cavalcante,739560.0
31,964245913,Apartamentos,620.0,76,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,580000.0
32,655942700,Apartamentos,110.0,50,2,1,1,Fortaleza,Engenheiro Luciano Cavalcante,150000.0
33,670299680,Casas,0.0,115,3,4,3,Fortaleza,Eng Luciano Cavalcante,549000.0
34,945917586,Apartamentos,0.0,189,4,5 ou mais,4,Fortaleza,Engenheiro Luciano Cavalcante,1720000.0
35,677483200,Casas,0.0,145,4,4,4,Fortaleza,Engenheiro Luciano Cavalcante,690000.0
36,967485763,Apartamentos,0.0,69,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,506800.0
37,791493285,Apartamentos,0.0,98,3,4,2,Fortaleza,Engenheiro Luciano Cavalcante,895005.0
38,977190289,Casas,0.0,553,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Engenheiro Luciano Cavalcante,670000.0
39,714931011,Apartamentos,877.0,120,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,600000.0
40,964759684,Apartamentos,0.0,112,3,3,3,Fortaleza,Engenheiro Luciano Cavalcante,880000.0
41,896779110,Casas,800.0,184,4,5 ou mais,4,Fortaleza,Engenheiro Luciano Cavalcante,620000.0
42,910819955,Apartamentos,1100.0,117,3,4,2,Fortaleza,Engenheiro Luciano Cavalcante,900000.0
43,958174056,Apartamentos,0.0,45,2,2,1,Fortaleza,Engenheiro Luciano Cavalcante,365000.0
44,972268011,Apartamentos,0.0,141,3,5 ou mais,3,Fortaleza,Engenheiro Luciano Cavalcante,1151639.0
45,940266982,Apartamentos,580.0,80,3,2,1,Fortaleza,Engenheiro Luciano Cavalcante,390000.0
46,927042001,Apartamentos,0.0,146,3,5 ou mais,3,Fortaleza,Engenheiro Luciano Cavalcante,1380000.0
47,941982131,Apartamentos,584.0,77,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,580000.0
48,952650767,Apartamentos,650.0,65,3,2,2,Fortaleza,Engenheiro Luciano Cavalcante,310000.0
49,917762251,Apartamentos,505.0,81,3,2,1,Fortaleza,Engenheiro Luciano Cavalcante,250000.0
50,967086417,Apartamentos,0.0,81,3,2,2,Fortaleza,Engenheiro Luciano Cavalcante,575000.0
51,964383384,Apartamentos,1043.0,144,4,5 ou mais,3,Fortaleza,Engenheiro Luciano Cavalcante,1039000.0
52,955918755,Casas,0.0,140,3,3,1,Fortaleza,Engenheiro Luciano Cavalcante,415000.0
53,950665391,Casas,0.0,130,4,4,3,Fortaleza,Engenheiro Luciano Cavalcante,580000.0
54,971497565,Apartamentos,0.0,147,3,4,3,Fortaleza,Engenheiro Luciano Cavalcante,1750000.0
55,907566428,Casas,0.0,205,4,5 ou mais,4,Fortaleza,Engenheiro Luciano Cavalcante,670000.0
56,928823085,Apartamentos,500.0,72,3,2,2,Fortaleza,Engenheiro Luciano Cavalcante,540000.0
57,977116050,Apartamentos,0.0,0,2,1,1,Fortaleza,Engenheiro Luciano Cavalcante,65233.0
58,921706906,Apartamentos,0.0,82,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,495000.0
59,963045864,Apartamentos,0.0,90,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,330000.0
60,964947965,Apartamentos,560.0,76,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,580000.0
61,951305302,Apartamentos,600.0,72,3,2,3,Fortaleza,Engenheiro Luciano Cavalcante,525000.0
62,636185083,Apartamentos,0.0,71,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,688284.0
63,947435746,Apartamentos,950.0,146,3,3,3,Fortaleza,Engenheiro Luciano Cavalcante,1380000.0
64,964759609,Apartamentos,700.0,124,3,4,2,Fortaleza,Engenheiro Luciano Cavalcante,1150000.0
65,947166624,Apartamentos,1200.0,146,3,4,3,Fortaleza,Engenheiro Luciano Cavalcante,1380000.0
66,977048409,Apartamentos,250.0,0,2,1,1,Fortaleza,Engenheiro Luciano Cavalcante,150000.0
67,977039125,Apartamentos,700.0,90,3,2,2,Fortaleza,Engenheiro Luciano Cavalcante,375000.0
68,970513858,Apartamentos,600.0,98,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,830000.0
69,977035043,Apartamentos,0.0,72,3,2,2,Fortaleza,Engenheiro Luciano Cavalcante,540720.0
70,954960203,Apartamentos,0.0,70,3,1,2,Fortaleza,Engenheiro Luciano Cavalcante,449900.0
71,955795266,Apartamentos,0.0,44,2,1,1,Fortaleza,Engenheiro Luciano Cavalcante,180000.0
72,959973324,Apartamentos,584.0,77,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,580000.0
73,967849682,Casas,0.0,255,3,3,1,Fortaleza,Engenheiro Luciano Cavalcante,250000.0
74,937104876,Apartamentos,0.0,118,3,1,2,Fortaleza,Engenheiro Luciano Cavalcante,788405.0
75,946635097,Casas,0.0,100,3,1,2,Fortaleza,Engenheiro Luciano Cavalcante,270000.0
76,968102324,Casas,0.0,108,3,3,3,Fortaleza,Engenheiro Luciano Cavalcante,295000.0
77,935084103,Apartamentos,0.0,37,1,1,1,Fortaleza,Engenheiro Luciano Cavalcante,334000.0
78,669250109,Apartamentos,0.0,144,3,1,2,Fortaleza,Engenheiro Luciano Cavalcante,955000.0
79,941312767,Apartamentos,1.0,118,3,4,2,Fortaleza,Engenheiro Luciano Cavalcante,909000.0
80,932972198,Apartamentos,0.0,150,4,2,3,Fortaleza,Engenheiro Luciano Cavalcante,1464087.0
81,972296871,Apartamentos,1200.0,112,4,5 ou mais,2,Fortaleza,Engenheiro Luciano Cavalcante,525000.0
82,907569165,Apartamentos,620.0,60,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,360000.0
83,976944585,Apartamentos,270.0,45,2,1,1,Fortaleza,Engenheiro Luciano Cavalcante,65000.0
84,766140699,Apartamentos,469.0,72,2,2,2,Fortaleza,Engenheiro Luciano Cavalcante,399000.0
85,976902778,Apartamentos,612.0,77,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,580000.0
86,976895397,Casas,0.0,553,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Engenheiro Luciano Cavalcante,670000.0
87,972268128,Apartamentos,0.0,152,3,4,3,Fortaleza,Engenheiro Luciano Cavalcante,1341236.0
88,970239302,Apartamentos,0.0,38,1,1,1,Fortaleza,Engenheiro Luciano Cavalcante,347000.0
89,956186345,Casas,0.0,210,3,4,3,Fortaleza,Engenheiro Luciano Cavalcante,590000.0
90,940100837,Apartamentos,600.0,70,3,2,2,Fortaleza,Engenheiro Luciano Cavalcante,270000.0
91,955795891,Apartamentos,0.0,74,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,469000.0
92,954960145,Apartamentos,0.0,142,4,4,3,Fortaleza,Engenheiro Luciano Cavalcante,1525607.0
93,967324351,Apartamentos,580.0,80,3,2,1,Fortaleza,Engenheiro Luciano Cavalcante,390000.0
94,976787523,Apartamentos,620.0,77,3,3,2,Fortaleza,Engenheiro Luciano Cavalcante,575000.0
95,976786248,Apartamentos,1066.0,144,3,4,3,Fortaleza,Engenheiro Luciano Cavalcante,1039538.0
