,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,888572297,Apartamentos,450.0,87,3,3,2,Fortaleza,Farias Brito,669375.0
1,946745687,Apartamentos,400.0,88,3,1,1,Fortaleza,Farias Brito,220000.0
2,975298684,Casas,0.0,54,1,1,0,Fortaleza,Farias Brito,25000.0
3,960008427,Apartamentos,550.0,121,3,4,5 ou mais,Fortaleza,Farias Brito,870000.0
4,888572356,Apartamentos,578.0,121,4,4,2,Fortaleza,Farias Brito,630000.0
5,928483061,Apartamentos,0.0,78,3,3,2,Fortaleza,Parquelândia,538818.0
6,963686825,Apartamentos,520.0,92,2,2,1,Fortaleza,Farias Brito,179900.0
7,941864438,Apartamentos,0.0,110,4,1,2,Fortaleza,Farias Brito,245000.0
8,907568956,Apartamentos,300.0,111,4,4,1,Fortaleza,Farias Brito,249000.0
9,874313122,Apartamentos,0.0,78,3,,,Fortaleza,Parquelândia,486985.0
10,973214111,Casas,0.0,42,1,1,0,Fortaleza,Farias Brito,190000.0
11,928483071,Apartamentos,0.0,113,3,3,,Fortaleza,Parquelândia,818444.0
12,948910614,Apartamentos,0.0,113,3,3,2,Fortaleza,Parquelândia,502600.0
13,924123200,Casas,0.0,160,3,1,2,Fortaleza,Farias Brito,460000.0
14,959072502,Apartamentos,600.0,74,3,2,1,Fortaleza,Farias Brito,199000.0
15,841403526,Apartamentos,0.0,113,4,4,2,Fortaleza,Parquelândia,800000.0
16,971668233,Apartamentos,0.0,800,5 ou mais,5 ou mais,3,Fortaleza,Farias Brito,1500000.0
17,956626099,Apartamentos,600.0,74,3,2,1,Fortaleza,Farias Brito,199000.0
18,924123136,Apartamentos,700.0,118,3,2,1,Fortaleza,Farias Brito,280000.0
19,936416784,Casas,0.0,250,4,3,2,Fortaleza,Farias Brito,600000.0
20,970540226,Apartamentos,600.0,74,3,2,1,Fortaleza,Farias Brito,250000.0
21,916793458,Casas,0.0,230,3,2,2,Fortaleza,Farias Brito,365000.0
22,969263520,Apartamentos,733.0,86,3,2,1,Fortaleza,São Gerardo,270000.0
23,842903149,Casas,0.0,67,2,2,1,Fortaleza,Farias Brito,220000.0
24,916734923,Apartamentos,560.0,115,3,3,1,Fortaleza,Farias Brito,375000.0
25,813473751,Apartamentos,650.0,106,4,4,1,Fortaleza,Farias Brito,260000.0
26,907568168,Casas,0.0,120,3,1,2,Fortaleza,Farias Brito,370000.0
27,938277137,Casas,0.0,330,5 ou mais,3,4,Fortaleza,Farias Brito,599000.0
28,837281054,Casas,0.0,448,5 ou mais,3,4,Fortaleza,Parquelândia,720000.0
29,958282525,Casas,45000.0,150,1,1,1,Fortaleza,Farias Brito,45000.0
30,956359328,Apartamentos,290.0,65,3,3,2,Fortaleza,São Gerardo,320000.0
31,954506308,Casas,0.0,120,2,2,2,Fortaleza,Farias Brito,200000.0
32,941614744,Apartamentos,620.0,109,3,2,2,Fortaleza,Parquelândia,680000.0
33,938101995,Apartamentos,372.0,104,3,2,1,Fortaleza,São Gerardo,300000.0
34,738611703,Apartamentos,600.0,86,3,2,1,Fortaleza,São Gerardo,295000.0
35,738605253,Apartamentos,250.0,65,3,2,2,Fortaleza,São Gerardo,250000.0
36,917703790,Apartamentos,500.0,121,3,4,2,Fortaleza,Farias Brito,810000.0
37,696991714,Apartamentos,245.0,65,3,2,1,Fortaleza,São Gerardo,220000.0
38,736681591,Casas,0.0,250,4,3,2,Fortaleza,Farias Brito,600000.0
39,696991194,Apartamentos,290.0,48,3,2,1,Fortaleza,São Gerardo,230000.0
40,883143100,Apartamentos,0.0,122,3,3,2,Fortaleza,Farias Brito,920000.0
41,876382220,Apartamentos,300.0,72,3,2,1,Fortaleza,São Gerardo,220000.0
42,867758779,Casas,0.0,360,4,5 ou mais,3,Fortaleza,Parquelândia,690000.0
43,763750571,Apartamentos,0.0,104,3,,1,Fortaleza,São Gerardo,350000.0
44,739264861,Casas,0.0,300,4,4,5 ou mais,Fortaleza,Parquelândia,900000.0
45,697576451,Apartamentos,525.0,82,3,2,1,Fortaleza,Farias Brito,245000.0
46,697210134,Apartamentos,400.0,95,3,2,,Fortaleza,Farias Brito,260000.0
47,531828716,Apartamentos,400.0,117,3,,1,Fortaleza,Farias Brito,330000.0
