,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,928795625,Apartamentos,932.0,123,3,3,3,Fortaleza,Fátima,1190000.0
1,956179755,Apartamentos,630.0,95,3,3,1,Fortaleza,Fátima,380000.0
2,946039059,Apartamentos,550.0,115,3,3,1,Fortaleza,Fátima,300000.0
3,907566879,Apartamentos,560.0,113,3,3,1,Fortaleza,Fátima,390000.0
4,873587536,Apartamentos,572.0,92,3,3,2,Fortaleza,Fátima,650000.0
5,968810071,Apartamentos,0.0,96,3,4,2,Fortaleza,Fátima,760000.0
6,959043758,Apartamentos,634.0,120,3,3,2,Fortaleza,Fátima,230000.0
7,954258565,Apartamentos,600.0,67,2,2,2,Fortaleza,Fátima,450000.0
8,962076624,Apartamentos,0.0,93,3,3,2,Fortaleza,Fátima,585000.0
9,912399145,Casas,0.0,117,4,4,4,Fortaleza,Fátima,1450000.0
10,928795688,Apartamentos,600.0,96,3,3,2,Fortaleza,Fátima,380000.0
11,946228402,Apartamentos,992.0,206,3,3,2,Fortaleza,Fátima,480000.0
12,907566373,Casas,0.0,250,3,3,2,Fortaleza,Fátima,990000.0
13,969253955,Apartamentos,570.0,130,3,3,1,Fortaleza,Fátima,375000.0
14,977326893,Apartamentos,0.0,61,2,2,1,Fortaleza,Fátima,428000.0
15,961850182,Apartamentos,1365.0,108,3,2,,Fortaleza,Fátima,330000.0
16,967450429,Apartamentos,376.0,70,3,2,2,Fortaleza,Fátima,450000.0
17,976370243,Apartamentos,1000.0,110,3,3,2,Fortaleza,Fátima,340000.0
18,641982365,Apartamentos,0.0,52,2,2,2,Fortaleza,Fátima,385000.0
19,639893787,Apartamentos,0.0,94,3,4,2,Fortaleza,Fátima,749000.0
20,639643033,Apartamentos,0.0,55,2,2,2,Fortaleza,Fátima,425000.0
21,940808794,Apartamentos,860.0,104,3,3,1,Fortaleza,Fátima,479000.0
22,641964771,Apartamentos,0.0,106,3,3,2,Fortaleza,Fátima,769999.0
23,945912088,Apartamentos,705.0,121,3,1,2,Fortaleza,Fátima,230000.0
24,673579542,Apartamentos,380.0,90,3,3,2,Fortaleza,Fátima,629999.0
25,909306929,Apartamentos,550.0,98,3,3,2,Fortaleza,Fátima,553000.0
26,903883443,Apartamentos,1000.0,116,3,3,1,Fortaleza,Fátima,265000.0
27,961534896,Apartamentos,1136.0,250,3,4,2,Fortaleza,Fátima,560000.0
28,907408594,Casas,0.0,182,3,3,2,Fortaleza,Fátima,650000.0
29,944296449,Apartamentos,1130.0,117,3,3,3,Fortaleza,Fátima,1200000.0
30,907566536,Apartamentos,860.0,104,3,3,2,Fortaleza,Fátima,460000.0
31,958174013,Apartamentos,600.0,67,3,2,0,Fortaleza,Fátima,550000.0
32,636184466,Apartamentos,550.0,90,3,3,2,Fortaleza,Fátima,606839.0
33,951117303,Apartamentos,630.0,96,3,3,1,Fortaleza,Fátima,380000.0
34,977084301,Apartamentos,0.0,104,3,2,2,Fortaleza,Fátima,479720.0
35,967162988,Apartamentos,570.0,89,3,3,2,Fortaleza,Fátima,269000.0
36,907566068,Apartamentos,0.0,118,3,3,2,Fortaleza,Fátima,832000.0
37,895580719,Apartamentos,660.0,86,3,2,1,Fortaleza,Fátima,275000.0
38,958434393,Apartamentos,540.0,127,3,3,2,Fortaleza,Fátima,405000.0
39,940100668,Apartamentos,990.0,114,3,4,2,Fortaleza,Fátima,750000.0
40,944848248,Apartamentos,720.0,100,3,3,2,Fortaleza,Fátima,500000.0
41,972387193,Apartamentos,600.0,97,3,3,1,Fortaleza,Fátima,390000.0
42,933003626,Apartamentos,476.0,92,3,2,2,Fortaleza,Fátima,650000.0
43,938549747,Apartamentos,0.0,144,3,4,3,Fortaleza,Fátima,1180000.0
44,963798008,Apartamentos,0.0,166,4,1,3,Fortaleza,Fátima,1180000.0
45,925638150,Apartamentos,740.0,87,3,2,2,Fortaleza,Fátima,670000.0
46,976872406,Casas,0.0,0,2,2,0,Fortaleza,Benfica,120000.0
47,950990398,Apartamentos,780.0,58,3,2,2,Fortaleza,Fátima,360000.0
48,935092595,Apartamentos,0.0,206,3,3,2,Fortaleza,Fátima,525000.0
49,971319898,Apartamentos,0.0,141,3,3,2,Fortaleza,Fátima,1180000.0
50,954006602,Apartamentos,550.0,100,3,3,2,Fortaleza,Fátima,621964.0
