,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,972299742,Apartamentos,0.0,64,3,2,2,Fortaleza,Presidente Kennedy,444400.0
1,972299774,Apartamentos,0.0,73,3,2,2,Fortaleza,Presidente Kennedy,417120.0
2,972299744,Apartamentos,0.0,55,2,2,1,Fortaleza,Presidente Kennedy,311000.0
3,884029858,Apartamentos,300.0,60,3,2,1,Fortaleza,Presidente Kennedy,275000.0
4,940087161,Apartamentos,370.0,53,2,2,1,Fortaleza,Presidente Kennedy,385000.0
5,945917853,Apartamentos,0.0,54,2,2,1,Fortaleza,Presidente Kennedy,311000.0
6,931831344,Apartamentos,0.0,52,2,2,1,Fortaleza,Presidente Kennedy,320000.0
7,794186932,Apartamentos,0.0,53,2,2,2,Fortaleza,Presidente Kennedy,405000.0
8,917281432,Apartamentos,450.0,54,2,2,1,Fortaleza,Presidente Kennedy,296000.0
9,972267970,Apartamentos,0.0,73,3,2,2,Fortaleza,Presidente Kennedy,391000.0
10,977356589,Apartamentos,0.0,155,4,5 ou mais,3,Fortaleza,Presidente Kennedy,1628000.0
11,956262173,Apartamentos,0.0,94,3,3,2,Fortaleza,Presidente Kennedy,450000.0
12,941373587,Apartamentos,553.0,150,4,3,2,Fortaleza,Presidente Kennedy,300000.0
13,964050765,Apartamentos,0.0,52,2,2,1,Fortaleza,Presidente Kennedy,322000.0
14,807195150,Apartamentos,0.0,73,3,2,2,Fortaleza,Presidente Kennedy,430000.0
15,807182972,Apartamentos,0.0,53,2,2,1,Fortaleza,Presidente Kennedy,299000.0
16,945917625,Apartamentos,0.0,54,2,2,2,Fortaleza,Presidente Kennedy,395000.0
17,946910945,Apartamentos,0.0,53,2,2,2,Fortaleza,Presidente Kennedy,398000.0
18,958214025,Apartamentos,0.0,54,2,2,2,Fortaleza,Presidente Kennedy,398000.0
19,892505870,Apartamentos,400.0,70,3,2,2,Fortaleza,Presidente Kennedy,280000.0
20,887233113,Apartamentos,350.0,55,2,2,1,Fortaleza,Presidente Kennedy,311000.0
21,969532232,Apartamentos,500.0,77,3,2,2,Fortaleza,Presidente Kennedy,260000.0
22,945917854,Apartamentos,0.0,94,3,3,2,Fortaleza,Presidente Kennedy,721000.0
23,914827923,Apartamentos,900.0,171,4,4,3,Fortaleza,Presidente Kennedy,930000.0
24,953938470,Apartamentos,380.0,55,2,2,1,Fortaleza,Presidente Kennedy,317000.0
25,938939218,Casas,0.0,536,3,2,4,Fortaleza,Presidente Kennedy,650000.0
26,946634827,Apartamentos,0.0,54,2,2,1,Fortaleza,Presidente Kennedy,398000.0
27,977106551,Casas,0.0,110,2,2,1,Fortaleza,Floresta,230000.0
28,907565740,Apartamentos,245.0,66,3,1,2,Fortaleza,Presidente Kennedy,270000.0
29,897517978,Apartamentos,0.0,54,2,2,1,Fortaleza,Presidente Kennedy,296000.0
30,977015819,Casas,0.0,150000,5 ou mais,3,1,Fortaleza,Floresta,220000.0
31,911568192,Apartamentos,0.0,52,2,2,1,Fortaleza,Presidente Kennedy,320999.0
