,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,828281006,Casas,0.0,181,3,3,2,Fortaleza,Granja Lisboa,209000.0
1,946177617,Apartamentos,0.0,4700,2,2,2,Fortaleza,Granja Lisboa,145000.0
2,976940912,Apartamentos,0.0,0,2,1,1,Fortaleza,Granja Lisboa,35000.0
3,950346049,Casas,0.0,89,2,2,3,Fortaleza,Granja Lisboa,160000.0
4,976666679,Casas,0.0,0,1,1,,Fortaleza,Granja Lisboa,35000.0
5,976470518,Casas,0.0,450,1,1,2,Fortaleza,Granja Lisboa,400000.0
6,976406784,Apartamentos,0.0,0,2,2,2,Fortaleza,Granja Lisboa,140000.0
7,976295759,Casas,0.0,0,1,2,1,Fortaleza,Granja Lisboa,70000.0
8,976295561,Apartamentos,0.0,0,2,2,1,Fortaleza,Granja Lisboa,140000.0
9,976160710,Apartamentos,0.0,0,2,2,2,Fortaleza,Granja Lisboa,145003.0
10,942001973,Apartamentos,0.0,42,2,1,1,Fortaleza,Granja Lisboa,169900.0
11,975853139,Casas,0.0,25,1,1,0,Fortaleza,Granja Lisboa,25000.0
12,975766621,Casas,0.0,80,3,2,2,Fortaleza,Granja Lisboa,219000.0
13,975702820,Apartamentos,0.0,0,2,1,0,Fortaleza,Granja Lisboa,25000.0
14,975533407,Casas,0.0,0,2,1,1,Fortaleza,Granja Lisboa,50000.0
15,975485249,Casas,0.0,190,3,4,2,Fortaleza,Granja Lisboa,120000.0
16,975377549,Apartamentos,0.0,55,2,1,0,Fortaleza,Granja Lisboa,180000.0
17,945811563,Casas,0.0,85,2,2,5 ou mais,Fortaleza,Granja Lisboa,170000.0
18,975211202,Casas,0.0,190,3,4,2,Fortaleza,Granja Lisboa,120000.0
19,900201984,Casas,0.0,214,3,2,1,Fortaleza,Granja Lisboa,240000.0
20,941633654,Casas,0.0,189,5 ou mais,4,1,Fortaleza,Granja Lisboa,350000.0
21,974962302,Casas,0.0,0,3,3,1,Fortaleza,Granja Lisboa,120000.0
22,972296743,Casas,0.0,321,4,5 ou mais,5 ou mais,Fortaleza,Granja Lisboa,1950000.0
23,952655289,Casas,0.0,85,2,2,5 ou mais,Fortaleza,Granja Lisboa,170000.0
24,974705584,Casas,0.0,0,1,1,2,Fortaleza,Granja Lisboa,0.0
25,974677765,Casas,0.0,140,2,2,1,Fortaleza,Granja Lisboa,120000.0
26,974665209,Apartamentos,0.0,0,2,2,2,Fortaleza,Granja Lisboa,145002.0
27,955794875,Casas,0.0,70,3,2,0,Fortaleza,Granja Lisboa,235000.0
28,917472879,Apartamentos,100.0,58,2,1,1,Fortaleza,Granja Lisboa,145000.0
29,973913795,Casas,0.0,0,3,2,2,Fortaleza,Granja Lisboa,75000.0
30,922510008,Apartamentos,0.0,48,2,1,1,Fortaleza,Granja Lisboa,600000.0
31,973574989,Casas,0.0,0,1,1,1,Fortaleza,Granja Lisboa,75000.0
32,973404937,Casas,0.0,0,3,2,1,Fortaleza,Granja Lisboa,80000.0
33,973402966,Casas,0.0,0,3,2,2,Fortaleza,Granja Lisboa,75000.0
34,860611381,Apartamentos,0.0,48,2,2,1,Fortaleza,Granja Lisboa,145000.0
35,972964810,Apartamentos,0.0,0,2,2,2,Fortaleza,Granja Lisboa,145001.0
36,972899088,Casas,0.0,0,1,1,0,Fortaleza,Granja Lisboa,49000.0
37,897155205,Casas,0.0,66,2,2,1,Fortaleza,Granja Lisboa,80000.0
38,946818769,Casas,0.0,80,2,2,4,Fortaleza,Granja Lisboa,170000.0
39,971301118,Casas,0.0,0,3,3,1,Fortaleza,Granja Lisboa,150000.0
40,971255616,Apartamentos,0.0,0,2,2,2,Fortaleza,Granja Lisboa,145000.0
41,937335504,Casas,0.0,200,5 ou mais,4,2,Fortaleza,Granja Lisboa,200000.0
42,971077470,Casas,0.0,9,2,2,1,Fortaleza,Granja Lisboa,150000.0
43,970781030,Casas,0.0,116,2,2,2,Fortaleza,Granja Lisboa,170.0
44,913621371,Apartamentos,0.0,55,2,2,1,Fortaleza,Granja Lisboa,140000.0
45,970158759,Casas,0.0,172,5 ou mais,4,2,Fortaleza,Granja Lisboa,480000.0
46,969352609,Casas,0.0,130,5 ou mais,4,2,Fortaleza,Granja Lisboa,650000.0
47,968302047,Casas,0.0,0,1,1,1,Fortaleza,Granja Lisboa,0.0
48,968301056,Casas,0.0,45,2,1,1,Fortaleza,Granja Lisboa,95000.0
49,968286929,Casas,0.0,0,2,2,1,Fortaleza,Granja Lisboa,130000.0
50,968247101,Casas,0.0,0,4,1,0,Fortaleza,Granja Lisboa,90000.0
51,967618002,Casas,0.0,198,2,1,0,Fortaleza,Granja Lisboa,0.0
52,879955857,Casas,0.0,60,2,1,,Fortaleza,Granja Lisboa,75000.0
53,966698807,Casas,0.0,0,2,1,1,Fortaleza,Granja Lisboa,35000.0
54,966641230,Casas,0.0,197,2,1,1,Fortaleza,Granja Lisboa,0.0
55,966407046,Casas,0.0,198,2,2,2,Fortaleza,Granja Lisboa,230000.0
56,535777134,Casas,0.0,174,3,2,2,Fortaleza,Granja Lisboa,169000.0
57,965873502,Casas,0.0,414,4,2,,Fortaleza,Granja Lisboa,0.0
58,965206981,Casas,0.0,0,3,2,2,Fortaleza,Granja Lisboa,150000.0
59,964860629,Casas,0.0,0,3,3,5 ou mais,Fortaleza,Granja Lisboa,160.0
60,936921229,Casas,0.0,60,1,1,2,Fortaleza,Granja Lisboa,120000.0
61,964203309,Apartamentos,0.0,0,2,2,2,Fortaleza,Granja Lisboa,145008.0
62,964115769,Casas,0.0,280,4,3,2,Fortaleza,Granja Lisboa,260000.0
63,963638301,Casas,0.0,0,3,2,5 ou mais,Fortaleza,Granja Lisboa,150000.0
64,896679502,Apartamentos,0.0,0,1,1,5 ou mais,Fortaleza,Granja Lisboa,310000.0
65,963034610,Casas,0.0,0,2,,,Fortaleza,Granja Lisboa,75000.0
66,962590275,Casas,0.0,0,2,1,,Fortaleza,Granja Lisboa,250000.0
67,962389885,Casas,0.0,85,2,1,1,Fortaleza,Granja Lisboa,120000.0
68,962192506,Apartamentos,70.0,0,2,1,1,Fortaleza,Granja Lisboa,50000.0
69,960053872,Casas,0.0,200,2,2,1,Fortaleza,Granja Lisboa,77000.0
70,961738248,Apartamentos,0.0,0,2,2,2,Fortaleza,Granja Lisboa,145006.0
71,961598121,Casas,0.0,44,2,1,2,Fortaleza,Granja Lisboa,55000.0
72,961307009,Casas,0.0,0,2,1,2,Fortaleza,Granja Lisboa,70000.0
73,961264215,Casas,0.0,0,1,1,1,Fortaleza,Granja Lisboa,45000.0
74,959714324,Casas,0.0,0,3,2,1,Fortaleza,Granja Lisboa,80000.0
75,959689991,Casas,0.0,0,1,1,1,Fortaleza,Granja Lisboa,27000.0
76,959643128,Casas,0.0,0,2,1,1,Fortaleza,Granja Lisboa,320000.0
77,959623532,Casas,0.0,0,1,1,,Fortaleza,Granja Lisboa,28000.0
78,959623426,Casas,0.0,0,3,3,2,Fortaleza,Granja Lisboa,0.0
79,959381664,Casas,0.0,242,4,3,5 ou mais,Fortaleza,Granja Lisboa,400000.0
80,959310226,Apartamentos,0.0,0,2,1,1,Fortaleza,Granja Lisboa,25000.0
81,958797538,Casas,0.0,96,2,2,5 ou mais,Fortaleza,Granja Lisboa,170000.0
82,958747901,Apartamentos,0.0,52,2,1,0,Fortaleza,Granja Lisboa,75000.0
83,958259278,Casas,0.0,0,2,2,2,Fortaleza,Granja Lisboa,150000.0
84,957788925,Apartamentos,0.0,0,2,2,2,Fortaleza,Granja Lisboa,145005.0
85,957385683,Casas,0.0,245,4,2,1,Fortaleza,Granja Lisboa,0.0
86,957185086,Apartamentos,500.0,45,2,1,1,Fortaleza,Granja Lisboa,500.0
87,957129557,Casas,0.0,0,2,1,3,Fortaleza,Granja Lisboa,0.0
88,956969061,Casas,0.0,0,2,1,1,Fortaleza,Granja Lisboa,40000.0
89,956770841,Casas,0.0,96,2,2,5 ou mais,Fortaleza,Granja Lisboa,180000.0
90,956684099,Casas,0.0,96,2,2,5 ou mais,Fortaleza,Granja Lisboa,180000.0
91,955894479,Casas,0.0,0,2,1,1,Fortaleza,Granja Lisboa,160000.0
92,955530911,Casas,0.0,0,3,3,1,Fortaleza,Granja Lisboa,100000.0
93,955530388,Apartamentos,200.0,45,2,1,1,Fortaleza,Granja Lisboa,155000.0
94,954546677,Casas,0.0,96,2,2,5 ou mais,Fortaleza,Granja Lisboa,180000.0
95,953080797,Casas,0.0,0,2,0,0,Fortaleza,Granja Lisboa,116285.0
96,697941598,Casas,0.0,198,5 ou mais,5 ou mais,1,Fortaleza,Granja Lisboa,550000.0
