,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,977316468,Casas,0.0,0,4,2,1,Fortaleza,Granja Portugal,110000.0
1,977278846,Casas,0.0,16,3,2,1,Fortaleza,Granja Portugal,0.0
2,977261407,Casas,0.0,0,2,2,,Fortaleza,Granja Portugal,70000.0
3,977033425,Casas,200.0,0,2,2,1,Fortaleza,Granja Portugal,12000.0
4,976509735,Casas,0.0,0,1,,0,Fortaleza,Granja Portugal,28000000.0
5,976290401,Casas,0.0,0,2,2,1,Fortaleza,Granja Portugal,0.0
6,975870361,Casas,0.0,0,3,3,1,Fortaleza,Granja Portugal,300000.0
7,975394597,Apartamentos,50.0,0,2,1,1,Fortaleza,Granja Portugal,35000.0
8,975278847,Casas,0.0,0,1,1,1,Fortaleza,Granja Portugal,25000.0
9,974081409,Casas,0.0,30,2,1,1,Fortaleza,Granja Portugal,40000.0
10,973694931,Casas,0.0,0,4,5 ou mais,1,Fortaleza,Granja Portugal,220000.0
11,973634824,Casas,0.0,6,2,1,0,Fortaleza,Granja Portugal,110000.0
12,973144926,Casas,0.0,0,3,3,,Fortaleza,Granja Portugal,0.0
13,973028784,Casas,0.0,120,3,3,,Fortaleza,Granja Portugal,180000.0
14,972978557,Casas,0.0,0,1,1,,Fortaleza,Granja Portugal,45000.0
15,972817263,Casas,0.0,297,3,2,2,Fortaleza,Granja Portugal,160000.0
16,965444805,Casas,0.0,350,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Granja Portugal,599000.0
17,956891461,Casas,0.0,0,2,2,1,Fortaleza,Bonsucesso,100000.0
18,657658263,Apartamentos,158.0,42,2,1,1,Fortaleza,Bonsucesso,86000.0
19,970844067,Casas,0.0,0,4,2,1,Fortaleza,Granja Portugal,215000.0
20,970302630,Casas,555.0,5,2,2,1,Fortaleza,Granja Portugal,70000.0
21,970063865,Casas,0.0,0,5 ou mais,5 ou mais,,Fortaleza,Granja Portugal,100000.0
22,970045955,Apartamentos,0.0,0,5 ou mais,5 ou mais,0,Fortaleza,Granja Portugal,450000.0
23,969537800,Casas,0.0,0,3,2,1,Fortaleza,Granja Portugal,220000.0
24,717425050,Apartamentos,158.0,51,3,1,1,Fortaleza,Bonsucesso,115000.0
25,968695442,Casas,0.0,18,2,2,1,Fortaleza,Granja Portugal,70000.0
26,968171415,Casas,0.0,0,0,0,0,Fortaleza,Granja Portugal,80000.0
27,968098132,Casas,0.0,80,3,3,0,Fortaleza,Granja Portugal,150000.0
28,948966284,Apartamentos,60.0,44,2,,1,Fortaleza,Granja Portugal,30000.0
29,965056089,Casas,0.0,0,1,1,0,Fortaleza,Granja Portugal,36000.0
30,964232717,Casas,0.0,0,2,1,1,Fortaleza,Granja Portugal,85000.0
31,963699187,Casas,0.0,0,3,1,0,Fortaleza,Granja Portugal,165000.0
32,962482423,Apartamentos,0.0,0,1,2,0,Fortaleza,Granja Portugal,0.0
33,962199929,Casas,0.0,488,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Granja Portugal,500000.0
34,961229727,Casas,0.0,127,3,2,2,Fortaleza,Granja Portugal,135000.0
35,961107676,Casas,0.0,127,3,2,2,Fortaleza,Granja Portugal,135000.0
36,959597058,Apartamentos,0.0,57,2,1,1,Fortaleza,Granja Portugal,150000.0
37,958917695,Casas,0.0,348640,5 ou mais,5 ou mais,4,Fortaleza,Granja Portugal,600000.0
38,957782481,Casas,0.0,0,2,,,Fortaleza,Granja Portugal,25000.0
39,957227120,Casas,0.0,0,2,2,0,Fortaleza,Granja Portugal,0.0
40,956764782,Casas,0.0,0,2,1,0,Fortaleza,Granja Portugal,45000.0
41,956149479,Casas,0.0,22,3,2,1,Fortaleza,Granja Portugal,160000.0
42,955628106,Apartamentos,0.0,0,2,,,Fortaleza,Granja Portugal,15000.0
43,927360408,Casas,0.0,125,2,2,2,Fortaleza,Granja Portugal,0.0
44,927360403,Casas,0.0,125,2,2,2,Fortaleza,Granja Portugal,0.0
45,954487355,Casas,300000.0,0,3,3,1,Fortaleza,Granja Portugal,300000.0
46,953081894,Casas,0.0,198,2,1,0,Fortaleza,Granja Portugal,80852.0
47,889625615,Casas,0.0,350,5 ou mais,,5 ou mais,Fortaleza,Granja Portugal,550000.0
48,880624690,Casas,0.0,558,3,,,Fortaleza,Granja Portugal,250000.0
49,811380220,Casas,0.0,110,4,2,,Fortaleza,Granja Portugal,195000.0
