,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,935172704,Apartamentos,0.0,152,3,3,3,Fortaleza,Guararapes,1240000.0
1,966351725,Apartamentos,0.0,138,3,5 ou mais,3,Fortaleza,Guararapes,1250000.0
2,968475779,Apartamentos,835.0,90,3,4,2,Fortaleza,Guararapes,780000.0
3,921156995,Apartamentos,1100.0,165,3,4,3,Fortaleza,Guararapes,1649000.0
4,931481363,Apartamentos,0.0,152,3,3,3,Fortaleza,Engenheiro Luciano Cavalcante,1473820.0
5,940100659,Apartamentos,1250.0,170,3,4,3,Fortaleza,Guararapes,1450000.0
6,961192774,Apartamentos,1200.0,189,3,4,4,Fortaleza,Guararapes,1700000.0
7,969051038,Apartamentos,1350.0,161,4,5 ou mais,3,Fortaleza,Guararapes,1350000.0
8,889392212,Apartamentos,794.0,91,3,3,,Fortaleza,Guararapes,390000.0
9,889295778,Apartamentos,1800.0,195,4,5 ou mais,3,Fortaleza,Guararapes,699000.0
10,636185333,Apartamentos,1700.0,220,3,4,4,Fortaleza,Guararapes,1100000.0
11,948926479,Apartamentos,1285.0,164,3,1,3,Fortaleza,Guararapes,1306000.0
12,900788891,Apartamentos,0.0,165,3,4,3,Fortaleza,Guararapes,1650000.0
13,940392136,Apartamentos,2200.0,246,4,5 ou mais,5 ou mais,Fortaleza,Guararapes,2560000.0
14,883620333,Apartamentos,748.0,90,3,3,2,Fortaleza,Guararapes,750000.0
15,970510474,Apartamentos,1800.0,195,4,5 ou mais,0,Fortaleza,Guararapes,650000.0
16,971322618,Apartamentos,1800.0,220,4,5 ou mais,4,Fortaleza,Guararapes,1290000.0
17,837185671,Apartamentos,0.0,259,4,5 ou mais,4,Fortaleza,Guararapes,2649999.0
18,907206152,Apartamentos,600.0,104,3,4,2,Fortaleza,Engenheiro Luciano Cavalcante,820000.0
19,714930763,Apartamentos,1400.0,210,3,5 ou mais,3,Fortaleza,Guararapes,1100000.0
20,956346006,Apartamentos,1650.0,211,4,4,3,Fortaleza,Engenheiro Luciano Cavalcante,795000.0
21,935094634,Apartamentos,0.0,90,3,1,2,Fortaleza,Guararapes,780000.0
22,938648285,Apartamentos,1200.0,164,3,4,4,Fortaleza,Guararapes,1280000.0
23,968786524,Apartamentos,1300.0,161,2,4,3,Fortaleza,Guararapes,1350000.0
24,977290586,Apartamentos,0.0,90,3,3,2,Fortaleza,Guararapes,813326.0
25,960578390,Apartamentos,0.0,172,4,5 ou mais,5 ou mais,Fortaleza,Engenheiro Luciano Cavalcante,1650000.0
26,888809627,Apartamentos,1180.0,195,3,4,3,Fortaleza,Guararapes,920000.0
27,669907984,Apartamentos,0.0,73,2,3,2,Fortaleza,Guararapes,370000.0
28,827153934,Apartamentos,0.0,166,4,4,4,Fortaleza,Guararapes,1499000.0
29,641973256,Apartamentos,0.0,72,3,3,2,Fortaleza,Guararapes,600000.0
30,666946478,Apartamentos,550.0,70,3,2,2,Fortaleza,Guararapes,499999.0
31,977194414,Apartamentos,0.0,100,3,3,2,Fortaleza,Guararapes,400000.0
32,957949614,Apartamentos,0.0,216,4,5 ou mais,4,Fortaleza,Engenheiro Luciano Cavalcante,1690000.0
33,951156269,Apartamentos,1050.0,122,3,5 ou mais,2,Fortaleza,Guararapes,795000.0
34,972268102,Apartamentos,1181.0,165,3,4,3,Fortaleza,Guararapes,1650000.0
35,944370345,Apartamentos,0.0,138,3,4,3,Fortaleza,Guararapes,1295000.0
36,957928736,Apartamentos,500.0,104,3,4,,Fortaleza,Engenheiro Luciano Cavalcante,730000.0
37,973819884,Apartamentos,0.0,90,3,3,2,Fortaleza,Guararapes,780000.0
38,964187154,Apartamentos,0.0,243,3,4,4,Fortaleza,Guararapes,1300000.0
39,950990413,Apartamentos,400.0,72,3,2,2,Fortaleza,Guararapes,737000.0
40,900021527,Apartamentos,790.0,91,3,2,2,Fortaleza,Guararapes,390000.0
