,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,895342460,Casas,0.0,82,3,2,2,Fortaleza,Henrique Jorge,110000.0
1,960985093,Casas,0.0,72,3,2,2,Fortaleza,Henrique Jorge,105000.0
2,928339932,Apartamentos,0.0,57,2,2,5 ou mais,Fortaleza,Henrique Jorge,390529.0
3,868066687,Apartamentos,380.0,58,2,2,1,Fortaleza,Dom Lustosa,335000.0
4,953368936,Apartamentos,0.0,57,2,2,2,Fortaleza,Henrique Jorge,388355.0
5,966397090,Apartamentos,305.0,52,2,1,1,Fortaleza,Henrique Jorge,145000.0
6,972299758,Casas,0.0,95,3,2,2,Fortaleza,Henrique Jorge,330000.0
7,917295612,Apartamentos,70.0,45,2,1,1,Fortaleza,Autran Nunes,130000.0
8,972299754,Apartamentos,270.0,60,3,2,1,Fortaleza,Henrique Jorge,205000.0
9,961905699,Apartamentos,335.0,60,3,2,1,Fortaleza,Henrique Jorge,210000.0
10,922261436,Apartamentos,50.0,41,2,1,0,Fortaleza,Dom Lustosa,78000.0
11,973416598,Apartamentos,366.0,57,2,2,1,Fortaleza,Henrique Jorge,295000.0
12,921733414,Apartamentos,215.0,53,2,1,1,Fortaleza,Dom Lustosa,125000.0
13,975457047,Casas,0.0,150,3,2,1,Fortaleza,Autran Nunes,280000.0
14,971632022,Casas,0.0,80,2,2,2,Fortaleza,Autran Nunes,130000.0
15,975313407,Casas,0.0,20,2,2,4,Fortaleza,Henrique Jorge,70000.0
16,636185403,Apartamentos,255.0,60,3,2,1,Fortaleza,Henrique Jorge,210000.0
17,972299724,Apartamentos,270.0,60,3,2,1,Fortaleza,Henrique Jorge,210000.0
18,961944234,Apartamentos,250.0,60,3,2,1,Fortaleza,João XXIII,299000.0
19,957521270,Casas,0.0,214,2,2,1,Fortaleza,Dom Lustosa,310000.0
20,974975951,Casas,0.0,70,2,2,1,Fortaleza,Henrique Jorge,130000.0
21,970612646,Apartamentos,250.0,45,2,1,1,Fortaleza,Henrique Jorge,110000.0
22,961990922,Apartamentos,500.0,110,3,3,2,Fortaleza,Henrique Jorge,499000.0
23,938743046,Casas,0.0,207,4,2,1,Fortaleza,Henrique Jorge,480000.0
24,924524124,Casas,0.0,175,5 ou mais,5 ou mais,1,Fortaleza,Henrique Jorge,590000.0
25,974683643,Apartamentos,150.0,41,2,1,1,Fortaleza,Henrique Jorge,149000.0
26,692874404,Casas,0.0,0,3,3,2,Fortaleza,Henrique Jorge,450000.0
27,921229049,Casas,0.0,125,2,2,2,Fortaleza,Henrique Jorge,0.0
28,921229009,Casas,0.0,125,2,2,2,Fortaleza,Henrique Jorge,0.0
29,931483886,Casas,0.0,113,3,2,4,Fortaleza,Henrique Jorge,520000.0
30,974081962,Casas,0.0,0,4,2,0,Fortaleza,Henrique Jorge,70000.0
31,958176866,Apartamentos,0.0,58,2,2,2,Fortaleza,Henrique Jorge,412024.0
32,610840737,Apartamentos,0.0,60,3,2,1,Fortaleza,Henrique Jorge,190000.0
33,711903053,Apartamentos,490.0,57,2,2,2,Fortaleza,Dom Lustosa,371910.0
34,973796946,Apartamentos,0.0,62,2,2,1,Fortaleza,Henrique Jorge,295000.0
35,922260264,Casas,0.0,125,2,2,2,Fortaleza,Autran Nunes,0.0
36,922260216,Casas,0.0,125,2,2,0,Fortaleza,Autran Nunes,0.0
37,833331117,Casas,0.0,0,3,2,3,Fortaleza,Dom Lustosa,360000.0
38,952899626,Casas,0.0,250,3,2,3,Fortaleza,Dom Lustosa,370000.0
39,973107463,Casas,0.0,102,3,2,1,Fortaleza,Henrique Jorge,120000.0
40,741894250,Casas,0.0,140,4,4,2,Fortaleza,Henrique Jorge,450000.0
41,972805189,Apartamentos,0.0,0,2,1,0,Fortaleza,Henrique Jorge,100000.0
42,972555907,Apartamentos,350.0,51,2,1,0,Fortaleza,Henrique Jorge,170000.0
43,971884100,Casas,0.0,300,5 ou mais,2,2,Fortaleza,Henrique Jorge,470000.0
44,969525943,Casas,0.0,400,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Henrique Jorge,750000.0
45,969525877,Casas,0.0,72,3,2,2,Fortaleza,Henrique Jorge,255000.0
46,971209381,Casas,0.0,0,2,1,0,Fortaleza,Autran Nunes,65000.0
47,916257637,Casas,0.0,125,2,2,2,Fortaleza,Autran Nunes,0.0
48,916257703,Casas,0.0,125,2,2,2,Fortaleza,Autran Nunes,0.0
49,970952559,Casas,0.0,0,1,1,,Fortaleza,Henrique Jorge,60000.0
50,951021571,Casas,0.0,350,5 ou mais,5 ou mais,2,Fortaleza,Henrique Jorge,387000.0
51,669249945,Apartamentos,200.0,60,3,2,1,Fortaleza,Henrique Jorge,210000.0
52,941143017,Apartamentos,255.0,60,3,2,1,Fortaleza,Henrique Jorge,210000.0
53,940735582,Casas,100.0,58,5 ou mais,,5 ou mais,Fortaleza,Autran Nunes,2800000.0
54,738605006,Casas,0.0,530,5 ou mais,4,3,Fortaleza,Dom Lustosa,530000.0
55,897404674,Apartamentos,130.0,60,2,,,Fortaleza,Henrique Jorge,145000.0
56,869697991,Apartamentos,200.0,52,2,1,1,Fortaleza,Henrique Jorge,120000.0
57,868067844,Apartamentos,531.0,67,3,2,2,Fortaleza,Dom Lustosa,559000.0
58,850380413,Apartamentos,50.0,41,2,1,1,Fortaleza,Dom Lustosa,99000.0
59,693658792,Casas,200.0,75,3,1,1,Fortaleza,Dom Lustosa,250000.0
60,680093275,Casas,0.0,35,2,2,1,Fortaleza,Autran Nunes,165000.0
61,664756193,Casas,0.0,100,2,2,1,Fortaleza,Henrique Jorge,750000.0
