,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,970612655,Casas,450.0,73,3,2,2,Fortaleza,Itaperi,304000.0
1,921026907,Apartamentos,400.0,76,3,2,2,Fortaleza,Itaperi,239800.0
2,714930898,Apartamentos,350.0,69,2,1,2,Fortaleza,Itaperi,220000.0
3,971990316,Casas,0.0,180,3,2,2,Fortaleza,Itaperi,550000.0
4,928773336,Apartamentos,0.0,43,2,2,5 ou mais,Fortaleza,Itaperi,0.0
5,928770304,Apartamentos,0.0,43,2,2,5 ou mais,Fortaleza,Itaperi,0.0
6,928772772,Casas,0.0,180,3,2,2,Fortaleza,Itaperi,0.0
7,928772805,Casas,0.0,125,2,2,2,Fortaleza,Itaperi,0.0
8,954768015,Casas,0.0,260,5 ou mais,5 ou mais,4,Fortaleza,Itaperi,600000.0
9,928771397,Casas,0.0,125,2,2,2,Fortaleza,Itaperi,0.0
10,928771464,Casas,0.0,125,2,2,2,Fortaleza,Itaperi,0.0
11,969367974,Casas,0.0,220,3,3,2,Fortaleza,Itaperi,18000.0
12,977405607,Apartamentos,385.0,52,2,2,1,Fortaleza,Itaperi,195000.0
13,947122883,Apartamentos,600.0,96,3,3,2,Fortaleza,Itaperi,470000.0
14,957488275,Apartamentos,200.0,42,2,1,1,Fortaleza,Itaperi,0.0
15,893412170,Casas,0.0,876,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Itaperi,980000.0
16,969717190,Apartamentos,190.0,43,2,1,1,Fortaleza,Itaperi,145000.0
17,670291385,Casas,0.0,120,3,3,1,Fortaleza,Itaperi,299999.0
18,972761643,Casas,0.0,150,3,2,2,Fortaleza,Itaperi,24000.0
19,907569004,Casas,0.0,260,4,1,2,Fortaleza,Itaperi,600000.0
20,906532887,Apartamentos,660.0,84,3,2,2,Fortaleza,Itaperi,369000.0
21,969337659,Casas,0.0,147,4,5 ou mais,5 ou mais,Fortaleza,Itaperi,760000.0
22,948158330,Apartamentos,320.0,63,3,2,2,Fortaleza,Itaperi,260000.0
23,947035103,Apartamentos,400.0,64,2,2,1,Fortaleza,Itaperi,250000.0
24,970612652,Casas,450.0,73,3,2,2,Fortaleza,Itaperi,280000.0
25,962516327,Casas,0.0,180,5 ou mais,4,3,Fortaleza,Itaperi,599000.0
26,907566324,Apartamentos,256.0,62,2,1,1,Fortaleza,Itaperi,155000.0
27,972342504,Apartamentos,270.0,44,2,1,1,Fortaleza,Itaperi,110000.0
28,948932729,Apartamentos,420.0,90,3,2,2,Fortaleza,Itaperi,340000.0
29,949485703,Apartamentos,0.0,42,2,1,1,Fortaleza,Itaperi,154835.0
30,958255548,Casas,0.0,0,3,2,1,Fortaleza,Itaperi,0.0
31,970511413,Apartamentos,220.0,44,2,1,1,Fortaleza,Itaperi,135000.0
32,951354365,Apartamentos,280.0,45,2,1,1,Fortaleza,Itaperi,140000.0
33,948902483,Apartamentos,0.0,43,2,1,1,Fortaleza,Itaperi,175000.0
34,896319072,Apartamentos,700.0,84,3,2,2,Fortaleza,Itaperi,349999.0
35,957414606,Apartamentos,380.0,128,3,2,1,Fortaleza,Itaperi,290000.0
36,976605021,Casas,0.0,200,2,1,4,Fortaleza,Itaperi,250000.0
37,928483002,Casas,0.0,0,3,3,5 ou mais,Fortaleza,Itaperi,440000.0
38,917477795,Casas,0.0,180,4,4,5 ou mais,Fortaleza,Itaperi,759990.0
39,927042085,Casas,470.0,75,3,2,2,Fortaleza,Itaperi,240000.0
40,976365828,Casas,0.0,147,4,4,3,Fortaleza,Itaperi,550000.0
41,971053460,Apartamentos,0.0,0,0,0,0,Fortaleza,Itaperi,0.0
42,976228752,Apartamentos,260.0,69,3,2,1,Fortaleza,Itaperi,0.0
43,919964639,Apartamentos,0.0,96,3,4,2,Fortaleza,Itaperi,480000.0
44,976038583,Apartamentos,250.0,48,2,1,1,Fortaleza,Itaperi,0.0
45,976004074,Casas,0.0,120,3,3,2,Fortaleza,Itaperi,20000.0
46,942784633,Apartamentos,405.0,56,3,2,1,Fortaleza,Itaperi,215000.0
47,953368935,Casas,0.0,112,2,3,2,Fortaleza,Itaperi,300000.0
48,927576019,Apartamentos,236.0,44,2,1,1,Fortaleza,Itaperi,165000.0
49,966628454,Casas,0.0,135,4,,3,Fortaleza,Itaperi,550000.0
50,975789677,Apartamentos,190.0,44,2,1,1,Fortaleza,Itaperi,155000.0
51,955795874,Apartamentos,0.0,56,3,2,1,Fortaleza,Itaperi,239990.0
52,963669724,Casas,0.0,90,3,2,2,Fortaleza,Itaperi,330000.0
53,914170227,Apartamentos,300.0,44,2,1,1,Fortaleza,Itaperi,125000.0
54,974198583,Apartamentos,230.0,53,2,2,1,Fortaleza,Itaperi,110000.0
55,955795529,Apartamentos,192.0,43,2,1,1,Fortaleza,Itaperi,170000.0
56,975420555,Apartamentos,190.0,43,2,1,1,Fortaleza,Itaperi,52000.0
57,941154981,Casas,0.0,400,3,4,5 ou mais,Fortaleza,Itaperi,615000.0
58,917473874,Casas,380.0,90,3,2,2,Fortaleza,Itaperi,399900.0
59,971873667,Casas,0.0,897,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Itaperi,980000.0
60,975263130,Casas,0.0,400,3,2,3,Fortaleza,Itaperi,185000.0
61,946910961,Apartamentos,0.0,96,3,3,2,Fortaleza,Itaperi,470000.0
62,975238717,Apartamentos,0.0,0,2,2,1,Fortaleza,Itaperi,180000.0
63,636185488,Apartamentos,0.0,85,3,4,2,Fortaleza,Itaperi,520716.0
64,975156837,Casas,0.0,80,3,1,0,Fortaleza,Itaperi,150000.0
65,937111516,Casas,590.0,80,3,3,2,Fortaleza,Itaperi,195000.0
66,969272393,Apartamentos,0.0,63,2,1,1,Fortaleza,Itaperi,250000.0
67,946910865,Apartamentos,0.0,93,3,3,2,Fortaleza,Itaperi,470642.0
68,975032360,Casas,0.0,68,2,2,1,Fortaleza,Itaperi,120000.0
69,917471708,Casas,365.0,75,2,3,2,Fortaleza,Itaperi,330000.0
