,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,941172673,Apartamentos,0.0,47,2,1,1,Fortaleza,Jacarecanga,260000.0
1,636346984,Apartamentos,300.0,48,2,1,1,Fortaleza,Jacarecanga,210000.0
2,956348959,Apartamentos,320.0,68,3,2,1,Fortaleza,Jacarecanga,300000.0
3,914170023,Apartamentos,500.0,92,3,3,2,Fortaleza,Jacarecanga,250000.0
4,672961772,Apartamentos,0.0,80,3,3,2,Fortaleza,Jacarecanga,326000.0
5,970510900,Apartamentos,499.0,53,2,2,1,Fortaleza,Jacarecanga,341000.0
6,952645793,Apartamentos,420.0,67,2,2,1,Fortaleza,Jacarecanga,300000.0
7,909490243,Apartamentos,500.0,48,3,2,2,Fortaleza,Jacarecanga,340000.0
8,977082994,Apartamentos,498.0,71,3,2,2,Fortaleza,Jacarecanga,478000.0
9,976959765,Apartamentos,0.0,50,2,1,0,Fortaleza,Carlito Pamplona,0.0
10,976936858,Apartamentos,150.0,85,3,2,2,Fortaleza,Jacarecanga,190000.0
11,976902980,Apartamentos,0.0,48,2,1,1,Fortaleza,Jacarecanga,248000.0
12,921707693,Casas,0.0,220,4,3,2,Fortaleza,Jacarecanga,320000.0
13,976636644,Casas,0.0,0,3,3,0,Fortaleza,Pirambu,160000.0
14,976604218,Apartamentos,0.0,42,2,1,1,Fortaleza,Jacarecanga,160900.0
15,976596182,Apartamentos,500.0,80,3,2,2,Fortaleza,Carlito Pamplona,295000.0
16,976593082,Apartamentos,500.0,79,3,2,1,Fortaleza,Carlito Pamplona,295000.0
17,926059706,Apartamentos,280.0,48,2,1,1,Fortaleza,Jacarecanga,260000.0
18,976581163,Casas,0.0,92,2,1,1,Fortaleza,Jacarecanga,229999.0
19,816404772,Apartamentos,150.0,80,3,2,2,Fortaleza,Jacarecanga,189000.0
20,955767783,Apartamentos,562.0,78,3,1,1,Fortaleza,Jacarecanga,304861.0
21,911995008,Apartamentos,170.0,30,1,1,1,Fortaleza,Jacarecanga,94000.0
22,892505800,Apartamentos,562.0,78,3,2,1,Fortaleza,Jacarecanga,434800.0
23,954959962,Apartamentos,0.0,78,3,3,1,Fortaleza,Jacarecanga,359619.0
24,970516662,Apartamentos,498.0,71,3,2,2,Fortaleza,Jacarecanga,465000.0
25,976243079,Apartamentos,0.0,0,2,1,1,Fortaleza,Jacarecanga,160900.0
26,964151718,Apartamentos,300.0,48,2,1,1,Fortaleza,Jacarecanga,255000.0
27,963399555,Apartamentos,420.0,80,3,2,1,Fortaleza,Jacarecanga,260000.0
28,929166841,Apartamentos,500.0,54,2,2,2,Fortaleza,Jacarecanga,295000.0
29,976023607,Casas,0.0,4151,2,2,0,Fortaleza,Jacarecanga,450000.0
30,640255421,Apartamentos,145.0,31,1,1,0,Fortaleza,Jacarecanga,85000.0
31,975792328,Apartamentos,400.0,51,2,2,1,Fortaleza,Jacarecanga,265200.0
32,975789813,Casas,0.0,400,5 ou mais,5 ou mais,4,Fortaleza,Jacarecanga,650000.0
33,975789793,Casas,0.0,180,3,1,1,Fortaleza,Jacarecanga,380000.0
34,975789714,Apartamentos,0.0,100,2,1,1,Fortaleza,Jacarecanga,200000.0
35,975789438,Apartamentos,500.0,70,3,2,2,Fortaleza,Jacarecanga,511063.0
36,975789272,Apartamentos,500.0,70,2,2,2,Fortaleza,Jacarecanga,472173.0
37,897615116,Apartamentos,430.0,93,3,2,2,Fortaleza,Jacarecanga,380000.0
38,960808039,Apartamentos,150.0,86,3,2,2,Fortaleza,Jacarecanga,200000.0
39,944196040,Casas,0.0,158,1,2,1,Fortaleza,Pirambu,160000.0
40,932837611,Apartamentos,220.0,110,3,2,1,Fortaleza,Jacarecanga,170000.0
41,975702486,Casas,0.0,0,1,1,,Fortaleza,Monte Castelo,150.0
42,972299718,Apartamentos,250.0,47,2,1,1,Fortaleza,Jacarecanga,182200.0
43,975586561,Casas,0.0,0,2,1,1,Fortaleza,Pirambu,17500.0
44,915479087,Apartamentos,750.0,121,3,2,1,Fortaleza,Jacarecanga,315000.0
45,924123018,Casas,0.0,170,3,2,2,Fortaleza,Jacarecanga,350000.0
46,942849852,Apartamentos,0.0,78,3,2,2,Fortaleza,Jacarecanga,386659.0
47,873266962,Apartamentos,562.0,79,3,2,2,Fortaleza,Jacarecanga,411095.0
48,900217466,Casas,0.0,0,2,2,2,Fortaleza,Jacarecanga,550000.0
49,975454605,Apartamentos,380.0,55,2,2,1,Fortaleza,Jacarecanga,280000.0
50,960682810,Apartamentos,650.0,106,4,3,1,Fortaleza,Jacarecanga,360000.0
51,523698150,Apartamentos,300.0,48,2,1,1,Fortaleza,Jacarecanga,250000.0
52,975061281,Apartamentos,0.0,79,3,2,1,Fortaleza,Jacarecanga,304861.0
53,942054990,Apartamentos,0.0,70,3,2,2,Fortaleza,Jacarecanga,450000.0
54,974969150,Apartamentos,0.0,68,2,2,1,Fortaleza,Jacarecanga,270000.0
55,974964411,Casas,0.0,0,2,1,0,Fortaleza,Jacarecanga,20000.0
56,972296768,Apartamentos,350.0,48,2,1,1,Fortaleza,Jacarecanga,230000.0
57,974705955,Apartamentos,755.0,94,4,3,2,Fortaleza,Jacarecanga,450000.0
58,972300112,Apartamentos,170.0,53,2,2,1,Fortaleza,Jacarecanga,160000.0
59,950894512,Casas,0.0,40,2,2,0,Fortaleza,Carlito Pamplona,110000.0
60,952748359,Apartamentos,310.0,48,2,1,1,Fortaleza,Jacarecanga,220000.0
61,950665387,Apartamentos,420.0,55,2,2,1,Fortaleza,Jacarecanga,285000.0
62,974461256,Casas,0.0,96,2,1,0,Fortaleza,Jacarecanga,95000.0
63,953140337,Apartamentos,366.0,48,2,1,1,Fortaleza,Jacarecanga,250000.0
64,813473937,Apartamentos,0.0,69,3,2,2,Fortaleza,Jacarecanga,447900.0
65,794219524,Apartamentos,480.0,71,3,2,2,Fortaleza,Jacarecanga,399990.0
66,711707063,Apartamentos,0.0,56,2,2,1,Fortaleza,Jacarecanga,342662.0
67,973956118,Casas,0.0,0,2,1,,Fortaleza,Álvaro Weyne,0.0
68,886401303,Casas,0.0,180,3,1,1,Fortaleza,Jacarecanga,380000.0
69,962323561,Apartamentos,160.0,62,2,1,1,Fortaleza,Jacarecanga,130000.0
70,973646380,Casas,0.0,0,2,1,1,Fortaleza,Jacarecanga,160.0
71,973553059,Apartamentos,0.0,79,3,2,2,Fortaleza,Jacarecanga,396504.0
72,973428399,Apartamentos,0.0,0,2,1,1,Fortaleza,Jacarecanga,160000.0
73,973402228,Apartamentos,490.0,70,3,2,2,Fortaleza,Jacarecanga,395000.0
74,970511162,Apartamentos,498.0,56,2,2,1,Fortaleza,Jacarecanga,365000.0
75,892537198,Apartamentos,430.0,62,3,2,2,Fortaleza,Jacarecanga,350000.0
76,907568775,Apartamentos,620.0,106,3,3,1,Fortaleza,Jacarecanga,370000.0
77,893579707,Apartamentos,750.0,121,3,3,1,Fortaleza,Jacarecanga,315000.0
78,948382425,Apartamentos,370.0,62,3,2,0,Fortaleza,Jacarecanga,200000.0
79,972800978,Apartamentos,0.0,0,2,,1,Fortaleza,Jacarecanga,240000.0
80,850455754,Apartamentos,458.0,57,2,2,2,Fortaleza,Jacarecanga,300000.0
81,833258964,Apartamentos,150.0,53,2,2,1,Fortaleza,Jacarecanga,169000.0
82,972297701,Apartamentos,286.0,48,2,1,1,Fortaleza,Jacarecanga,280000.0
83,972297667,Apartamentos,460.0,83,3,2,1,Fortaleza,Jacarecanga,180000.0
84,857451767,Casas,0.0,150,4,4,1,Fortaleza,Pirambu,195000.0
85,712759856,Apartamentos,150.0,85,3,2,2,Fortaleza,Jacarecanga,210000.0
86,971658601,Casas,0.0,180,3,3,1,Fortaleza,Pirambu,200000.0
87,971610382,Casas,0.0,42,1,1,,Fortaleza,Carlito Pamplona,400.0
