,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,887222584,Apartamentos,0.0,50,2,1,1,Fortaleza,Pedras,112000.0
1,950069461,Casas,0.0,80,3,2,2,Fortaleza,Pedras,165000.0
2,843868273,Apartamentos,0.0,51,2,2,1,Fortaleza,Jangurussu,165000.0
3,955553563,Casas,0.0,83,2,2,2,Fortaleza,Pedras,155000.0
4,959767766,Casas,0.0,103,3,2,4,Fortaleza,Pedras,221000.0
5,955795697,Casas,0.0,98,2,2,2,Fortaleza,Pedras,146000.0
6,894334875,Casas,0.0,121,3,3,2,Fortaleza,Conjunto Palmeiras,180000.0
7,957409544,Casas,0.0,89,2,2,2,Fortaleza,Jangurussu,166000.0
8,886401705,Apartamentos,300.0,60,2,2,1,Fortaleza,Jangurussu,160000.0
9,946496755,Apartamentos,240.0,44,2,1,1,Fortaleza,Jangurussu,115000.0
10,977447217,Casas,0.0,130,3,4,3,Fortaleza,Jangurussu,358000.0
11,940455013,Casas,0.0,96,3,2,2,Fortaleza,Pedras,166000.0
12,952128679,Casas,0.0,85,2,2,2,Fortaleza,Pedras,159900.0
13,918222477,Apartamentos,0.0,50,2,1,1,Fortaleza,Pedras,120000.0
14,949485786,Casas,0.0,92,3,2,2,Fortaleza,Pedras,175000.0
15,957632628,Casas,0.0,90,3,2,2,Fortaleza,Pedras,160000.0
16,957780758,Casas,0.0,0,2,2,2,Fortaleza,Pedras,160000.0
17,977414632,Apartamentos,100.0,0,2,1,1,Fortaleza,Jangurussu,45000.0
18,954593477,Casas,0.0,82,2,2,2,Fortaleza,Jangurussu,142000.0
19,962701231,Casas,0.0,86,2,2,2,Fortaleza,Pedras,157000.0
20,977384527,Casas,0.0,84,2,2,3,Fortaleza,Jangurussu,159900.0
21,955144710,Casas,0.0,0,2,2,,Fortaleza,Pedras,170000.0
22,957789849,Casas,0.0,0,2,2,2,Fortaleza,Pedras,165000.0
23,953460420,Casas,0.0,60,2,1,1,Fortaleza,Pedras,115000.0
24,935168948,Apartamentos,225.0,42,2,1,1,Fortaleza,Jangurussu,100000.0
25,949485665,Apartamentos,0.0,58,2,1,1,Fortaleza,Pedras,105000.0
26,977354190,Casas,0.0,0,2,2,2,Fortaleza,Pedras,27003.0
27,963336373,Casas,0.0,85,2,2,2,Fortaleza,Pedras,150000.0
28,977336321,Casas,0.0,800,2,1,5 ou mais,Fortaleza,Jangurussu,0.0
29,936766616,Casas,0.0,0,4,4,2,Fortaleza,Jangurussu,170000.0
30,977320835,Casas,0.0,0,2,2,2,Fortaleza,Pedras,145000.0
31,977310989,Casas,0.0,0,2,2,2,Fortaleza,Pedras,130004.0
32,977306980,Casas,0.0,0,2,2,2,Fortaleza,Pedras,143004.0
33,977304444,Casas,0.0,0,2,2,0,Fortaleza,Pedras,120004.0
34,970371836,Casas,0.0,87,2,2,2,Fortaleza,Pedras,159000.0
35,954172846,Casas,0.0,84,2,2,3,Fortaleza,Pedras,145000.0
36,977296113,Casas,0.0,0,3,2,0,Fortaleza,Jangurussu,35000.0
37,967485766,Apartamentos,140.0,42,2,1,0,Fortaleza,Jangurussu,100000.0
38,951289901,Casas,0.0,84,2,2,3,Fortaleza,Pedras,145000.0
39,977256598,Casas,0.0,85,2,2,2,Fortaleza,Pedras,160000.0
40,932296331,Casas,0.0,0,2,2,2,Fortaleza,Pedras,150000.0
41,936677959,Casas,0.0,86,2,2,2,Fortaleza,Pedras,180000.0
42,944923086,Casas,0.0,90,3,2,2,Fortaleza,Jangurussu,310011.0
43,957499956,Casas,0.0,0,2,,,Fortaleza,Pedras,140000.0
44,973053545,Casas,0.0,160,2,1,3,Fortaleza,Conjunto Palmeiras,92000.0
45,952350564,Casas,0.0,88,3,2,2,Fortaleza,Pedras,185000.0
46,950748836,Casas,0.0,86,2,2,4,Fortaleza,Pedras,159900.0
47,894839946,Casas,0.0,90,3,2,,Fortaleza,Jangurussu,305000.0
48,932253899,Apartamentos,0.0,0,2,2,1,Fortaleza,Pedras,130000.0
49,949275722,Casas,307.0,67,2,2,1,Fortaleza,Jangurussu,229999.0
50,967357569,Apartamentos,265.0,42,2,1,1,Fortaleza,Jangurussu,95000.0
51,950749073,Casas,0.0,84,2,2,2,Fortaleza,Pedras,155000.0
52,713795997,Casas,0.0,102,3,3,5 ou mais,Fortaleza,Jangurussu,310000.0
53,933698886,Casas,0.0,0,2,2,2,Fortaleza,Pedras,153000.0
54,957781869,Casas,0.0,0,2,2,2,Fortaleza,Pedras,145000.0
55,934563852,Apartamentos,0.0,0,2,2,1,Fortaleza,Pedras,0.0
56,957635269,Casas,0.0,89,2,2,2,Fortaleza,Pedras,160000.0
57,977037532,Apartamentos,0.0,50,2,2,1,Fortaleza,Pedras,24999.0
58,950703261,Casas,0.0,80,2,2,2,Fortaleza,Pedras,170000.0
59,977034320,Casas,0.0,150,2,2,3,Fortaleza,Pedras,149900.0
60,975103856,Apartamentos,300.0,58,2,2,1,Fortaleza,Jangurussu,175000.0
61,957790962,Casas,0.0,0,2,2,2,Fortaleza,Pedras,150000.0
62,976987923,Casas,0.0,88,2,2,2,Fortaleza,Pedras,150000.0
63,954562826,Casas,0.0,60,2,1,1,Fortaleza,Pedras,120000.0
64,976984834,Casas,0.0,90,3,2,2,Fortaleza,Pedras,164000.0
65,976980556,Casas,0.0,77,2,2,2,Fortaleza,Pedras,165000.0
66,976972732,Casas,0.0,85,2,2,2,Fortaleza,Pedras,150000.0
67,962076365,Apartamentos,242.0,50,2,1,1,Fortaleza,Pedras,92000.0
68,976963491,Casas,0.0,0,3,2,,Fortaleza,Jangurussu,0.0
69,976959944,Casas,0.0,87,2,2,2,Fortaleza,Pedras,157007.0
70,976951537,Casas,0.0,90,2,2,2,Fortaleza,Pedras,145000.0
71,976947699,Casas,0.0,81,2,2,2,Fortaleza,Pedras,148001.0
72,976937888,Casas,0.0,0,2,2,2,Fortaleza,Pedras,126997.0
73,962875536,Casas,0.0,87,2,2,2,Fortaleza,Pedras,160000.0
74,976925872,Casas,0.0,0,3,2,2,Fortaleza,Pedras,0.0
75,976916635,Casas,0.0,0,2,2,2,Fortaleza,Pedras,160000.0
76,976908092,Casas,0.0,0,2,2,2,Fortaleza,Pedras,145000.0
77,910888246,Casas,0.0,97,3,2,2,Fortaleza,Pedras,175000.0
78,914170436,Apartamentos,265.0,42,2,1,1,Fortaleza,Jangurussu,100000.0
79,976882054,Casas,0.0,0,2,2,3,Fortaleza,Pedras,147012.0
80,935915732,Apartamentos,0.0,0,2,2,1,Fortaleza,Pedras,140000.0
81,976859756,Casas,0.0,8,1,1,0,Fortaleza,Pedras,7000.0
82,950466910,Casas,0.0,84,2,2,2,Fortaleza,Pedras,160000.0
83,928340905,Casas,0.0,70,2,2,2,Fortaleza,Pedras,42000.0
84,954079161,Casas,0.0,81,2,2,2,Fortaleza,Pedras,145000.0
85,951406831,Casas,0.0,87,2,2,2,Fortaleza,Pedras,160000.0
86,940286555,Casas,0.0,82,2,2,2,Fortaleza,Pedras,145000.0
87,976735903,Apartamentos,0.0,0,2,1,1,Fortaleza,Jangurussu,30000.0
88,955388021,Casas,0.0,87,2,2,2,Fortaleza,Pedras,143000.0
89,976725722,Casas,300.0,68,2,2,1,Fortaleza,Jangurussu,250000.0
90,932972193,Casas,0.0,77,2,2,3,Fortaleza,Pedras,145000.0
91,950364341,Casas,0.0,88,3,2,3,Fortaleza,Pedras,194900.0
92,950749374,Casas,0.0,83,2,2,2,Fortaleza,Pedras,154900.0
93,912668369,Casas,0.0,75,2,3,2,Fortaleza,Jangurussu,150000.0
94,944242200,Casas,0.0,89,2,2,3,Fortaleza,Pedras,155000.0
95,930947242,Apartamentos,305.0,45,2,1,1,Fortaleza,Jangurussu,115000.0
96,932119589,Casas,0.0,0,3,3,2,Fortaleza,Pedras,75000.0
97,957783143,Casas,0.0,0,2,2,2,Fortaleza,Pedras,150000.0
98,973610660,Casas,0.0,0,2,1,,Fortaleza,Jangurussu,150000.0
99,928403831,Casas,0.0,80,2,2,2,Fortaleza,Pedras,170000.0
100,976634944,Apartamentos,0.0,0,2,1,,Fortaleza,Jangurussu,25000.0
101,976634671,Casas,0.0,0,2,2,2,Fortaleza,Pedras,161990.0
102,976629779,Casas,0.0,150,2,2,2,Fortaleza,Pedras,144990.0
103,958411053,Casas,0.0,84,2,2,2,Fortaleza,Pedras,164900.0
104,865009890,Casas,450.0,76,3,2,2,Fortaleza,Jangurussu,260000.0
105,957791879,Casas,0.0,0,2,2,2,Fortaleza,Pedras,150000.0
106,950754716,Casas,0.0,88,2,2,3,Fortaleza,Pedras,174900.0
107,976579500,Apartamentos,0.0,50,2,2,1,Fortaleza,Pedras,129000.0
