,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,972693329,Casas,0.0,160,3,3,2,Fortaleza,Jardim Cearense,25000.0
1,949626046,Casas,0.0,260,4,5 ou mais,4,Fortaleza,Jardim Cearense,1250000.0
2,970209561,Casas,0.0,196,3,2,1,Fortaleza,Jardim Cearense,22000.0
3,977424852,Apartamentos,0.0,50,2,1,1,Fortaleza,Jardim Cearense,125000.0
4,977405623,Casas,400.0,91,3,2,3,Fortaleza,Jardim Cearense,330000.0
5,977405532,Casas,0.0,320,4,3,2,Fortaleza,Jardim Cearense,350000.0
6,977405506,Casas,0.0,135,3,2,2,Fortaleza,Jardim Cearense,350000.0
7,977405499,Apartamentos,580.0,70,3,3,1,Fortaleza,Jardim Cearense,580000.0
8,977405419,Apartamentos,0.0,54,2,2,1,Fortaleza,Jardim Cearense,240000.0
9,955794962,Casas,420.0,240,4,4,2,Fortaleza,Jardim Cearense,1399000.0
10,970263890,Casas,0.0,180,3,2,1,Fortaleza,Jardim Cearense,18000.0
11,971140309,Casas,0.0,156,3,3,2,Fortaleza,Jardim Cearense,20000.0
12,917478910,Apartamentos,330.0,49,2,1,1,Fortaleza,Jardim Cearense,139900.0
13,776683291,Apartamentos,401.0,64,3,2,2,Fortaleza,Jardim Cearense,549999.0
14,977200474,Casas,480.0,240,4,4,4,Fortaleza,Jardim Cearense,1100000.0
15,977200129,Casas,0.0,166,4,3,4,Fortaleza,Jardim Cearense,670000.0
16,917478607,Casas,447.0,248,4,5 ou mais,3,Fortaleza,Jardim Cearense,1100000.0
17,930715479,Casas,0.0,81,3,2,2,Fortaleza,Jardim Cearense,350000.0
18,968956082,Casas,0.0,250,3,3,1,Fortaleza,Jardim Cearense,15000.0
19,963937381,Apartamentos,0.0,54,2,2,2,Fortaleza,Jardim Cearense,460000.0
20,917478817,Casas,0.0,225,3,2,5 ou mais,Fortaleza,Jardim Cearense,464900.0
