,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,932433697,Casas,0.0,140,3,3,2,Fortaleza,Jardim das Oliveiras,470000.0
1,956462056,Casas,0.0,600,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Jardim das Oliveiras,980000.0
2,946117458,Casas,0.0,140,3,4,4,Fortaleza,Jardim das Oliveiras,550000.0
3,976834140,Casas,0.0,0,2,2,3,Fortaleza,Jardim das Oliveiras,42000.0
4,896318828,Casas,0.0,200,3,3,3,Fortaleza,Jardim das Oliveiras,350000.0
5,918132705,Casas,0.0,192,4,5 ou mais,5 ou mais,Fortaleza,Jardim das Oliveiras,850000.0
6,976552384,Casas,0.0,120,4,4,2,Fortaleza,Jardim das Oliveiras,430000.0
7,956186611,Apartamentos,288.0,48,2,1,1,Fortaleza,Jardim das Oliveiras,140000.0
8,878269573,Apartamentos,550.0,105,3,4,2,Fortaleza,Jardim das Oliveiras,690000.0
9,950086881,Casas,0.0,120,4,4,3,Fortaleza,Jardim das Oliveiras,430000.0
10,960718266,Casas,0.0,316,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Jardim das Oliveiras,940000.0
11,975789449,Casas,550.0,161,4,5 ou mais,2,Fortaleza,Jardim das Oliveiras,550000.0
12,870535818,Casas,900.0,230,3,5 ou mais,3,Fortaleza,Parque Manibura,940000.0
13,941180481,Casas,0.0,140,3,4,5 ou mais,Fortaleza,Jardim das Oliveiras,550000.0
14,785758064,Casas,0.0,173,5 ou mais,5 ou mais,1,Fortaleza,Jardim das Oliveiras,400000.0
15,911578791,Casas,0.0,125,3,3,2,Fortaleza,Jardim das Oliveiras,469000.0
16,934811081,Casas,0.0,130,3,5 ou mais,4,Fortaleza,Jardim das Oliveiras,400000.0
17,926344415,Casas,0.0,125,2,2,2,Fortaleza,Jardim das Oliveiras,0.0
18,975240262,Apartamentos,315.0,0,2,1,2,Fortaleza,Jardim das Oliveiras,650.0
19,975167173,Casas,0.0,0,2,1,0,Fortaleza,Jardim das Oliveiras,60000.0
20,956186394,Apartamentos,288.0,48,2,1,2,Fortaleza,Jardim das Oliveiras,180000.0
21,926344369,Casas,0.0,125,2,2,2,Fortaleza,Jardim das Oliveiras,0.0
22,974860151,Casas,0.0,0,2,1,0,Fortaleza,Jardim das Oliveiras,60000.0
23,974651216,Apartamentos,210.0,45,2,1,1,Fortaleza,Jardim das Oliveiras,85000.0
24,944183767,Apartamentos,300.0,62,2,,1,Fortaleza,Jardim das Oliveiras,150000.0
25,962076373,Casas,700.0,160,3,5 ou mais,2,Fortaleza,Jardim das Oliveiras,499000.0
26,868079793,Casas,700.0,160,3,5 ou mais,2,Fortaleza,Jardim das Oliveiras,525000.0
27,932972267,Casas,0.0,193,4,5 ou mais,5 ou mais,Fortaleza,Jardim das Oliveiras,850000.0
28,974360759,Casas,0.0,0,3,2,2,Fortaleza,Jardim das Oliveiras,380.0
29,974162257,Casas,0.0,0,1,1,0,Fortaleza,Jardim das Oliveiras,30000.0
30,932285376,Apartamentos,0.0,189,4,5 ou mais,4,Fortaleza,Jardim das Oliveiras,1934330.0
31,949629433,Casas,0.0,120,4,4,2,Fortaleza,Jardim das Oliveiras,430000.0
32,888807823,Casas,0.0,118,3,4,3,Fortaleza,Jardim das Oliveiras,550000.0
33,823145870,Casas,0.0,130,3,3,2,Fortaleza,Jardim das Oliveiras,350000.0
34,972311055,Casas,0.0,110,3,2,3,Fortaleza,Jardim das Oliveiras,450000.0
35,972298724,Casas,0.0,168,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Jardim das Oliveiras,800000.0
36,972297983,Casas,0.0,142,4,4,3,Fortaleza,Jardim das Oliveiras,500000.0
37,972297333,Casas,0.0,151,4,5 ou mais,2,Fortaleza,Jardim das Oliveiras,530000.0
38,972297047,Casas,0.0,117,3,4,2,Fortaleza,Jardim das Oliveiras,650000.0
39,909177324,Apartamentos,275.0,60,3,2,2,Fortaleza,Jardim das Oliveiras,230000.0
40,944139748,Apartamentos,275.0,62,3,2,1,Fortaleza,Jardim das Oliveiras,230000.0
41,894332626,Casas,0.0,182,4,5 ou mais,5 ou mais,Fortaleza,Jardim das Oliveiras,520000.0
42,885586355,Casas,0.0,142,4,4,3,Fortaleza,Jardim das Oliveiras,495000.0
43,958176827,Apartamentos,324.0,62,2,1,2,Fortaleza,Jardim das Oliveiras,155000.0
44,915261321,Casas,0.0,125,2,2,2,Fortaleza,Jardim das Oliveiras,0.0
45,915261282,Casas,0.0,125,2,2,2,Fortaleza,Jardim das Oliveiras,0.0
46,915247365,Casas,0.0,125,2,2,2,Fortaleza,Jardim das Oliveiras,0.0
47,915247412,Casas,0.0,125,2,2,2,Fortaleza,Jardim das Oliveiras,0.0
48,971383327,Casas,0.0,0,3,2,1,Fortaleza,Jardim das Oliveiras,220000.0
49,936100964,Casas,0.0,297,3,4,4,Fortaleza,Jardim das Oliveiras,548999.0
50,894332128,Casas,0.0,191,3,4,3,Fortaleza,Jardim das Oliveiras,580000.0
51,970517114,Casas,0.0,120,3,2,3,Fortaleza,Jardim das Oliveiras,400000.0
52,894305266,Casas,0.0,286,5 ou mais,4,4,Fortaleza,Jardim das Oliveiras,365000.0
53,969692126,Casas,0.0,0,1,1,,Fortaleza,Jardim das Oliveiras,60000.0
54,924123048,Casas,0.0,374,4,5 ou mais,4,Fortaleza,Jardim das Oliveiras,850000.0
55,906027083,Casas,700.0,200,3,3,4,Fortaleza,Jardim das Oliveiras,530000.0
56,904034368,Apartamentos,300.0,62,2,,1,Fortaleza,Jardim das Oliveiras,180000.0
57,968385081,Casas,0.0,80,2,2,1,Fortaleza,Jardim das Oliveiras,260000.0
58,903227886,Casas,900.0,200,3,5 ou mais,3,Fortaleza,Parque Manibura,950000.0
59,949842840,Casas,0.0,120,4,4,2,Fortaleza,Jardim das Oliveiras,430000.0
60,878802678,Apartamentos,550.0,105,3,4,2,Fortaleza,Jardim das Oliveiras,689998.0
61,911839098,Apartamentos,275.0,75,3,2,1,Fortaleza,Jardim das Oliveiras,220000.0
62,941165415,Casas,0.0,120,4,3,2,Fortaleza,Jardim das Oliveiras,370000.0
63,966748620,Casas,0.0,50000,4,2,0,Fortaleza,Jardim das Oliveiras,170000.0
64,966439105,Casas,0.0,201,3,,,Fortaleza,Jardim das Oliveiras,450000.0
65,907568404,Casas,550.0,160,3,5 ou mais,2,Fortaleza,Jardim das Oliveiras,550000.0
66,965785187,Apartamentos,0.0,46,2,1,1,Fortaleza,Jardim das Oliveiras,10000.0
67,920953216,Casas,0.0,180,3,3,2,Fortaleza,Jardim das Oliveiras,420000.0
68,921394961,Casas,0.0,100,4,3,2,Fortaleza,Jardim das Oliveiras,415000.0
69,939339566,Casas,0.0,297,3,4,2,Fortaleza,Jardim das Oliveiras,549000.0
70,931967894,Casas,0.0,139,3,3,4,Fortaleza,Jardim das Oliveiras,490000.0
71,878725757,Casas,700.0,160,3,,3,Fortaleza,Jardim das Oliveiras,500000.0
72,740535355,Casas,0.0,139,3,5 ou mais,4,Fortaleza,Jardim das Oliveiras,440000.0
73,962486934,Casas,0.0,112,2,1,1,Fortaleza,Jardim das Oliveiras,30000.0
74,928840496,Casas,0.0,150,4,4,2,Fortaleza,Jardim das Oliveiras,530000.0
75,898012227,Casas,0.0,193,3,3,2,Fortaleza,Jardim das Oliveiras,390000.0
76,934770086,Casas,0.0,120,3,2,1,Fortaleza,Jardim das Oliveiras,280000.0
77,960149809,Casas,90000.0,0,2,1,1,Fortaleza,Jardim das Oliveiras,90000.0
78,960022398,Casas,0.0,240,4,4,5 ou mais,Fortaleza,Jardim das Oliveiras,650000.0
79,927342964,Casas,0.0,125,2,2,2,Fortaleza,Jardim das Oliveiras,0.0
80,955730450,Casas,0.0,0,3,2,1,Fortaleza,Jardim das Oliveiras,90000.0
81,955087119,Apartamentos,275.0,61,3,2,1,Fortaleza,Jardim das Oliveiras,230000.0
82,927343033,Casas,0.0,125,2,2,2,Fortaleza,Jardim das Oliveiras,0.0
83,955023241,Casas,0.0,0,1,1,,Fortaleza,Jardim das Oliveiras,55000.0
84,954657874,Apartamentos,0.0,35,1,1,,Fortaleza,Jardim das Oliveiras,0.0
85,954553102,Casas,0.0,125,3,3,1,Fortaleza,Jardim das Oliveiras,180000.0
86,669250121,Casas,0.0,250,5 ou mais,1,5 ou mais,Fortaleza,Jardim das Oliveiras,500000.0
87,844679954,Casas,0.0,260,3,,,Fortaleza,Jardim das Oliveiras,875000.0
88,886401638,Casas,550.0,161,4,5 ou mais,2,Fortaleza,Jardim das Oliveiras,550000.0
89,909321707,Casas,0.0,142,4,4,3,Fortaleza,Jardim das Oliveiras,480000.0
90,898038918,Casas,0.0,428,4,3,5 ou mais,Fortaleza,Jardim das Oliveiras,730000.0
91,683494102,Casas,0.0,187,4,3,4,Fortaleza,Jardim das Oliveiras,520000.0
