,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,915850847,Casas,0.0,79,2,2,1,Fortaleza,Jardim Guanabara,110000.0
1,977192182,Casas,0.0,140,2,2,3,Fortaleza,Jardim Guanabara,270000.0
2,961628105,Casas,0.0,100,2,1,1,Fortaleza,Jardim Guanabara,200000.0
3,972686988,Casas,0.0,135,3,2,1,Fortaleza,Jardim Guanabara,20000.0
4,976865354,Apartamentos,0.0,0,2,2,,Fortaleza,Jardim Iracema,0.0
5,819300382,Casas,0.0,82,3,2,2,Fortaleza,Jardim Guanabara,100000.0
6,971511284,Casas,0.0,182,3,3,1,Fortaleza,Jardim Guanabara,20000.0
7,892505884,Casas,0.0,140,2,2,1,Fortaleza,Jardim Guanabara,280000.0
8,925430724,Casas,0.0,125,2,2,2,Fortaleza,Jardim Guanabara,0.0
9,925430836,Casas,0.0,125,2,2,2,Fortaleza,Jardim Guanabara,0.0
10,922176076,Casas,0.0,125,2,2,2,Fortaleza,Jardim Iracema,0.0
11,922172800,Casas,0.0,125,2,2,2,Fortaleza,Jardim Iracema,0.0
12,976006294,Casas,0.0,120,3,3,2,Fortaleza,Jardim Guanabara,20000.0
13,975714190,Casas,0.0,0,1,1,1,Fortaleza,Jardim Guanabara,0.0
14,975708732,Casas,0.0,0,1,1,,Fortaleza,Jardim Iracema,65000.0
15,915189521,Casas,0.0,70,3,1,1,Fortaleza,Jardim Iracema,150000.0
16,974833886,Casas,0.0,0,1,1,,Fortaleza,Jardim Iracema,28000.0
17,953312913,Casas,0.0,238,4,2,3,Fortaleza,Jardim Iracema,450000.0
18,874941835,Apartamentos,0.0,50,2,1,1,Fortaleza,Jardim Guanabara,145000.0
19,524720671,Apartamentos,0.0,50,2,1,0,Fortaleza,Jardim Iracema,1190000.0
20,918589149,Casas,0.0,68,4,4,2,Fortaleza,Jardim Iracema,350000.0
21,974220437,Casas,123.0,60000,1,1,1,Fortaleza,Jardim Iracema,71000.0
22,971507818,Casas,0.0,96,3,1,1,Fortaleza,Jardim Guanabara,18000.0
23,971876629,Casas,0.0,196,3,3,1,Fortaleza,Jardim Guanabara,15000.0
24,940128766,Apartamentos,0.0,457,2,1,5 ou mais,Fortaleza,Jardim Iracema,1200000.0
25,928857707,Casas,0.0,240,3,2,3,Fortaleza,Jardim Guanabara,473000.0
26,962675841,Casas,0.0,70,2,2,1,Fortaleza,Jardim Guanabara,120000.0
27,915396399,Casas,0.0,429,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Jardim Guanabara,900000.0
28,853178361,Casas,0.0,390,4,4,4,Fortaleza,Jardim Guanabara,350000.0
29,920004267,Casas,0.0,125,2,2,2,Fortaleza,Jardim Iracema,0.0
30,920004291,Casas,0.0,125,2,2,2,Fortaleza,Jardim Iracema,0.0
31,970522202,Casas,0.0,17,2,2,1,Fortaleza,Jardim Guanabara,80000.0
32,970500284,Casas,0.0,0,2,1,1,Fortaleza,Jardim Guanabara,80000.0
33,914739218,Casas,0.0,125,2,2,2,Fortaleza,Jardim Iracema,0.0
34,914738818,Casas,0.0,125,2,2,2,Fortaleza,Jardim Iracema,0.0
35,967875704,Casas,0.0,0,1,1,0,Fortaleza,Jardim Iracema,0.0
36,966181278,Apartamentos,0.0,0,2,1,1,Fortaleza,Jardim Iracema,88000.0
37,636184394,Casas,0.0,160,4,4,3,Fortaleza,Jardim Guanabara,385000.0
38,965688691,Casas,0.0,65,2,2,1,Fortaleza,Jardim Guanabara,110000.0
39,924123053,Casas,0.0,174,4,1,1,Fortaleza,Jardim Guanabara,320000.0
40,965245311,Casas,0.0,210,4,2,2,Fortaleza,Jardim Guanabara,290000.0
41,964571406,Casas,0.0,0,2,2,1,Fortaleza,Jardim Guanabara,260000.0
42,963720602,Casas,0.0,400,4,4,5 ou mais,Fortaleza,Jardim Guanabara,349000.0
43,962619532,Casas,0.0,50,3,2,3,Fortaleza,Jardim Iracema,135000.0
44,962427353,Casas,0.0,225,4,3,1,Fortaleza,Jardim Guanabara,0.0
45,960271956,Casas,0.0,0,2,2,1,Fortaleza,Jardim Iracema,125000.0
46,960249224,Apartamentos,200.0,74,2,1,1,Fortaleza,Jardim Guanabara,80000.0
47,959765010,Casas,5.0,0,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Jardim Iracema,0.0
48,958796093,Casas,131.0,40000,2,1,0,Fortaleza,Jardim Iracema,32000.0
49,957787042,Casas,111.0,40000,2,1,,Fortaleza,Jardim Iracema,32000.0
50,955994636,Casas,0.0,85,2,2,0,Fortaleza,Jardim Iracema,60000.0
51,955651088,Casas,130.0,40000,2,2,2,Fortaleza,Jardim Iracema,39900.0
52,931439037,Apartamentos,245.0,42,2,1,1,Fortaleza,Jardim Guanabara,140000.0
