,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,954622620,Casas,0.0,144,4,3,,Fortaleza,João XXIII,110000.0
1,927884803,Casas,0.0,125,2,2,0,Fortaleza,João XXIII,0.0
2,927884764,Casas,0.0,125,2,2,2,Fortaleza,João XXIII,0.0
3,963046987,Apartamentos,330.0,64,3,2,2,Fortaleza,João XXIII,285000.0
4,976915502,Casas,0.0,100,2,3,0,Fortaleza,João XXIII,120000.0
5,945668455,Casas,0.0,199,2,2,1,Fortaleza,João XXIII,300000.0
6,976490708,Casas,0.0,70,1,1,1,Fortaleza,João XXIII,99900.0
7,971885289,Casas,0.0,110,3,2,2,Fortaleza,João XXIII,20000.0
8,974560429,Casas,300.0,93,3,2,2,Fortaleza,João XXIII,310000.0
9,971885385,Casas,0.0,100,3,2,2,Fortaleza,João XXIII,20000.0
10,975298617,Casas,0.0,0,1,1,,Fortaleza,João XXIII,40000.0
11,973314184,Casas,0.0,268,3,,0,Fortaleza,João XXIII,210000.0
12,941631581,Casas,0.0,144,4,3,,Fortaleza,João XXIII,130000.0
13,493542923,Apartamentos,220.0,60,3,2,1,Fortaleza,João XXIII,227000.0
14,974752797,Casas,0.0,0,0,1,0,Fortaleza,João XXIII,40000.0
15,974240056,Apartamentos,0.0,280,2,2,2,Fortaleza,João XXIII,280000.0
16,920496084,Apartamentos,313.0,62,3,2,1,Fortaleza,João XXIII,260000.0
17,973072747,Casas,0.0,378,3,4,3,Fortaleza,João XXIII,650000.0
18,972755358,Casas,0.0,0,2,2,1,Fortaleza,João XXIII,160000.0
19,797251715,Apartamentos,339.0,62,3,2,2,Fortaleza,João XXIII,282500.0
20,944447099,Casas,0.0,80,2,2,1,Fortaleza,João XXIII,120000.0
21,952429787,Casas,0.0,70,2,2,2,Fortaleza,João XXIII,120000.0
22,943479574,Casas,0.0,235,3,3,1,Fortaleza,João XXIII,180000.0
23,924123086,Casas,0.0,208,4,3,1,Fortaleza,João XXIII,420000.0
24,968836112,Casas,1.0,1,5 ou mais,4,5 ou mais,Fortaleza,João XXIII,850000.0
25,781242629,Casas,0.0,200,5 ou mais,4,4,Fortaleza,João XXIII,600000.0
26,968545979,Casas,120.0,533,5 ou mais,1,1,Fortaleza,João Xxiii,200000.0
27,968104142,Casas,0.0,0,3,2,1,Fortaleza,João XXIII,100000.0
28,880529023,Casas,0.0,0,2,2,1,Fortaleza,João XXIII,250000.0
29,965675307,Casas,0.0,346,4,4,0,Fortaleza,João XXIII,0.0
30,907567142,Casas,0.0,400,5 ou mais,3,5 ou mais,Fortaleza,João XXIII,800000.0
31,961818451,Casas,0.0,180,1,1,5 ou mais,Fortaleza,João XXIII,25000.0
32,957576005,Casas,0.0,420,3,3,1,Fortaleza,João XXIII,300000.0
33,956996273,Casas,0.0,2500,3,2,1,Fortaleza,João XXIII,220000.0
34,940729668,Casas,0.0,199,2,2,1,Fortaleza,João XXIII,300000.0
35,930173763,Casas,0.0,214,5 ou mais,,,Fortaleza,João XXIII,400000.0
36,899990682,Apartamentos,255.0,60,3,2,1,Fortaleza,João XXIII,210000.0
37,828287482,Casas,0.0,75,3,2,2,Fortaleza,João XXIII,255000.0
38,733204037,Casas,0.0,464,4,3,5 ou mais,Fortaleza,João XXIII,610000.0
39,644925661,Casas,0.0,595,4,4,5 ou mais,Fortaleza,João XXIII,820000.0
40,567884119,Casas,0.0,400,3,3,3,Fortaleza,João XXIII,400000.0
