,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,954006409,Apartamentos,900.0,106,3,3,2,Fortaleza,Joaquim Távora,549000.0
1,897614761,Apartamentos,1100.0,196,3,4,2,Fortaleza,Joaquim Távora,510000.0
2,921772240,Apartamentos,900.0,169,3,4,1,Fortaleza,Joaquim Távora,378000.0
3,958173937,Apartamentos,0.0,110,3,4,3,Fortaleza,Joaquim Távora,600000.0
4,955592208,Apartamentos,970.0,118,3,1,3,Fortaleza,Joaquim Távora,590000.0
5,961534813,Apartamentos,700.0,96,3,3,2,Fortaleza,Joaquim Távora,620000.0
6,959045174,Apartamentos,270.0,55,2,2,1,Fortaleza,Joaquim Távora,220000.0
7,961535128,Apartamentos,700.0,111,3,4,2,Fortaleza,Joaquim Távora,420000.0
8,973784877,Apartamentos,0.0,117,0,0,0,Fortaleza,Joaquim Távora,128700.0
9,962852312,Apartamentos,0.0,70,3,2,2,Fortaleza,Joaquim Távora,480000.0
10,964759733,Apartamentos,0.0,58,1,2,1,Fortaleza,Joaquim Távora,538470.0
11,913074510,Apartamentos,230.0,72,3,2,2,Fortaleza,Joaquim Távora,209000.0
12,827404056,Apartamentos,450.0,61,3,3,2,Fortaleza,Joaquim Távora,420000.0
13,841826201,Apartamentos,600.0,124,4,4,2,Fortaleza,Joaquim Távora,320000.0
14,954345658,Apartamentos,950.0,134,3,4,3,Fortaleza,Joaquim Távora,1100000.0
15,919850903,Apartamentos,500.0,92,3,3,2,Fortaleza,Joaquim Távora,480000.0
16,951035246,Apartamentos,0.0,115,3,4,2,Fortaleza,Joaquim Távora,850000.0
17,946924753,Apartamentos,1400.0,210,3,5 ou mais,2,Fortaleza,Joaquim Távora,595000.0
18,977262273,Apartamentos,340.0,76,3,3,2,Fortaleza,Joaquim Távora,270000.0
19,945917844,Apartamentos,0.0,61,2,3,1,Fortaleza,Joaquim Távora,316400.0
20,938956983,Apartamentos,0.0,62,2,2,1,Fortaleza,Joaquim Távora,420000.0
21,970869393,Apartamentos,770.0,114,3,3,1,Fortaleza,Joaquim Távora,270000.0
22,964618006,Apartamentos,0.0,118,3,3,1,Fortaleza,Joaquim Távora,250000.0
23,959043969,Apartamentos,1300.0,173,3,3,1,Fortaleza,Joaquim Távora,380000.0
24,833175778,Apartamentos,900.0,105,3,,2,Fortaleza,Joaquim Távora,410000.0
25,959043720,Apartamentos,270.0,65,2,2,1,Fortaleza,Joaquim Távora,250000.0
26,977154521,Apartamentos,450.0,70,3,2,2,Fortaleza,Joaquim Távora,580000.0
27,935864094,Apartamentos,700.0,96,3,3,2,Fortaleza,Joaquim Távora,680000.0
28,946228271,Apartamentos,800.0,145,3,3,2,Fortaleza,Joaquim Távora,650000.0
29,946490443,Apartamentos,790.0,120,3,4,2,Fortaleza,Joaquim Távora,529000.0
30,967077253,Apartamentos,1350.0,164,4,3,2,Fortaleza,Joaquim Távora,499000.0
31,894219943,Apartamentos,0.0,114,3,4,2,Fortaleza,Joaquim Távora,901000.0
32,941602053,Apartamentos,950.0,66,2,2,2,Fortaleza,Joaquim Távora,440000.0
33,969050977,Apartamentos,0.0,70,3,2,0,Fortaleza,Joaquim Távora,120000.0
34,910851837,Apartamentos,0.0,88,3,1,2,Fortaleza,Joaquim Távora,520000.0
35,976911621,Apartamentos,535.0,95,3,3,2,Fortaleza,Joaquim Távora,499000.0
36,976902371,Apartamentos,544.0,48,3,1,1,Fortaleza,Joaquim Távora,235000.0
37,921927287,Apartamentos,423.0,33,1,1,1,Fortaleza,Joaquim Távora,310000.0
38,899459664,Casas,0.0,230,3,3,2,Fortaleza,Joaquim Távora,350000.0
39,973728062,Apartamentos,200.0,130,3,2,1,Fortaleza,Joaquim Távora,305000.0
40,948162597,Apartamentos,0.0,55,2,2,1,Fortaleza,Joaquim Távora,620000.0
41,941849506,Apartamentos,265.0,105,3,2,2,Fortaleza,Joaquim Távora,295000.0
42,775967457,Apartamentos,425.0,95,3,3,2,Fortaleza,Joaquim Távora,850000.0
43,950665434,Apartamentos,430.0,100,3,3,1,Fortaleza,Joaquim Távora,250000.0
44,929607973,Apartamentos,800.0,124,3,4,2,Fortaleza,Joaquim Távora,529000.0
45,782815657,Casas,0.0,74,2,2,2,Fortaleza,Joaquim Távora,0.0
46,946139944,Apartamentos,0.0,33,1,1,1,Fortaleza,Joaquim Távora,310000.0
47,910876820,Apartamentos,0.0,61,2,1,1,Fortaleza,Joaquim Távora,363000.0
48,920202736,Apartamentos,730.0,96,3,4,2,Fortaleza,Joaquim Távora,620000.0
49,976649541,Apartamentos,950.0,135,3,3,,Fortaleza,Joaquim Távora,1149000.0
50,976649445,Apartamentos,600.0,106,3,4,2,Fortaleza,Joaquim Távora,900000.0
51,976649315,Apartamentos,598.0,112,3,2,1,Fortaleza,Joaquim Távora,349990.0
52,948832966,Apartamentos,650.0,58,1,2,1,Fortaleza,Joaquim Távora,570000.0
53,964334623,Apartamentos,1350.0,164,4,4,,Fortaleza,Joaquim Távora,499000.0
54,976587357,Apartamentos,0.0,91,3,2,2,Fortaleza,Joaquim Távora,280000.0
55,969050999,Apartamentos,1000.0,95,3,3,4,Fortaleza,Joaquim Távora,460000.0
56,971204988,Apartamentos,500.0,62,3,3,2,Fortaleza,Joaquim Távora,270000.0
57,936409078,Apartamentos,0.0,119,3,4,2,Fortaleza,Joaquim Távora,850000.0
58,943854969,Casas,0.0,397,5 ou mais,5 ou mais,3,Fortaleza,Joaquim Távora,1250000.0
59,964759664,Apartamentos,900.0,123,3,3,3,Fortaleza,Joaquim Távora,830000.0
60,932310554,Apartamentos,350.0,33,1,2,1,Fortaleza,Joaquim Távora,340000.0
61,947255012,Apartamentos,500.0,63,2,3,2,Fortaleza,Joaquim Távora,320000.0
62,976295016,Apartamentos,0.0,114,3,4,2,Fortaleza,Joaquim Távora,901100.0
63,886838280,Casas,0.0,130,3,3,3,Fortaleza,Joaquim Távora,580000.0
64,955433092,Apartamentos,0.0,110,3,1,3,Fortaleza,Joaquim Távora,100779200.0
65,955479298,Apartamentos,420.0,79,2,2,1,Fortaleza,Joaquim Távora,218000.0
66,972387218,Apartamentos,530.0,74,2,2,1,Fortaleza,Joaquim Távora,230000.0
67,943963883,Casas,0.0,363,3,3,5 ou mais,Fortaleza,Joaquim Távora,940000.0
68,946228399,Apartamentos,0.0,126,3,5 ou mais,3,Fortaleza,Joaquim Távora,650000.0
69,969253961,Apartamentos,1200.0,186,3,3,2,Fortaleza,Joaquim Távora,420000.0
70,972299743,Apartamentos,0.0,89,3,3,2,Fortaleza,Joaquim Távora,599000.0
71,886683189,Apartamentos,0.0,239,3,3,2,Fortaleza,Joaquim Távora,700000.0
72,947254994,Apartamentos,700.0,115,3,4,2,Fortaleza,Joaquim Távora,900000.0
73,967339727,Apartamentos,0.0,134,4,4,3,Fortaleza,Joaquim Távora,950000.0
74,953371771,Casas,0.0,251,4,3,4,Fortaleza,Joaquim Távora,1800000.0
75,976071861,Casas,0.0,169,4,4,3,Fortaleza,Joaquim Távora,450000.0
76,950683935,Apartamentos,600.0,105,3,2,1,Fortaleza,Joaquim Távora,350000.0
77,888807883,Apartamentos,1400.0,105,4,3,2,Fortaleza,Joaquim Távora,500000.0
78,928418362,Apartamentos,577.0,200,3,4,2,Fortaleza,Joaquim Távora,750000.0
79,976018085,Apartamentos,0.0,0,3,2,,Fortaleza,Joaquim Távora,32000.0
80,945912332,Apartamentos,150.0,63,2,1,1,Fortaleza,Joaquim Távora,215000.0
81,959815488,Apartamentos,0.0,66,2,2,3,Fortaleza,Joaquim Távora,528000.0
