,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,951821285,Casas,0.0,340,4,4,5 ou mais,Fortaleza,Jóquei Clube,590000.0
1,967571745,Apartamentos,380.0,57,2,2,1,Fortaleza,Jóquei Clube,290000.0
2,907916804,Apartamentos,531.0,67,3,2,2,Fortaleza,Jóquei Clube,340000.0
3,963236299,Apartamentos,0.0,55,2,2,1,Fortaleza,Jóquei Clube,295000.0
4,934215845,Apartamentos,0.0,63,3,2,2,Fortaleza,Jóquei Clube,340000.0
5,952212950,Casas,0.0,315,4,3,5 ou mais,Fortaleza,Jóquei Clube,580000.0
6,950540258,Apartamentos,350.0,70,3,1,1,Fortaleza,Jóquei Clube,250000.0
7,906736610,Apartamentos,380.0,58,2,2,1,Fortaleza,Jóquei Clube,290000.0
8,964151641,Apartamentos,367.0,57,2,2,1,Fortaleza,Jóquei Clube,290000.0
9,977036796,Apartamentos,300.0,78,3,2,1,Fortaleza,Jóquei Clube,250000.0
10,972299725,Apartamentos,380.0,58,2,2,1,Fortaleza,Jóquei Clube,295000.0
11,791493249,Apartamentos,0.0,67,3,2,1,Fortaleza,Jóquei Clube,350000.0
12,976960828,Apartamentos,0.0,67,3,2,2,Fortaleza,Jóquei Clube,450000.0
13,953105371,Casas,0.0,118,3,3,2,Fortaleza,Jóquei Clube,500000.0
14,921723722,Apartamentos,270.0,48,2,1,1,Fortaleza,Jóquei Clube,380000.0
15,976649346,Apartamentos,288.0,53,2,2,1,Fortaleza,Jóquei Clube,329000.0
16,951821500,Apartamentos,320.0,63,3,2,2,Fortaleza,Jóquei Clube,250000.0
17,976589352,Apartamentos,280.0,65,3,2,1,Fortaleza,Jóquei Clube,215000.0
18,886838128,Apartamentos,300.0,49,2,2,1,Fortaleza,Jóquei Clube,200000.0
19,976577948,Apartamentos,205.0,44,2,2,1,Fortaleza,Jóquei Clube,210000.0
20,963246139,Apartamentos,350.0,53,2,2,1,Fortaleza,Jóquei Clube,329000.0
21,969726366,Apartamentos,370.0,61,2,2,2,Fortaleza,Jóquei Clube,295000.0
22,973427337,Apartamentos,350.0,52,2,2,1,Fortaleza,Jóquei Clube,200000.0
23,969081950,Apartamentos,0.0,61,2,1,1,Fortaleza,Jóquei Clube,290000.0
24,976397921,Apartamentos,530000.0,67,3,2,2,Fortaleza,Jóquei Clube,340000.0
25,791493252,Apartamentos,0.0,57,2,2,,Fortaleza,Jóquei Clube,295000.0
26,934647614,Apartamentos,500.0,60,3,2,1,Fortaleza,Jóquei Clube,270000.0
27,968814876,Apartamentos,0.0,57,2,2,1,Fortaleza,Jóquei Clube,295000.0
28,972299733,Apartamentos,380.0,62,2,2,1,Fortaleza,Jóquei Clube,290000.0
29,976245906,Apartamentos,330.0,72,3,2,1,Fortaleza,Jóquei Clube,0.0
30,976237233,Apartamentos,359.0,60,3,2,1,Fortaleza,Jóquei Clube,0.0
31,976233615,Apartamentos,385.0,48,2,2,1,Fortaleza,Jóquei Clube,0.0
32,976222971,Apartamentos,385.0,48,2,2,1,Fortaleza,Jóquei Clube,0.0
33,962034325,Casas,0.0,118,3,3,3,Fortaleza,Jóquei Clube,500000.0
34,883620331,Apartamentos,490.0,67,3,2,2,Fortaleza,Jóquei Clube,340000.0
