,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,963478547,Apartamentos,550.0,103,3,3,1,Fortaleza,José Bonifácio,370000.0
1,977417374,Apartamentos,930.0,300,3,5 ou mais,3,Fortaleza,José Bonifácio,1750000.0
2,977417068,Apartamentos,930.0,300,3,5 ou mais,3,Fortaleza,José Bonifácio,1750000.0
3,977416801,Apartamentos,930.0,300,3,5 ou mais,3,Fortaleza,José Bonifácio,1750000.0
4,977416414,Apartamentos,930.0,300,3,5 ou mais,3,Fortaleza,José Bonifácio,1750000.0
5,977416269,Apartamentos,930.0,300,3,5 ou mais,3,Fortaleza,José Bonifácio,1750000.0
6,977416206,Apartamentos,930.0,300,3,5 ou mais,3,Fortaleza,José Bonifácio,1750000.0
7,977416196,Apartamentos,930.0,300,3,5 ou mais,3,Fortaleza,José Bonifácio,1750000.0
8,977415981,Apartamentos,930.0,300,3,5 ou mais,3,Fortaleza,José Bonifácio,1750000.0
9,946041092,Apartamentos,480.0,48,2,2,1,Fortaleza,Benfica,398000.0
10,947671257,Apartamentos,385.0,48,2,2,1,Fortaleza,Benfica,410000.0
11,952227565,Apartamentos,1000.0,112,3,3,2,Fortaleza,José Bonifácio,300000.0
12,954010090,Casas,0.0,1000,0,,4,Fortaleza,Fátima,1400000.0
13,962076727,Apartamentos,0.0,53,2,2,1,Fortaleza,Benfica,369576.0
14,894675456,Apartamentos,750.0,100,3,3,3,Fortaleza,José Bonifácio,650000.0
15,961929161,Apartamentos,650.0,118,3,4,2,Fortaleza,José Bonifácio,650000.0
16,970504457,Apartamentos,350.0,114,4,3,2,Fortaleza,Benfica,589000.0
17,894335333,Apartamentos,0.0,48,2,2,1,Fortaleza,Benfica,400000.0
18,977058998,Casas,0.0,59,0,0,,Fortaleza,José Bonifácio,85000.0
19,596085763,Apartamentos,384.0,48,2,,1,Fortaleza,Benfica,415000.0
20,962076689,Apartamentos,0.0,53,2,2,1,Fortaleza,Benfica,376531.0
21,976987586,Apartamentos,385.0,48,2,2,1,Fortaleza,Benfica,415000.0
22,953191049,Apartamentos,0.0,126,3,2,2,Fortaleza,José Bonifácio,450000.0
23,967442218,Apartamentos,385.0,48,2,2,1,Fortaleza,Benfica,427000.0
24,932849550,Apartamentos,550.0,100,4,3,2,Fortaleza,José Bonifácio,605000.0
25,971883439,Apartamentos,1180.0,112,3,3,1,Fortaleza,José Bonifácio,300000.0
26,976662899,Apartamentos,502.0,48,2,2,1,Fortaleza,Benfica,450000.0
27,868778011,Apartamentos,440.0,54,2,2,1,Fortaleza,Benfica,429000.0
28,772801877,Apartamentos,730.0,96,3,4,2,Fortaleza,José Bonifácio,810000.0
29,888808613,Apartamentos,600.0,66,3,1,1,Fortaleza,José Bonifácio,320000.0
30,967849618,Apartamentos,385.0,48,2,1,1,Fortaleza,Benfica,420000.0
31,772801732,Apartamentos,385.0,48,2,2,1,Fortaleza,Benfica,395000.0
32,911995010,Apartamentos,388.0,68,3,2,2,Fortaleza,José Bonifácio,540000.0
33,968771696,Apartamentos,385.0,48,2,2,1,Fortaleza,Benfica,395000.0
34,911590712,Apartamentos,500.0,160,3,3,2,Fortaleza,José Bonifácio,260000.0
35,976131927,Casas,0.0,200,4,4,,Fortaleza,José Bonifácio,1100000.0
36,925638153,Apartamentos,385.0,48,2,2,1,Fortaleza,Benfica,400000.0
37,976067565,Apartamentos,400.0,48,2,2,1,Fortaleza,Benfica,410000.0
38,962076538,Apartamentos,0.0,53,2,2,1,Fortaleza,Benfica,380759.0
39,975873596,Apartamentos,450.0,48,2,2,0,Fortaleza,Benfica,395000.0
40,974321566,Apartamentos,930.0,300,3,5 ou mais,3,Fortaleza,José Bonifácio,1750000.0
41,975806361,Apartamentos,776.0,164,3,4,2,Fortaleza,José Bonifácio,390000.0
42,975799005,Apartamentos,385.0,48,2,2,1,Fortaleza,Benfica,417777.0
43,975797497,Apartamentos,400.0,90,3,2,1,Fortaleza,José Bonifácio,360000.0
44,926890281,Apartamentos,0.0,110,3,4,2,Fortaleza,José Bonifácio,385000.0
45,952124732,Apartamentos,450.0,65,2,2,1,Fortaleza,José Bonifácio,250000.0
46,772801729,Apartamentos,544.0,68,3,2,2,Fortaleza,Benfica,750000.0
47,967447183,Apartamentos,385.0,48,2,2,1,Fortaleza,Benfica,415000.0
48,930990207,Apartamentos,0.0,57,2,2,1,Fortaleza,Benfica,430000.0
