,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,895437360,Casas,1500.0,242,5 ou mais,5 ou mais,5 ou mais,Fortaleza,José de Alencar,1550000.0
1,934046506,Casas,855.0,121,3,5 ou mais,2,Fortaleza,José de Alencar,469000.0
2,920539732,Casas,1.0,95,3,2,2,Fortaleza,José de Alencar,295000.0
3,961805774,Casas,1.0,55,2,2,2,Fortaleza,José de Alencar,189990.0
4,955413871,Apartamentos,350.0,56,2,2,1,Fortaleza,José de Alencar,168000.0
5,955413875,Casas,0.0,53,2,2,2,Fortaleza,José de Alencar,189900.0
6,906536864,Apartamentos,0.0,51,2,1,1,Fortaleza,José de Alencar,185000.0
7,954960241,Casas,0.0,123,2,3,3,Fortaleza,José de Alencar,480000.0
8,958447547,Casas,820.0,125,3,4,1,Fortaleza,José de Alencar,470000.0
9,895437240,Apartamentos,730.0,100,3,4,2,Fortaleza,José de Alencar,851000.0
10,899147969,Casas,750.0,206,4,5 ou mais,3,Fortaleza,José de Alencar,1450000.0
11,956179974,Casas,1100.0,186,4,5 ou mais,4,Fortaleza,José de Alencar,699000.0
12,956186383,Casas,0.0,312,4,4,5 ou mais,Fortaleza,José de Alencar,780000.0
13,967062142,Apartamentos,0.0,100,3,4,2,Fortaleza,José de Alencar,649999.0
14,955556854,Casas,200.0,103,3,2,3,Fortaleza,José de Alencar,269990.0
15,967123632,Casas,0.0,550,4,4,3,Fortaleza,José de Alencar,1090000.0
16,977319235,Casas,950.0,208,5 ou mais,5 ou mais,3,Fortaleza,José de Alencar,1300000.0
17,972296930,Casas,1700.0,202,3,3,4,Fortaleza,José de Alencar,650000.0
18,954031778,Apartamentos,350.0,58,2,2,1,Fortaleza,José de Alencar,250000.0
19,937914868,Casas,600.0,114,3,1,4,Fortaleza,José de Alencar,380000.0
20,921050108,Casas,0.0,54,2,2,2,Fortaleza,José de Alencar,189900.0
21,954960258,Casas,0.0,180,4,5 ou mais,4,Fortaleza,José de Alencar,550000.0
22,977224065,Casas,400.0,75,3,2,2,Fortaleza,José de Alencar,380000.0
23,949633980,Apartamentos,730.0,100,3,4,2,Fortaleza,José de Alencar,730000.0
24,961637611,Casas,0.0,250,3,,3,Fortaleza,José de Alencar,750000.0
25,954960013,Casas,0.0,104,3,1,2,Fortaleza,José de Alencar,465000.0
26,945917346,Casas,822.0,133,3,3,,Fortaleza,José de Alencar,650000.0
