,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,940391059,Casas,450.0,84,3,3,2,Fortaleza,Lagoa Redonda,330000.0
1,960810070,Casas,0.0,100,3,4,2,Fortaleza,Lagoa Redonda,245000.0
2,940110451,Casas,750.0,166,3,4,3,Fortaleza,Lagoa Redonda,550000.0
3,955866930,Casas,525.0,150,4,5 ou mais,3,Fortaleza,Lagoa Redonda,330000.0
4,969500796,Casas,600.0,150,3,4,4,Fortaleza,Lagoa Redonda,530000.0
5,948930676,Casas,740.0,83,3,2,2,Fortaleza,Lagoa Redonda,230000.0
6,939885941,Casas,0.0,97,3,3,2,Fortaleza,Lagoa Redonda,265000.0
7,977428611,Casas,0.0,0,2,2,1,Fortaleza,Lagoa Redonda,250000.0
8,959226201,Casas,0.0,105,3,2,,Fortaleza,Lagoa Redonda,258000.0
9,977386634,Apartamentos,0.0,0,2,1,1,Fortaleza,Lagoa Redonda,99000.0
10,913207379,Casas,0.0,70,2,2,2,Fortaleza,Lagoa Redonda,244000.0
11,977317006,Casas,0.0,0,2,2,2,Fortaleza,Lagoa Redonda,330000.0
12,954337090,Casas,370.0,180,3,3,2,Fortaleza,Lagoa Redonda,450000.0
13,962841354,Casas,0.0,95,3,2,2,Fortaleza,Lagoa Redonda,310000.0
14,643387604,Casas,0.0,120,3,3,4,Fortaleza,Lagoa Redonda,370000.0
15,642964476,Casas,0.0,80,2,2,3,Fortaleza,Lagoa Redonda,260000.0
16,947734060,Casas,770.0,81,3,2,4,Fortaleza,Lagoa Redonda,285000.0
17,670526134,Casas,340.0,92,3,3,2,Fortaleza,Lagoa Redonda,210000.0
18,951764314,Casas,695.0,112,4,3,4,Fortaleza,Lagoa Redonda,410000.0
19,961560124,Casas,525.0,131,4,5 ou mais,3,Fortaleza,Lagoa Redonda,460000.0
20,946189300,Casas,480.0,96,3,4,2,Fortaleza,Lagoa Redonda,275000.0
21,949329519,Casas,480.0,0,3,1,2,Fortaleza,Lagoa Redonda,240000.0
22,955795543,Casas,0.0,156,3,3,3,Fortaleza,Lagoa Redonda,330000.0
23,935957853,Casas,0.0,135,3,3,3,Fortaleza,Lagoa Redonda,450000.0
24,670526193,Casas,520.0,130,3,3,3,Fortaleza,Lagoa Redonda,390000.0
25,947239826,Casas,400.0,90,3,3,2,Fortaleza,Lagoa Redonda,380000.0
26,962076578,Casas,530.0,119,3,2,2,Fortaleza,Lagoa Redonda,390000.0
27,977078179,Casas,360.0,83,3,2,2,Fortaleza,Lagoa Redonda,300000.0
28,961937654,Casas,630.0,127,3,3,3,Fortaleza,Lagoa Redonda,440000.0
29,950410332,Casas,0.0,99,2,3,2,Fortaleza,Lagoa Redonda,225000.0
30,977058294,Casas,0.0,100,3,3,1,Fortaleza,Lagoa Redonda,350000.0
31,900827936,Casas,0.0,75,2,2,2,Fortaleza,Lagoa Redonda,215000.0
32,977029994,Casas,0.0,141,3,3,5 ou mais,Fortaleza,Lagoa Redonda,410000.0
33,977028036,Casas,0.0,91,3,2,2,Fortaleza,Lagoa Redonda,285000.0
34,977025588,Casas,0.0,110,3,2,2,Fortaleza,Lagoa Redonda,258000.0
35,977016072,Casas,0.0,90000,3,3,3,Fortaleza,Lagoa Redonda,160000.0
36,919129822,Casas,0.0,159,4,4,,Fortaleza,Lagoa Redonda,440000.0
37,958981053,Casas,400.0,86,3,3,2,Fortaleza,Lagoa Redonda,363990.0
38,889370356,Casas,700.0,220,4,5 ou mais,2,Fortaleza,Lagoa Redonda,680000.0
39,750147457,Casas,500.0,96,3,4,2,Fortaleza,Lagoa Redonda,315001.0
40,961937565,Casas,400.0,100,3,3,2,Fortaleza,Lagoa Redonda,370000.0
41,968481095,Casas,775.0,116,3,4,3,Fortaleza,Lagoa Redonda,400000.0
42,976903839,Casas,0.0,100,3,3,2,Fortaleza,Lagoa Redonda,245000.0
43,962076649,Casas,600.0,82,2,3,2,Fortaleza,Lagoa Redonda,260000.0
44,976867921,Casas,0.0,82,3,2,2,Fortaleza,Lagoa Redonda,230000.0
45,921731125,Casas,700.0,165,3,3,2,Fortaleza,Lagoa Redonda,600000.0
46,976852157,Casas,0.0,90,3,2,2,Fortaleza,Lagoa Redonda,330000.0
47,923769485,Casas,0.0,119,4,3,3,Fortaleza,Lagoa Redonda,430000.0
48,976779926,Apartamentos,0.0,45,2,1,1,Fortaleza,Lagoa Redonda,197490.0
49,976753771,Casas,600.0,140,3,4,2,Fortaleza,Lagoa Redonda,410000.0
50,897616451,Casas,750.0,172,4,4,2,Fortaleza,Lagoa Redonda,474000.0
51,905803900,Casas,0.0,4035,4,5 ou mais,5 ou mais,Fortaleza,Lagoa Redonda,750000.0
52,886401308,Casas,480.0,83,2,1,2,Fortaleza,Lagoa Redonda,480000.0
53,971742079,Casas,0.0,86,3,2,3,Fortaleza,Lagoa Redonda,265000.0
54,907566107,Casas,560.0,90,3,3,2,Fortaleza,Lagoa Redonda,315000.0
55,939103412,Casas,560.0,120,3,2,3,Fortaleza,Lagoa Redonda,300000.0
56,918150170,Casas,535.0,103,3,4,2,Fortaleza,Lagoa Redonda,370000.0
57,946266371,Casas,735.0,186,4,5 ou mais,4,Fortaleza,Lagoa Redonda,750000.0
58,956954008,Casas,300.0,67,2,1,2,Fortaleza,Lagoa Redonda,172000.0
59,670526085,Casas,350.0,80,3,3,2,Fortaleza,Lagoa Redonda,230000.0
60,904069676,Casas,1.0,84,3,3,2,Fortaleza,Lagoa Redonda,329900.0
61,968208863,Casas,0.0,96,3,2,3,Fortaleza,Lagoa Redonda,280000.0
62,960257897,Casas,600.0,100,3,3,2,Fortaleza,Lagoa Redonda,330000.0
63,896318991,Casas,0.0,115,3,3,4,Fortaleza,Lagoa Redonda,509999.0
64,896319157,Casas,0.0,99,2,3,2,Fortaleza,Lagoa Redonda,239999.0
65,845241125,Casas,0.0,84,3,3,2,Fortaleza,Lagoa Redonda,340000.0
66,898267076,Casas,1000.0,170,4,5 ou mais,3,Fortaleza,Lagoa Redonda,690000.0
67,946063058,Casas,500.0,180,4,5 ou mais,3,Fortaleza,Lagoa Redonda,798000.0
68,940232968,Casas,0.0,150,4,4,2,Fortaleza,Lagoa Redonda,400000.0
69,976166740,Casas,0.0,184,4,4,3,Fortaleza,Lagoa Redonda,695000.0
70,812659716,Casas,950.0,186,3,4,2,Fortaleza,Lagoa Redonda,775000.0
71,976136241,Casas,0.0,96,3,2,3,Fortaleza,Lagoa Redonda,280000.0
72,974662395,Casas,720.0,105,3,3,2,Fortaleza,Lagoa Redonda,395000.0
73,976078974,Apartamentos,0.0,0,2,1,,Fortaleza,Lagoa Redonda,90000.0
74,938864996,Casas,775.0,120,4,4,3,Fortaleza,Lagoa Redonda,349999.0
75,976018820,Casas,710.0,80,3,2,2,Fortaleza,Lagoa Redonda,290000.0
76,935169009,Apartamentos,0.0,65,2,1,0,Fortaleza,Lagoa Redonda,90000.0
77,964759649,Casas,720.0,122,3,3,2,Fortaleza,Lagoa Redonda,390000.0
78,669250170,Casas,710.0,186,3,3,2,Fortaleza,Lagoa Redonda,798000.0
79,960266568,Casas,500.0,90,3,2,2,Fortaleza,Lagoa Redonda,325000.0
80,975813445,Casas,500.0,90,3,3,2,Fortaleza,Lagoa Redonda,330000.0
81,975791119,Casas,0.0,96,3,2,4,Fortaleza,Lagoa Redonda,420000.0
82,975791112,Casas,0.0,386,5 ou mais,4,5 ou mais,Fortaleza,Lagoa Redonda,400000.0
83,975789661,Casas,700.0,98,3,1,2,Fortaleza,Lagoa Redonda,405000.0
84,975789267,Casas,480.0,83,2,1,2,Fortaleza,Lagoa Redonda,480000.0
85,724757936,Casas,700.0,110,3,4,2,Fortaleza,Lagoa Redonda,289990.0
86,975748227,Casas,683.0,96,3,3,2,Fortaleza,Lagoa Redonda,350000.0
87,959072257,Casas,735.0,135,3,4,2,Fortaleza,Lagoa Redonda,540000.0
88,950665400,Casas,450.0,96,2,2,2,Fortaleza,Lagoa Redonda,260000.0
89,974083758,Casas,330.0,0,2,2,2,Fortaleza,Lagoa Redonda,175000.0
90,954960281,Casas,316.0,97,3,2,2,Fortaleza,Lagoa Redonda,240000.0
91,949946399,Casas,670.0,157,3,4,3,Fortaleza,Lagoa Redonda,489000.0
92,928765261,Casas,0.0,121,4,1,3,Fortaleza,Lagoa Redonda,350000.0
93,724804475,Casas,0.0,118,3,2,2,Fortaleza,Lagoa Redonda,390000.0
94,961850221,Casas,700.0,186,4,4,2,Fortaleza,Lagoa Redonda,900000.0
95,975613856,Casas,0.0,186,3,3,3,Fortaleza,Lagoa Redonda,765000.0
96,972342604,Casas,0.0,106,3,2,2,Fortaleza,Lagoa Redonda,260000.0
97,899608934,Casas,500.0,96,3,3,2,Fortaleza,Lagoa Redonda,277000.0
98,943846121,Casas,950.0,215,4,5 ou mais,4,Fortaleza,Lagoa Redonda,730000.0
99,935677782,Casas,0.0,157,3,3,3,Fortaleza,Lagoa Redonda,520000.0
100,944863135,Casas,400.0,98,3,3,2,Fortaleza,Lagoa Redonda,380000.0
101,925185402,Casas,350.0,90,3,2,2,Fortaleza,Lagoa Redonda,230000.0
