,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,958320745,Casas,390.0,60,3,2,2,Fortaleza,Novo Mondubim,205000.0
1,977453232,Casas,0.0,220,3,3,4,Fortaleza,Manuel Sátiro,430000.0
2,949520669,Casas,0.0,92,3,2,2,Fortaleza,Novo Mondubim,365000.0
3,977123658,Casas,0.0,115,3,3,1,Fortaleza,Novo Mondubim,320000.0
4,947487299,Apartamentos,0.0,49,2,1,1,Fortaleza,Novo Mondubim,158000.0
5,977118474,Casas,0.0,115,3,3,1,Fortaleza,Novo Mondubim,320000.0
6,977113081,Casas,0.0,0,5 ou mais,5 ou mais,0,Fortaleza,Vila Peri,450000.0
7,954057257,Casas,0.0,78,2,2,1,Fortaleza,Manoel Sátiro,130000.0
8,964571467,Casas,0.0,231,3,2,2,Fortaleza,Novo Mondubim,850000.0
9,958336189,Casas,355.0,60,3,2,2,Fortaleza,Novo Mondubim,187000.0
10,963453781,Apartamentos,0.0,60,3,1,0,Fortaleza,Novo Mondubim,95000.0
11,909438894,Casas,0.0,166,3,3,1,Fortaleza,Vila Peri,195000.0
12,949848595,Casas,0.0,105,3,2,3,Fortaleza,Novo Mondubim,365000.0
13,975747818,Apartamentos,220.0,60,2,1,1,Fortaleza,Novo Mondubim,125000.0
14,955795542,Apartamentos,160.0,42,2,1,1,Fortaleza,Vila Peri,100000.0
15,959973155,Apartamentos,710.0,118,3,4,2,Fortaleza,Novo Mondubim,795000.0
16,875556868,Casas,0.0,0,3,2,2,Fortaleza,Vila Peri,570000.0
17,874124198,Casas,0.0,0,3,2,2,Fortaleza,Vila Peri,680000.0
18,943532597,Casas,0.0,100,3,3,2,Fortaleza,Novo Mondubim,365000.0
19,975392916,Apartamentos,0.0,63,3,2,1,Fortaleza,Vila Peri,140000.0
20,896779102,Casas,0.0,170,5 ou mais,2,1,Fortaleza,Novo Mondubim,299999.0
21,975174940,Casas,0.0,64,2,2,1,Fortaleza,Manoel Sátiro,130000.0
22,966095162,Casas,0.0,648,5 ou mais,3,2,Fortaleza,Novo Mondubim,250000.0
23,926759630,Casas,0.0,47,3,3,1,Fortaleza,Novo Mondubim,130000.0
