,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,969638353,Casas,0.0,220,3,2,2,Fortaleza,Maraponga,20000.0
1,950250249,Apartamentos,380.0,68,3,2,1,Fortaleza,Maraponga,180000.0
2,930819195,Casas,0.0,205,4,1,3,Fortaleza,Maraponga,850000.0
3,946105448,Casas,0.0,200,2,1,3,Fortaleza,Maraponga,420000.0
4,949625561,Casas,0.0,220,4,5 ou mais,4,Fortaleza,Maraponga,780000.0
5,804809711,Apartamentos,220.0,45,2,2,1,Fortaleza,Maraponga,180000.0
6,977405438,Casas,0.0,210,4,5 ou mais,4,Fortaleza,Maraponga,640000.0
7,977405417,Apartamentos,200.0,56,2,1,1,Fortaleza,Maraponga,140000.0
8,977405382,Casas,0.0,127,4,4,2,Fortaleza,Maraponga,385000.0
9,977405366,Apartamentos,680.0,74,3,3,2,Fortaleza,Maraponga,310000.0
10,954220706,Apartamentos,220.0,47,2,1,1,Fortaleza,Maraponga,190000.0
11,827158573,Casas,300.0,98,3,3,2,Fortaleza,Maraponga,319999.0
12,666506684,Apartamentos,350.0,51,2,2,1,Fortaleza,Maraponga,229000.0
13,646034949,Apartamentos,0.0,70,3,2,2,Fortaleza,Maraponga,249000.0
14,715717818,Casas,470.0,280,4,5 ou mais,3,Fortaleza,Maraponga,1250000.0
15,977200454,Casas,0.0,130,4,4,3,Fortaleza,Maraponga,480000.0
16,977200352,Apartamentos,370.0,60,3,2,2,Fortaleza,Maraponga,350000.0
17,909177376,Casas,150.0,160,4,5 ou mais,3,Fortaleza,Maraponga,650000.0
18,972704300,Casas,0.0,260,3,2,2,Fortaleza,Maraponga,16000.0
19,912355030,Casas,0.0,130,4,4,3,Fortaleza,Maraponga,480000.0
20,955795860,Casas,0.0,104,4,3,2,Fortaleza,Maraponga,430000.0
21,969521927,Casas,0.0,150,3,3,2,Fortaleza,Maraponga,365000.0
22,949625567,Apartamentos,500.0,69,3,3,2,Fortaleza,Maraponga,260000.0
23,977032114,Apartamentos,800.0,75,3,3,2,Fortaleza,Maraponga,290000.0
24,977030166,Apartamentos,250.0,68,2,1,1,Fortaleza,Maraponga,199900.0
25,917478570,Casas,0.0,444,4,5 ou mais,5 ou mais,Fortaleza,Maraponga,900000.0
26,961458955,Apartamentos,202.0,45,2,1,1,Fortaleza,Maraponga,158000.0
27,976784513,Casas,0.0,220,3,4,4,Fortaleza,Maraponga,995000.0
28,976784495,Casas,0.0,248,4,5 ou mais,3,Fortaleza,Maraponga,1100000.0
29,976739166,Casas,538.0,220,4,4,3,Fortaleza,Maraponga,1250000.0
30,917478777,Casas,400.0,110,3,2,3,Fortaleza,Maraponga,389800.0
31,965265356,Apartamentos,202.0,47,2,2,1,Fortaleza,Maraponga,195000.0
32,976709419,Apartamentos,202.0,43,2,2,1,Fortaleza,Maraponga,195000.0
33,976709413,Casas,0.0,167,3,2,2,Fortaleza,Maraponga,345000.0
34,873136420,Apartamentos,0.0,55,2,2,1,Fortaleza,Maraponga,299000.0
35,959348809,Apartamentos,250.0,65,3,2,1,Fortaleza,Maraponga,184999.0
36,972700581,Casas,0.0,300,3,2,2,Fortaleza,Maraponga,16000.0
37,971872499,Casas,0.0,120,3,2,2,Fortaleza,Maraponga,20000.0
38,972691245,Casas,0.0,250,3,2,2,Fortaleza,Maraponga,25000.0
39,976605119,Casas,0.0,195,4,4,2,Fortaleza,Maraponga,570000.0
40,957227544,Apartamentos,400.0,65,3,2,2,Fortaleza,Maraponga,230000.0
41,969660860,Casas,0.0,220,3,2,2,Fortaleza,Maraponga,20000.0
42,972704689,Casas,0.0,650,3,2,2,Fortaleza,Maraponga,30000.0
43,971895491,Apartamentos,380.0,70,3,2,1,Fortaleza,Maraponga,265000.0
44,921014414,Apartamentos,450.0,60,3,2,2,Fortaleza,Maraponga,215000.0
45,964597894,Apartamentos,0.0,53,2,2,,Fortaleza,Maraponga,200000.0
46,976216509,Casas,50.0,127,3,2,3,Fortaleza,Maraponga,0.0
47,972711199,Casas,0.0,120,3,3,2,Fortaleza,Maraponga,19000.0
48,922247297,Apartamentos,450.0,56,2,2,1,Fortaleza,Maraponga,210000.0
49,903791975,Apartamentos,450.0,63,2,2,2,Fortaleza,Maraponga,230000.0
50,868627670,Casas,0.0,152,4,0,3,Fortaleza,Maraponga,570000.0
51,976017275,Casas,0.0,180,3,3,2,Fortaleza,Maraponga,20000.0
52,976017031,Apartamentos,440.0,62,3,2,1,Fortaleza,Maraponga,190000.0
53,917471171,Apartamentos,240.0,65,3,2,1,Fortaleza,Maraponga,185000.0
54,896318905,Apartamentos,220.0,44,2,1,1,Fortaleza,Maraponga,230000.0
55,670288091,Casas,0.0,220,4,4,4,Fortaleza,Maraponga,770000.0
56,972701174,Casas,0.0,360,3,2,2,Fortaleza,Maraponga,18000.0
57,953057369,Casas,380.0,146,4,4,2,Fortaleza,Maraponga,545000.0
58,847274608,Apartamentos,208.0,50,2,1,1,Fortaleza,Maraponga,167000.0
59,917478828,Casas,0.0,177,4,5 ou mais,5 ou mais,Fortaleza,Maraponga,980000.0
60,975789774,Casas,0.0,106,3,1,2,Fortaleza,Maraponga,400000.0
61,975789640,Casas,0.0,181,3,3,3,Fortaleza,Maraponga,600000.0
62,963040717,Casas,0.0,120,3,2,3,Fortaleza,Maraponga,410000.0
63,922661232,Casas,0.0,126,3,3,2,Fortaleza,Dendê,470000.0
64,936417321,Casas,0.0,120,3,3,2,Fortaleza,Maraponga,290000.0
65,909177307,Apartamentos,370.0,65,3,2,1,Fortaleza,Maraponga,240000.0
66,950252468,Casas,0.0,200,3,3,3,Fortaleza,Maraponga,597000.0
67,917478685,Apartamentos,250.0,56,3,2,1,Fortaleza,Maraponga,280000.0
68,928731986,Apartamentos,220.0,70,3,,1,Fortaleza,Maraponga,123000.0
69,912576137,Apartamentos,0.0,62,3,2,2,Fortaleza,Maraponga,370000.0
70,972701800,Casas,0.0,350,3,2,2,Fortaleza,Maraponga,16000.0
71,886343352,Apartamentos,0.0,61,3,2,2,Fortaleza,Maraponga,345000.0
72,441433921,Apartamentos,200.0,70,3,0,1,Fortaleza,Maraponga,132000.0
73,972387207,Apartamentos,300.0,83,3,1,1,Fortaleza,Maraponga,170000.0
74,909177322,Casas,250.0,260,4,4,4,Fortaleza,Maraponga,1450000.0
75,893857565,Apartamentos,310.0,56,3,2,1,Fortaleza,Maraponga,265000.0
76,917472020,Casas,0.0,225,3,3,2,Fortaleza,Maraponga,549900.0
