,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,514713812,Apartamentos,3000.0,333,4,,5 ou mais,Fortaleza,Meireles,3900000.0
1,920733231,Apartamentos,530.0,86,2,2,2,Fortaleza,Mucuripe,680000.0
2,961748919,Apartamentos,614.0,77,3,1,1,Fortaleza,Meireles,400000.0
3,959973336,Apartamentos,0.0,120,3,4,2,Fortaleza,Meireles,1200000.0
4,959072314,Apartamentos,2100.0,297,4,5 ou mais,4,Fortaleza,Meireles,2190000.0
5,969051362,Apartamentos,1300.0,200,4,5 ou mais,3,Fortaleza,Meireles,1400000.0
6,961628273,Apartamentos,1900.0,240,3,5 ou mais,4,Fortaleza,Meireles,3500000.0
7,962058796,Apartamentos,638.0,67,2,2,1,Fortaleza,Meireles,450000.0
8,957851156,Apartamentos,0.0,230,4,5 ou mais,4,Fortaleza,Meireles,2850000.0
9,954960079,Apartamentos,0.0,333,4,5 ou mais,5 ou mais,Fortaleza,Meireles,3764059.0
10,970906105,Apartamentos,1050.0,198,3,4,3,Fortaleza,Meireles,640000.0
11,946228545,Apartamentos,1600.0,300,5 ou mais,5 ou mais,4,Fortaleza,Meireles,1700000.0
12,922434086,Apartamentos,5000.0,430,5 ou mais,1,5 ou mais,Fortaleza,Meireles,3700000.0
13,935613437,Apartamentos,1200.0,154,3,5 ou mais,3,Fortaleza,Meireles,1000000.0
14,947492139,Apartamentos,600.0,61,2,2,2,Fortaleza,Meireles,680000.0
15,952951863,Apartamentos,810.0,110,2,3,2,Fortaleza,Meireles,460000.0
16,940101057,Apartamentos,760.0,96,3,3,2,Fortaleza,Aldeota,590000.0
17,961535159,Apartamentos,810.0,94,3,3,0,Fortaleza,Meireles,440000.0
18,958173991,Apartamentos,0.0,51,1,1,1,Fortaleza,Mucuripe,425000.0
19,967347082,Apartamentos,0.0,430,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Meireles,3700000.0
20,883579681,Apartamentos,0.0,155,3,5 ou mais,4,Fortaleza,Meireles,1233000.0
21,888808748,Apartamentos,1350.0,163,3,4,2,Fortaleza,Meireles,630000.0
22,898046359,Apartamentos,0.0,202,4,4,4,Fortaleza,Meireles,2425000.0
23,928264788,Apartamentos,558.0,66,2,2,1,Fortaleza,Meireles,1350000.0
24,972268105,Apartamentos,0.0,26,1,1,1,Fortaleza,Meireles,288000.0
25,959973158,Apartamentos,0.0,147,3,3,2,Fortaleza,Meireles,420000.0
26,959973193,Apartamentos,3800.0,350,4,5 ou mais,5 ou mais,Fortaleza,Meireles,3800000.0
27,944601855,Apartamentos,2800.0,401,4,5 ou mais,5 ou mais,Fortaleza,Meireles,5700000.0
28,940503357,Apartamentos,665.0,70,2,2,2,Fortaleza,Meireles,590000.0
29,922983319,Apartamentos,950.0,127,3,2,2,Fortaleza,Aldeota,580000.0
30,956265471,Apartamentos,0.0,201,4,5 ou mais,4,Fortaleza,Meireles,1080000.0
31,926544817,Apartamentos,900.0,124,2,4,3,Fortaleza,Meireles,1450000.0
32,954345525,Apartamentos,0.0,245,4,4,5 ou mais,Fortaleza,Meireles,3153141.0
33,954364538,Apartamentos,485.0,86,2,3,2,Fortaleza,Mucuripe,670000.0
34,940393457,Apartamentos,1600.0,208,4,5 ou mais,4,Fortaleza,Mucuripe,2380000.0
35,920470092,Apartamentos,1500.0,154,4,5 ou mais,3,Fortaleza,Meireles,1090000.0
36,977461686,Apartamentos,0.0,72,3,3,2,Fortaleza,Meireles,570000.0
37,958174014,Apartamentos,0.0,247,4,5 ou mais,5 ou mais,Fortaleza,Meireles,2500000.0
38,958173882,Apartamentos,0.0,190,4,5 ou mais,4,Fortaleza,Meireles,1600000.0
39,950262471,Apartamentos,300.0,65,2,1,1,Fortaleza,Meireles,269000.0
40,977459480,Apartamentos,0.0,330,4,5 ou mais,5 ou mais,Fortaleza,Meireles,4000000.0
41,977458801,Apartamentos,0.0,214,4,5 ou mais,3,Fortaleza,Meireles,980000.0
42,952343601,Apartamentos,1250.0,39,1,1,1,Fortaleza,Meireles,250000.0
43,924923848,Apartamentos,1020.0,120,3,4,2,Fortaleza,Meireles,380000.0
44,920119227,Apartamentos,530.0,117,3,2,1,Fortaleza,Meireles,405000.0
45,977456342,Apartamentos,0.0,320,2,4,5 ou mais,Fortaleza,Meireles,3200000.0
46,971295773,Casas,0.0,252,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Meireles,1490000.0
47,969156738,Apartamentos,0.0,27,1,1,1,Fortaleza,Meireles,269000.0
48,897447961,Apartamentos,0.0,300,4,5 ou mais,5 ou mais,Fortaleza,Meireles,3800000.0
49,964178666,Apartamentos,1200.0,51,1,1,1,Fortaleza,Mucuripe,350000.0
50,972296859,Apartamentos,650.0,60,2,3,2,Fortaleza,Meireles,380000.0
51,801035273,Apartamentos,0.0,163,3,5 ou mais,2,Fortaleza,Meireles,630000.0
52,712051186,Apartamentos,840.0,116,3,2,1,Fortaleza,Meireles,540000.0
53,941148261,Apartamentos,790.0,65,2,1,2,Fortaleza,Meireles,420000.0
54,916735020,Apartamentos,1200.0,105,2,3,1,Fortaleza,Meireles,310000.0
55,946940267,Apartamentos,2500.0,276,4,5 ou mais,3,Fortaleza,Meireles,1250000.0
56,972035894,Apartamentos,550.0,66,2,2,1,Fortaleza,Meireles,1100000.0
57,730455564,Apartamentos,3998.0,299,3,5 ou mais,3,Fortaleza,Meireles,1600000.0
58,920484308,Casas,0.0,378,4,3,,Fortaleza,Meireles,2500000.0
59,938570934,Apartamentos,530.0,48,2,1,1,Fortaleza,Meireles,560000.0
60,940842497,Apartamentos,0.0,40,1,1,1,Fortaleza,Meireles,391000.0
