,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,977595075,Apartamentos,0.0,0,0,0,0,Fortaleza,Messejana,65000.0
1,969856665,Apartamentos,306.0,64,3,2,2,Fortaleza,Messejana,260000.0
2,977591671,Casas,0.0,177,3,3,5 ou mais,Fortaleza,Messejana,460000.0
3,946549412,Apartamentos,306.0,64,3,2,2,Fortaleza,Messejana,265000.0
4,946953061,Apartamentos,390.0,55,3,2,1,Fortaleza,Messejana,240000.0
5,973422918,Apartamentos,345.0,52,3,2,2,Fortaleza,Messejana,339900.0
6,896319110,Apartamentos,300.0,48,2,1,1,Fortaleza,Messejana,128000.0
7,970513670,Apartamentos,346.0,55,2,2,2,Fortaleza,Messejana,255000.0
8,964759667,Apartamentos,0.0,111,2,2,2,Fortaleza,Messejana,350000.0
9,948902495,Apartamentos,3520.0,55,2,1,2,Fortaleza,Messejana,270000.0
10,886453539,Apartamentos,0.0,41,2,1,1,Fortaleza,Messejana,166695.0
11,977529568,Apartamentos,0.0,195,4,5 ou mais,3,Fortaleza,Messejana,650000.0
12,977511086,Apartamentos,0.0,0,0,0,0,Fortaleza,Messejana,50000.0
13,923835838,Casas,0.0,90,5 ou mais,4,3,Fortaleza,Messejana,599999.0
14,949976607,Apartamentos,350.0,63,3,2,1,Fortaleza,Messejana,240000.0
15,940216943,Casas,0.0,91,3,2,2,Fortaleza,Messejana,320000.0
16,415125032,Apartamentos,0.0,60,2,2,1,Fortaleza,Messejana,240000.0
17,686709864,Apartamentos,469.0,90,3,2,2,Fortaleza,Messejana,541000.0
18,968930575,Apartamentos,360.0,60,3,2,1,Fortaleza,Messejana,195000.0
19,958338104,Casas,0.0,85,2,2,2,Fortaleza,Messejana,160000.0
20,783119015,Apartamentos,0.0,53,3,2,2,Fortaleza,Messejana,185000.0
21,967146114,Apartamentos,370.0,70,2,2,2,Fortaleza,Messejana,379000.0
22,977491640,Apartamentos,0.0,0,3,2,1,Fortaleza,Messejana,130000.0
23,960718249,Casas,0.0,104,3,3,3,Fortaleza,Messejana,350000.0
24,972703116,Casas,0.0,260,3,2,2,Fortaleza,Messejana,15000.0
25,858612648,Apartamentos,0.0,41,2,1,1,Fortaleza,Messejana,154800.0
26,954960197,Apartamentos,0.0,56,2,1,2,Fortaleza,Messejana,233000.0
27,946207780,Apartamentos,360.0,55,2,2,1,Fortaleza,Messejana,150000.0
28,974117298,Apartamentos,370.0,56,2,2,2,Fortaleza,Messejana,275000.0
29,958021039,Casas,340.0,70,2,3,2,Fortaleza,Messejana,260000.0
30,935600466,Casas,0.0,125,3,3,3,Fortaleza,Messejana,350000.0
31,958350203,Casas,0.0,83,2,2,2,Fortaleza,Messejana,155000.0
32,936416498,Apartamentos,235.0,48,2,1,1,Fortaleza,Messejana,180000.0
33,977405457,Casas,0.0,110,3,3,3,Fortaleza,Messejana,395000.0
34,917039067,Casas,0.0,480,4,5 ou mais,5 ou mais,Fortaleza,Messejana,990000.0
35,977387492,Apartamentos,0.0,0,0,0,0,Fortaleza,Messejana,65000.0
36,977386990,Casas,280.0,90,3,2,2,Fortaleza,Messejana,320000.0
37,954264333,Apartamentos,270.0,45,2,1,1,Fortaleza,Messejana,125000.0
38,967442361,Apartamentos,415.0,62,3,2,1,Fortaleza,Messejana,230000.0
39,942741142,Apartamentos,135.0,55,2,1,1,Fortaleza,Messejana,85000.0
40,972698541,Casas,0.0,260,3,2,2,Fortaleza,Messejana,25000.0
41,907252803,Casas,0.0,276,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Messejana,550000.0
42,977336477,Casas,0.0,83,2,2,2,Fortaleza,Messejana,160000.0
