,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,955795340,Apartamentos,350.0,54,2,2,0,Fortaleza,Aracapé,125000.0
1,954929871,Apartamentos,0.0,60,3,2,1,Fortaleza,Aracapé,150000.0
2,963040749,Casas,0.0,93,3,2,2,Fortaleza,Mondubim,320000.0
3,955795123,Apartamentos,270.0,56,3,2,1,Fortaleza,Mondubim,270000.0
4,708581815,Casas,0.0,650,5 ou mais,0,0,Fortaleza,Mondubim,1400000.0
5,977513361,Casas,0.0,0,2,1,1,Fortaleza,Mondubim,50000.0
6,953261323,Apartamentos,190.0,55,2,1,1,Fortaleza,Mondubim,187000.0
7,977499241,Casas,250.0,70,3,2,0,Fortaleza,Aracapé,220000.0
8,889962803,Casas,0.0,100,3,3,2,Fortaleza,Mondubim,349000.0
9,947405308,Apartamentos,0.0,50,2,2,1,Fortaleza,Mondubim,180000.0
10,977489805,Casas,0.0,115,3,2,1,Fortaleza,Mondubim,320000.0
11,961939334,Apartamentos,450.0,140,3,3,2,Fortaleza,Mondubim,550000.0
12,955795239,Apartamentos,250.0,56,3,2,1,Fortaleza,Mondubim,280000.0
13,955795008,Apartamentos,190.0,52,2,2,1,Fortaleza,Mondubim,200000.0
14,906841604,Casas,0.0,156,4,4,3,Fortaleza,Mondubim,390000.0
15,977463199,Casas,0.0,0,2,1,1,Fortaleza,Mondubim,45000.0
16,917477855,Casas,0.0,123,3,1,2,Fortaleza,Mondubim,259000.0
17,948158320,Apartamentos,300.0,66,3,2,1,Fortaleza,Mondubim,300000.0
18,854215511,Casas,0.0,160,4,5 ou mais,3,Fortaleza,Mondubim,420000.0
19,977433736,Casas,0.0,160,4,4,3,Fortaleza,Mondubim,390000.0
20,977431443,Apartamentos,380.0,0,2,2,1,Fortaleza,Mondubim,160120.0
21,940110679,Apartamentos,244.0,47,2,1,2,Fortaleza,Mondubim,120000.0
22,963453663,Casas,0.0,75,2,2,3,Fortaleza,Mondubim,295000.0
23,954905651,Casas,0.0,280,4,5 ou mais,4,Fortaleza,Mondubim,574900.0
24,977405562,Casas,0.0,130,3,2,4,Fortaleza,Mondubim,408000.0
25,909177484,Apartamentos,370.0,66,3,2,2,Fortaleza,Mondubim,219000.0
26,967442200,Apartamentos,350.0,67,3,2,2,Fortaleza,Mondubim,250000.0
27,940372647,Apartamentos,0.0,49,2,1,1,Fortaleza,Mondubim,130000.0
28,940417250,Casas,0.0,52,2,1,1,Fortaleza,Aracapé,160000.0
29,917471740,Apartamentos,300.0,43,2,1,1,Fortaleza,Mondubim,145000.0
30,932972265,Apartamentos,445.0,68,3,2,2,Fortaleza,Mondubim,250000.0
31,955795527,Apartamentos,252.0,55,2,1,1,Fortaleza,Mondubim,135000.0
32,954359852,Casas,0.0,110,3,3,2,Fortaleza,Mondubim,380000.0
