,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,961926070,Apartamentos,300.0,90,3,3,2,Fortaleza,Monte Castelo,399000.0
1,964136613,Casas,0.0,150,3,2,4,Fortaleza,Monte Castelo,420000.0
2,892505891,Apartamentos,760.0,96,4,3,2,Fortaleza,São Gerardo,350000.0
3,959043273,Apartamentos,200.0,80,3,2,1,Fortaleza,Monte Castelo,250000.0
4,977503423,Apartamentos,650.0,105,3,3,2,Fortaleza,Monte Castelo,595000.0
5,813473871,Casas,0.0,176,2,1,0,Fortaleza,Monte Castelo,115000.0
6,962625349,Apartamentos,0.0,98,2,2,2,Fortaleza,Monte Castelo,280000.0
7,977451068,Apartamentos,335.0,69,3,2,1,Fortaleza,Monte Castelo,260000.0
8,963186160,Apartamentos,780.0,91,3,2,2,Fortaleza,São Gerardo,395000.0
9,948965433,Casas,0.0,95,3,2,5 ou mais,Fortaleza,Monte Castelo,630000.0
10,968810939,Apartamentos,420.0,59,3,3,1,Fortaleza,São Gerardo,280000.0
11,969248642,Casas,0.0,220,2,2,1,Fortaleza,Monte Castelo,20000.0
12,885808438,Casas,0.0,0,2,1,1,Fortaleza,Monte Castelo,300000.0
13,888572753,Apartamentos,0.0,105,3,3,1,Fortaleza,São Gerardo,330000.0
14,976875846,Casas,0.0,47,1,1,0,Fortaleza,Monte Castelo,45000.0
15,974559371,Apartamentos,390.0,74,3,3,2,Fortaleza,Monte Castelo,450000.0
16,957536613,Apartamentos,650.0,105,3,3,2,Fortaleza,Monte Castelo,485000.0
17,907566074,Apartamentos,477.0,95,3,2,1,Fortaleza,Monte Castelo,230000.0
18,947547313,Apartamentos,380.0,63,3,2,1,Fortaleza,Monte Castelo,250000.0
19,960561489,Apartamentos,453.0,65,3,3,1,Fortaleza,Monte Castelo,290000.0
20,944127138,Apartamentos,650.0,212,4,5 ou mais,3,Fortaleza,Monte Castelo,1100000.0
21,892505595,Apartamentos,0.0,85,3,2,2,Fortaleza,Monte Castelo,200000.0
22,941630489,Apartamentos,453.0,66,3,3,1,Fortaleza,Monte Castelo,295000.0
23,888573671,Casas,0.0,110,2,2,1,Fortaleza,Monte Castelo,220000.0
24,943845738,Apartamentos,0.0,120,3,3,1,Fortaleza,São Gerardo,320000.0
