,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,960063729,Apartamentos,370.0,71,2,2,0,Fortaleza,Montese,185000.0
1,920015586,Casas,0.0,0,0,0,2,Fortaleza,Montese,280000.0
2,977532688,Apartamentos,640.0,65,3,2,1,Fortaleza,Montese,230000.0
3,962349818,Casas,0.0,148,3,3,2,Fortaleza,Montese,270000.0
4,972299769,Casas,0.0,250,5 ou mais,5 ou mais,3,Fortaleza,Montese,600000.0
5,971513300,Casas,0.0,110,3,2,2,Fortaleza,Montese,20000.0
6,636184999,Casas,0.0,97,3,2,2,Fortaleza,Bom Futuro,350000.0
7,977450162,Apartamentos,350.0,74,3,2,2,Fortaleza,Bom Futuro,363000.0
8,977448281,Apartamentos,250.0,75,3,2,1,Fortaleza,Montese,220000.0
9,920684281,Casas,0.0,334,3,5 ou mais,1,Fortaleza,Montese,900000.0
10,977405503,Apartamentos,400.0,90,3,3,2,Fortaleza,Montese,470000.0
11,969005972,Casas,0.0,180,3,2,1,Fortaleza,Montese,20000.0
12,938282230,Apartamentos,380.0,74,3,2,1,Fortaleza,Bom Futuro,220000.0
13,962031344,Apartamentos,640.0,64,3,2,2,Fortaleza,Montese,220000.0
14,952300007,Apartamentos,290.0,56,2,1,1,Fortaleza,Montese,190000.0
15,972286561,Casas,0.0,120,3,2,2,Fortaleza,Montese,21000.0
16,941630483,Casas,0.0,550,5 ou mais,4,3,Fortaleza,Montese,980000.0
17,960008004,Apartamentos,150.0,120,4,3,2,Fortaleza,Montese,250000.0
18,953116779,Apartamentos,0.0,76,2,2,1,Fortaleza,Montese,160000.0
19,972693353,Casas,0.0,380,3,2,2,Fortaleza,Montese,17000.0
20,977087438,Casas,0.0,0,2,1,,Fortaleza,Montese,95000.0
21,972760846,Casas,0.0,120,3,2,2,Fortaleza,Montese,20000.0
22,950235024,Casas,0.0,130,3,2,0,Fortaleza,Montese,260000.0
23,961299383,Apartamentos,480.0,86,3,2,2,Fortaleza,Montese,395000.0
24,958000196,Apartamentos,380.0,83,3,2,2,Fortaleza,Bom Futuro,400000.0
25,972693750,Casas,0.0,350,3,2,2,Fortaleza,Montese,19000.0
26,972299755,Apartamentos,373.0,61,2,2,1,Fortaleza,Montese,275000.0
27,976708971,Apartamentos,0.0,0,2,1,1,Fortaleza,Montese,200000.0
28,971513440,Casas,0.0,120,3,2,2,Fortaleza,Montese,20000.0
