,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,883259667,Apartamentos,580.0,73,2,1,1,Fortaleza,Mucuripe,390000.0
1,957313660,Apartamentos,1400.0,150,4,4,2,Fortaleza,Varjota,370000.0
2,976313912,Apartamentos,0.0,72,3,3,2,Fortaleza,Mucuripe,708948.0
3,976257205,Apartamentos,950.0,100,3,3,2,Fortaleza,Mucuripe,650000.0
4,940100654,Apartamentos,1650.0,300,4,4,4,Fortaleza,Mucuripe,1600000.0
5,964520435,Apartamentos,650.0,70,3,2,2,Fortaleza,Mucuripe,449000.0
6,958173888,Apartamentos,0.0,221,3,4,4,Fortaleza,Mucuripe,1950000.0
7,964109466,Apartamentos,1490.0,180,3,4,3,Fortaleza,Mucuripe,1300000.0
8,959973258,Apartamentos,0.0,232,4,5 ou mais,4,Fortaleza,Mucuripe,2200000.0
9,933809245,Apartamentos,0.0,93,3,3,2,Fortaleza,Mucuripe,470000.0
10,976105974,Apartamentos,0.0,115,3,2,2,Fortaleza,Mucuripe,708947.0
11,941675168,Apartamentos,950.0,100,3,2,2,Fortaleza,Mucuripe,670000.0
12,975797530,Apartamentos,600.0,78,2,1,1,Fortaleza,Mucuripe,440000.0
13,975789786,Apartamentos,1170.0,204,4,3,2,Fortaleza,Varjota,680000.0
14,975789599,Apartamentos,500.0,64,2,1,1,Fortaleza,Mucuripe,330000.0
15,975789424,Apartamentos,1800.0,182,3,3,2,Fortaleza,Mucuripe,900000.0
16,975789327,Casas,0.0,200,4,5 ou mais,3,Fortaleza,Varjota,850000.0
17,975789316,Apartamentos,630.0,121,3,2,2,Fortaleza,Mucuripe,800000.0
18,975789281,Apartamentos,1100.0,147,3,4,2,Fortaleza,Mucuripe,880000.0
19,946922221,Apartamentos,778.0,94,3,4,2,Fortaleza,Mucuripe,520000.0
20,956186388,Apartamentos,2200.0,210,4,4,4,Fortaleza,Mucuripe,2300000.0
21,940110614,Apartamentos,0.0,414,5 ou mais,2,4,Fortaleza,Mucuripe,3500000.0
22,954006689,Apartamentos,485.0,86,2,3,2,Fortaleza,Mucuripe,670000.0
23,920394081,Apartamentos,850.0,115,3,3,3,Fortaleza,Mucuripe,1100000.0
24,975657911,Apartamentos,1400.0,180,3,3,2,Fortaleza,Mucuripe,1700000.0
25,972384327,Casas,0.0,315,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Varjota,780000.0
26,945701647,Apartamentos,1850.0,220,3,4,4,Fortaleza,Mucuripe,1800000.0
27,919725773,Apartamentos,1170.0,204,4,3,2,Fortaleza,Varjota,680000.0
28,950990678,Apartamentos,776.0,95,3,3,2,Fortaleza,Mucuripe,520000.0
29,958173952,Apartamentos,1350.0,147,3,4,2,Fortaleza,Mucuripe,690000.0
30,959973380,Apartamentos,0.0,221,3,4,4,Fortaleza,Mucuripe,1300000.0
31,975437866,Apartamentos,0.0,72,3,2,2,Fortaleza,Mucuripe,515460.0
32,969235544,Apartamentos,530.0,66,2,2,1,Fortaleza,Mucuripe,320000.0
33,964178657,Apartamentos,1190.0,200,4,4,2,Fortaleza,Varjota,750000.0
34,964178602,Apartamentos,1800.0,221,3,4,4,Fortaleza,Mucuripe,1850000.0
35,953191067,Apartamentos,0.0,54,2,2,1,Fortaleza,Mucuripe,574980.0
36,940455243,Apartamentos,500.0,65,2,2,2,Fortaleza,Mucuripe,370000.0
37,914170233,Apartamentos,500.0,63,2,2,1,Fortaleza,Mucuripe,380000.0
38,950168020,Apartamentos,0.0,120,3,2,2,Fortaleza,Mucuripe,850000.0
39,908974224,Apartamentos,0.0,210,3,5 ou mais,4,Fortaleza,Mucuripe,2300000.0
40,894450892,Apartamentos,700.0,112,3,4,2,Fortaleza,Mucuripe,1100000.0
41,959072210,Apartamentos,0.0,149,3,4,2,Fortaleza,Mucuripe,690000.0
42,885732011,Apartamentos,640.0,111,3,4,2,Fortaleza,Mucuripe,1177000.0
43,947613134,Apartamentos,970.0,113,3,4,3,Fortaleza,Mucuripe,1150000.0
44,967326498,Apartamentos,1631.0,52,2,1,1,Fortaleza,Mucuripe,380000.0
45,963031007,Apartamentos,0.0,92,3,3,2,Fortaleza,Varjota,600000.0
46,899996150,Apartamentos,560.0,69,2,2,1,Fortaleza,Mucuripe,369000.0
47,974996525,Apartamentos,0.0,133,3,3,1,Fortaleza,Mucuripe,220000.0
48,974950261,Apartamentos,0.0,94,3,3,2,Fortaleza,Mucuripe,480000.0
49,964759693,Apartamentos,1950.0,208,3,2,4,Fortaleza,Mucuripe,1950000.0
50,958174018,Apartamentos,1800.0,221,3,4,4,Fortaleza,Mucuripe,1850000.0
51,825389883,Apartamentos,550.0,69,2,2,1,Fortaleza,Mucuripe,300000.0
52,847772451,Apartamentos,790.0,59,1,1,1,Fortaleza,Mucuripe,380000.0
53,863336442,Apartamentos,790.0,45,1,1,1,Fortaleza,Mucuripe,280000.0
54,972296795,Apartamentos,1800.0,149,3,3,2,Fortaleza,Mucuripe,730000.0
55,949849115,Apartamentos,450.0,0,2,1,2,Fortaleza,Mucuripe,185000.0
56,825392003,Apartamentos,550.0,68,2,2,1,Fortaleza,Mucuripe,300000.0
57,936417049,Apartamentos,530.0,68,2,2,1,Fortaleza,Mucuripe,300000.0
58,812360470,Apartamentos,890.0,65,1,1,1,Fortaleza,Mucuripe,420000.0
59,839051640,Apartamentos,850.0,0,1,1,1,Fortaleza,Mucuripe,250000.0
60,959974619,Apartamentos,700.0,114,3,4,3,Fortaleza,Mucuripe,1070000.0
61,813453492,Apartamentos,897.0,51,1,1,1,Fortaleza,Mucuripe,349999.0
62,813454663,Apartamentos,897.0,51,1,1,1,Fortaleza,Mucuripe,349999.0
63,813446927,Apartamentos,897.0,350000,1,1,1,Fortaleza,Mucuripe,350000.0
64,825395793,Apartamentos,550.0,68,2,2,1,Fortaleza,Mucuripe,300000.0
65,863334891,Apartamentos,790.0,45,1,1,1,Fortaleza,Mucuripe,280000.0
66,863335637,Apartamentos,790.0,45,1,1,1,Fortaleza,Mucuripe,280000.0
67,847768564,Apartamentos,790.0,59,1,1,1,Fortaleza,Mucuripe,380000.0
68,847769914,Apartamentos,790.0,59,1,1,1,Fortaleza,Mucuripe,380000.0
69,847772044,Apartamentos,790.0,59,1,1,1,Fortaleza,Mucuripe,380000.0
70,847754434,Apartamentos,790.0,59,1,1,1,Fortaleza,Mucuripe,380000.0
71,878354735,Apartamentos,550.0,100,4,4,1,Fortaleza,Mucuripe,0.0
72,762352094,Apartamentos,550.0,68,2,2,1,Fortaleza,Mucuripe,310000.0
73,870979383,Apartamentos,950.0,127,4,4,2,Fortaleza,Varjota,460000.0
74,870982904,Apartamentos,950.0,127,4,4,2,Fortaleza,Mucuripe,460000.0
75,762354543,Apartamentos,550.0,68,2,2,1,Fortaleza,Mucuripe,310000.0
76,762352822,Apartamentos,550.0,68,2,2,1,Fortaleza,Mucuripe,310000.0
77,762356542,Apartamentos,550.0,68,2,2,1,Fortaleza,Mucuripe,305000.0
78,762340520,Apartamentos,550.0,68,2,2,1,Fortaleza,Mucuripe,330000.0
79,762330478,Apartamentos,500.0,68,2,2,1,Fortaleza,Mucuripe,330000.0
80,762349273,Apartamentos,550.0,68,2,2,1,Fortaleza,Mucuripe,310000.0
81,762350457,Apartamentos,550.0,68,2,2,1,Fortaleza,Mucuripe,310000.0
82,847757744,Apartamentos,790.0,59,1,1,1,Fortaleza,Mucuripe,380000.0
83,951621509,Apartamentos,0.0,94,3,3,2,Fortaleza,Mucuripe,0.0
84,951628707,Apartamentos,0.0,94,3,3,2,Fortaleza,Mucuripe,0.0
85,738058874,Apartamentos,1100.0,40,1,2,1,Fortaleza,Mucuripe,225000.0
86,730417848,Apartamentos,867.0,45,1,1,1,Fortaleza,Mucuripe,280000.0
87,730419185,Apartamentos,867.0,45,1,1,1,Fortaleza,Mucuripe,249999.0
88,889531994,Apartamentos,530.0,68,2,2,1,Fortaleza,Mucuripe,300000.0
89,825390711,Apartamentos,550.0,68,2,2,1,Fortaleza,Mucuripe,300000.0
90,959974518,Apartamentos,1829.0,300,4,5 ou mais,4,Fortaleza,Mucuripe,1600000.0
