,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,976786557,Apartamentos,323.0,58,2,2,1,Fortaleza,Panamericano,125000.0
1,937925883,Apartamentos,238.0,66,2,2,1,Fortaleza,Panamericano,125000.0
2,931405828,Apartamentos,340.0,72,3,2,1,Fortaleza,Couto Fernandes,289000.0
3,955795646,Apartamentos,340.0,74,3,2,1,Fortaleza,Couto Fernandes,300000.0
4,927650147,Apartamentos,350.0,60,3,2,1,Fortaleza,Panamericano,170000.0
5,975774011,Apartamentos,220.0,55,2,2,1,Fortaleza,Panamericano,110000.0
6,934239223,Apartamentos,228.0,64,2,2,1,Fortaleza,Panamericano,139000.0
7,975442458,Casas,0.0,52,3,2,,Fortaleza,Panamericano,130000.0
8,975312891,Casas,0.0,0,3,2,,Fortaleza,Panamericano,130000.0
9,963693770,Apartamentos,420.0,68,3,2,2,Fortaleza,Couto Fernandes,270000.0
10,975254460,Apartamentos,235.0,46,2,1,1,Fortaleza,Panamericano,100000.0
11,962076713,Apartamentos,320.0,45,2,1,1,Fortaleza,Couto Fernandes,210000.0
12,671038796,Apartamentos,250.0,52,2,2,1,Fortaleza,Panamericano,149999.0
13,670612380,Apartamentos,200.0,45,2,1,1,Fortaleza,Couto Fernandes,150000.0
14,949625613,Apartamentos,430.0,90,3,1,1,Fortaleza,Couto Fernandes,250000.0
15,950114389,Apartamentos,230.0,65,2,1,1,Fortaleza,Panamericano,150000.0
16,900241356,Casas,0.0,330,4,4,3,Fortaleza,Panamericano,380000.0
17,974112669,Apartamentos,245.0,58,2,1,1,Fortaleza,Pan Americano,165000.0
18,973915529,Apartamentos,0.0,0,1,1,0,Fortaleza,Couto Fernandes,230000.0
19,581119661,Casas,0.0,0,3,1,1,Fortaleza,Panamericano,310000.0
20,973712305,Casas,0.0,150,2,2,2,Fortaleza,Panamericano,180000.0
21,960982816,Apartamentos,310.0,45,2,1,1,Fortaleza,Couto Fernandes,180000.0
22,973419857,Apartamentos,440.0,60,3,2,2,Fortaleza,Couto Fernandes,280000.0
23,895348963,Apartamentos,400.0,150,4,3,2,Fortaleza,Couto Fernandes,335000.0
24,898918277,Apartamentos,250.0,45,2,1,1,Fortaleza,Couto Fernandes,139000.0
25,972298501,Apartamentos,286.0,45,2,1,1,Fortaleza,Couto Fernandes,210000.0
26,972298132,Apartamentos,425.0,65,3,2,1,Fortaleza,Couto Fernandes,220000.0
27,636184167,Apartamentos,290.0,45,2,1,1,Fortaleza,Couto Fernandes,170000.0
28,971613433,Apartamentos,0.0,0,3,2,1,Fortaleza,Couto Fernandes,180000.0
29,722880878,Casas,0.0,425,4,5 ou mais,5 ou mais,Fortaleza,Couto Fernandes,900000.0
30,918968484,Apartamentos,0.0,46,2,1,1,Fortaleza,Couto Fernandes,135000.0
31,970981309,Casas,0.0,110,5 ou mais,,2,Fortaleza,Panamericano,400000.0
32,945786418,Apartamentos,230.0,57,2,2,1,Fortaleza,Panamericano,150000.0
33,969885141,Apartamentos,350.0,60,3,2,1,Fortaleza,Panamericano,180000.0
34,955107944,Apartamentos,0.0,57,2,2,0,Fortaleza,Panamericano,110000.0
35,535168153,Apartamentos,230.0,57,2,2,1,Fortaleza,Panamericano,110000.0
36,943179568,Casas,0.0,0,3,3,2,Fortaleza,Panamericano,350000.0
37,955796429,Apartamentos,250.0,48,2,1,1,Fortaleza,Couto Fernandes,115990.0
38,891628573,Apartamentos,430.0,88,3,2,2,Fortaleza,Couto Fernandes,271000.0
39,968107813,Casas,0.0,90,1,,,Fortaleza,Pan Americano,65000.0
40,966951460,Apartamentos,0.0,0,3,2,1,Fortaleza,Couto Fernandes,220000.0
41,966874301,Apartamentos,260.0,57,2,2,1,Fortaleza,Panamericano,120000.0
42,964880830,Casas,0.0,0,1,,,Fortaleza,Panamericano,50000.0
43,963846027,Casas,0.0,0,3,4,2,Fortaleza,Panamericano,200000.0
44,636184135,Apartamentos,240.0,53,2,2,1,Fortaleza,Panamericano,115000.0
45,961336642,Apartamentos,435.0,98,3,2,1,Fortaleza,Couto Fernandes,165000.0
46,961302469,Apartamentos,220.0,48,2,1,1,Fortaleza,Panamericano,170000.0
47,961272686,Apartamentos,0.0,57,2,2,0,Fortaleza,Panamericano,110000.0
48,934892843,Apartamentos,0.0,60,3,2,1,Fortaleza,Panamericano,175000.0
49,935095867,Apartamentos,300.0,60,3,2,1,Fortaleza,Panamericano,175000.0
50,959100086,Apartamentos,260.0,65,2,2,1,Fortaleza,Panamericano,140000.0
51,958309668,Apartamentos,280.0,58,3,2,1,Fortaleza,Pan Americano,215000.0
52,777713979,Casas,0.0,0,4,3,3,Fortaleza,Panamericano,380000.0
53,719786444,Apartamentos,230.0,56,2,2,1,Fortaleza,Panamericano,150000.0
54,955958323,Apartamentos,415.0,65,3,2,1,Fortaleza,Couto Fernandes,216000.0
55,955500879,Casas,0.0,0,1,1,,Fortaleza,Couto Fernandes,32000.0
56,938121369,Apartamentos,415.0,67,3,2,1,Fortaleza,Couto Fernandes,220000.0
57,938117163,Apartamentos,286.0,45,2,1,1,Fortaleza,Couto Fernandes,130000.0
58,790194160,Apartamentos,270.0,60,2,2,,Fortaleza,Panamericano,120000.0
59,696990958,Apartamentos,280.0,56,2,2,1,Fortaleza,Panamericano,145000.0
60,619662634,Apartamentos,201.0,57,2,1,2,Fortaleza,Pan Americano,135000.0
61,619662479,Apartamentos,260.0,60,2,2,1,Fortaleza,Panamericano,125000.0
