,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,959011470,Apartamentos,350.0,59,2,2,1,Fortaleza,Papicu,440000.0
1,714929878,Casas,0.0,221,4,4,2,Fortaleza,Papicu,750000.0
2,952227803,Apartamentos,850.0,172,3,3,2,Fortaleza,Papicu,177000.0
3,944863218,Apartamentos,450.0,131,3,2,0,Fortaleza,Papicu,260000.0
4,937162213,Apartamentos,980.0,0,3,3,1,Fortaleza,Papicu,180000.0
5,940100630,Apartamentos,900.0,120,3,3,1,Fortaleza,Papicu,310000.0
6,963804436,Apartamentos,550.0,78,3,2,2,Fortaleza,Papicu,185000.0
7,950989007,Apartamentos,647.0,106,4,3,1,Fortaleza,Papicu,284000.0
8,969405178,Apartamentos,600.0,130,3,5 ou mais,2,Fortaleza,Papicu,1300000.0
9,972387212,Apartamentos,900.0,114,3,5 ou mais,2,Fortaleza,Papicu,550000.0
10,907566886,Apartamentos,800.0,131,3,1,2,Fortaleza,Papicu,230000.0
11,782673637,Apartamentos,569.0,90,3,0,2,Fortaleza,Papicu,435000.0
12,943642179,Apartamentos,950.0,120,3,4,3,Fortaleza,Papicu,949000.0
13,946910862,Apartamentos,0.0,103,3,3,2,Fortaleza,Papicu,781289.0
14,951405085,Apartamentos,450.0,110,3,2,1,Fortaleza,Papicu,240000.0
15,938014266,Apartamentos,564.0,130,3,4,2,Fortaleza,Papicu,976000.0
16,931150073,Apartamentos,1.0,55,2,2,1,Fortaleza,Papicu,390000.0
17,977529580,Apartamentos,800.0,140,3,3,2,Fortaleza,Papicu,260000.0
18,977529542,Apartamentos,800.0,97,3,3,2,Fortaleza,Papicu,275000.0
19,977529524,Apartamentos,647.0,105,4,3,1,Fortaleza,Papicu,285000.0
20,977529502,Apartamentos,1180.0,147,3,3,2,Fortaleza,Papicu,380000.0
21,967163057,Apartamentos,354.0,55,2,2,1,Fortaleza,Papicu,480000.0
22,948931005,Apartamentos,600.0,100,3,3,1,Fortaleza,Papicu,350000.0
23,928823056,Apartamentos,350.0,55,2,2,1,Fortaleza,Papicu,400000.0
24,963686042,Casas,0.0,248,3,5 ou mais,5 ou mais,Fortaleza,Papicu,350000.0
25,791493251,Apartamentos,407.0,95,3,3,2,Fortaleza,Papicu,753000.0
26,940252463,Apartamentos,550.0,77,3,2,2,Fortaleza,Papicu,235000.0
27,844211028,Apartamentos,0.0,61,2,2,1,Fortaleza,Papicu,368000.0
28,932285540,Apartamentos,800.0,130,3,4,2,Fortaleza,Papicu,990000.0
29,947031854,Apartamentos,0.0,175,3,4,4,Fortaleza,Papicu,650000.0
30,938111333,Apartamentos,0.0,147,3,2,2,Fortaleza,Papicu,380000.0
31,772801872,Apartamentos,453.0,94,3,3,,Fortaleza,Papicu,745000.0
32,954960099,Apartamentos,390.0,100,3,2,1,Fortaleza,Papicu,150000.0
33,932285474,Apartamentos,1200.0,88,3,3,2,Fortaleza,Papicu,390000.0
34,962076705,Apartamentos,339.0,69,3,2,1,Fortaleza,Papicu,499000.0
35,791493204,Apartamentos,824.0,138,3,4,3,Fortaleza,Papicu,1106000.0
36,963538135,Apartamentos,260.0,97,3,3,1,Fortaleza,Papicu,220000.0
37,957703250,Apartamentos,535.0,103,3,3,1,Fortaleza,Papicu,340000.0
38,894790700,Apartamentos,450.0,97,3,3,1,Fortaleza,Papicu,199000.0
39,906733368,Apartamentos,1060.0,200,4,5 ou mais,2,Fortaleza,Papicu,490000.0
40,914170180,Casas,0.0,300,4,4,5 ou mais,Fortaleza,Papicu,980000.0
41,926544803,Apartamentos,947.0,138,3,4,3,Fortaleza,Papicu,1090000.0
42,960072260,Apartamentos,376.0,65,3,2,2,Fortaleza,Papicu,490000.0
43,925225293,Apartamentos,647.0,106,4,3,1,Fortaleza,Papicu,285000.0
44,951897255,Apartamentos,0.0,87,3,3,2,Fortaleza,Papicu,420000.0
45,879668992,Apartamentos,1620.0,173,3,3,4,Fortaleza,Papicu,610000.0
46,932979288,Apartamentos,325.0,55,2,2,1,Fortaleza,Papicu,428000.0
47,959071960,Apartamentos,0.0,65,3,2,2,Fortaleza,Papicu,460000.0
48,791493274,Apartamentos,543.0,130,3,4,2,Fortaleza,Papicu,1031000.0
49,712053775,Apartamentos,290.0,55,2,2,1,Fortaleza,Papicu,400000.0
50,963329404,Apartamentos,900.0,140,3,3,2,Fortaleza,Papicu,230000.0
51,938645365,Apartamentos,0.0,55,2,1,1,Fortaleza,Papicu,437000.0
52,959072236,Apartamentos,0.0,65,2,3,2,Fortaleza,Papicu,480000.0
53,917370926,Apartamentos,0.0,120,3,3,1,Fortaleza,Papicu,320000.0
54,909177488,Apartamentos,400.0,58,2,2,1,Fortaleza,Papicu,395000.0
55,920788850,Apartamentos,490.0,69,2,3,2,Fortaleza,Papicu,350000.0
56,951405163,Apartamentos,450.0,110,3,2,1,Fortaleza,Papicu,220000.0
57,929061655,Apartamentos,900.0,113,3,5 ou mais,2,Fortaleza,Papicu,550000.0
58,967852007,Apartamentos,1000.0,127,3,3,2,Fortaleza,Papicu,320000.0
59,925232492,Apartamentos,0.0,54,2,2,1,Fortaleza,Mucuripe,373000.0
60,946635171,Apartamentos,900.0,114,4,5 ou mais,2,Fortaleza,Papicu,480000.0
61,967735207,Apartamentos,850.0,131,3,3,2,Fortaleza,Papicu,250000.0
62,971209031,Apartamentos,700.0,119,3,3,2,Fortaleza,Papicu,390000.0
63,714928577,Apartamentos,703.0,109,3,3,2,Fortaleza,Papicu,340000.0
64,967440773,Apartamentos,515.0,110,3,3,2,Fortaleza,Papicu,800000.0
65,920695166,Apartamentos,700.0,119,3,3,2,Fortaleza,Papicu,500000.0
66,917194387,Apartamentos,0.0,106,4,3,1,Fortaleza,Papicu,285000.0
67,791493213,Apartamentos,357.0,65,3,3,2,Fortaleza,Papicu,540000.0
68,972938455,Apartamentos,1.0,59,2,2,1,Fortaleza,Papicu,440000.0
69,961550508,Apartamentos,460.0,69,2,2,1,Fortaleza,Papicu,359000.0
70,955426794,Apartamentos,900.0,114,3,4,2,Fortaleza,Papicu,480000.0
71,910015071,Apartamentos,1050.0,198,3,4,2,Fortaleza,Papicu,440000.0
72,879669039,Casas,0.0,345,3,4,5 ou mais,Fortaleza,Papicu,2000000.0
73,886401306,Casas,0.0,300,4,1,3,Fortaleza,Papicu,900000.0
74,944848111,Apartamentos,0.0,67,3,4,2,Fortaleza,Papicu,350000.0
75,945888245,Apartamentos,0.0,66,3,2,2,Fortaleza,Papicu,350000.0
76,933301611,Apartamentos,950.0,153,3,3,2,Fortaleza,Papicu,390000.0
77,883620379,Apartamentos,500.0,78,3,3,2,Fortaleza,Papicu,545000.0
78,967179066,Apartamentos,1180.0,147,3,4,2,Fortaleza,Papicu,450000.0
79,972296884,Casas,0.0,212,3,3,4,Fortaleza,Papicu,800000.0
80,953254137,Apartamentos,1100.0,145,4,5 ou mais,2,Fortaleza,Papicu,499000.0
81,938245044,Apartamentos,999.0,165,4,5 ou mais,3,Fortaleza,Papicu,1550000.0
82,976649705,Apartamentos,680.0,67,3,3,2,Fortaleza,Papicu,350000.0
83,976649611,Apartamentos,1000.0,255,4,4,2,Fortaleza,Papicu,479000.0
84,907566388,Apartamentos,499.0,100,3,3,1,Fortaleza,Papicu,345000.0
85,954129285,Apartamentos,680.0,67,3,3,2,Fortaleza,Papicu,350000.0
86,923968286,Apartamentos,800.0,128,3,3,2,Fortaleza,Papicu,295000.0
87,950665455,Apartamentos,1100.0,159,4,4,2,Fortaleza,Papicu,520000.0
88,955426835,Apartamentos,999.0,165,3,5 ou mais,3,Fortaleza,Papicu,1550000.0
89,947028122,Apartamentos,1100.0,112,3,4,2,Fortaleza,Papicu,395000.0
90,956971628,Casas,0.0,160,3,2,4,Fortaleza,Papicu,690000.0
91,956257940,Apartamentos,647.0,106,3,2,1,Fortaleza,Papicu,285000.0
92,909177509,Apartamentos,472.0,59,2,2,1,Fortaleza,Papicu,360000.0
93,935169069,Apartamentos,1271.0,189,5 ou mais,5 ou mais,3,Fortaleza,Papicu,1540000.0
94,971497586,Apartamentos,500.0,95,3,3,2,Fortaleza,Papicu,700000.0
95,938939179,Apartamentos,1200.0,100,3,2,2,Fortaleza,Papicu,260000.0
96,926544876,Apartamentos,537.0,118,3,2,2,Fortaleza,Papicu,420000.0
97,936417528,Apartamentos,630.0,100,3,2,1,Fortaleza,Papicu,240000.0
98,954902495,Apartamentos,1151.0,88,3,3,2,Fortaleza,Papicu,300000.0
99,939648316,Apartamentos,1000.0,172,3,5 ou mais,2,Fortaleza,Papicu,260000.0
100,955426809,Apartamentos,1120.0,168,3,4,2,Fortaleza,Papicu,499000.0
101,888808688,Apartamentos,765.0,119,3,2,2,Fortaleza,Papicu,499000.0
102,976431556,Apartamentos,500.0,59,2,2,1,Fortaleza,Papicu,370000.0
103,940110326,Casas,0.0,229,3,5 ou mais,5 ou mais,Fortaleza,Papicu,880000.0
104,920484983,Apartamentos,1990.0,200,3,4,4,Fortaleza,Papicu,570000.0
105,972123643,Apartamentos,0.0,55,2,2,1,Fortaleza,Papicu,470000.0
106,801185818,Apartamentos,0.0,55,2,2,1,Fortaleza,Varjota,585357.0
107,976398857,Apartamentos,560.0,60,2,,1,Fortaleza,Papicu,260000.0
108,930727906,Apartamentos,0.0,110,3,4,2,Fortaleza,Papicu,370000.0
109,926544778,Apartamentos,420.0,65,3,2,2,Fortaleza,Papicu,530000.0
110,917471703,Apartamentos,1180.0,147,3,3,2,Fortaleza,Papicu,380000.0
111,976301630,Apartamentos,370.0,85,2,2,2,Fortaleza,Papicu,200000.0
112,976279850,Apartamentos,680.0,100,4,3,2,Fortaleza,Papicu,295000.0
113,945917619,Apartamentos,600.0,78,2,2,1,Fortaleza,Papicu,280000.0
114,924941108,Apartamentos,500.0,58,2,1,1,Fortaleza,Papicu,365000.0
115,969437736,Apartamentos,0.0,130,3,3,2,Fortaleza,Papicu,200000.0
116,967167161,Apartamentos,840.0,119,3,3,2,Fortaleza,Papicu,600000.0
117,940641854,Apartamentos,450.0,70,3,2,1,Fortaleza,Papicu,450000.0
118,907565894,Apartamentos,1695.0,265,3,4,3,Fortaleza,Papicu,520000.0
119,923616282,Apartamentos,800.0,110,3,4,3,Fortaleza,Papicu,790000.0
