,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,976982704,Apartamentos,290.0,85,3,3,1,Fortaleza,Itaoca,200000.0
1,966920000,Apartamentos,0.0,58,3,1,2,Fortaleza,Parangaba,250000.0
2,977612144,Apartamentos,355.0,89,3,2,1,Fortaleza,Itaoca,230000.0
3,962076787,Apartamentos,218.0,51,2,2,1,Fortaleza,Parangaba,234900.0
4,906845294,Apartamentos,0.0,52,2,2,1,Fortaleza,Itaoca,243490.0
5,906731600,Apartamentos,320.0,48,2,1,1,Fortaleza,Itaoca,200000.0
6,909592207,Apartamentos,0.0,52,2,2,1,Fortaleza,Parangaba,241409.0
7,887751630,Apartamentos,260.0,52,2,2,1,Fortaleza,Itaoca,249274.0
8,953238482,Apartamentos,280.0,52,2,2,1,Fortaleza,Parangaba,295000.0
9,958167475,Apartamentos,0.0,54,2,2,1,Fortaleza,Parangaba,299000.0
10,941481954,Apartamentos,0.0,62,2,2,1,Fortaleza,Parangaba,190000.0
11,955293065,Apartamentos,426.0,60,3,2,1,Fortaleza,Parangaba,250000.0
12,945798824,Apartamentos,350.0,82,3,2,1,Fortaleza,Itaoca,135000.0
13,961628354,Apartamentos,250.0,65,2,2,1,Fortaleza,Parangaba,280000.0
14,877413517,Casas,0.0,120,2,2,2,Fortaleza,Parangaba,219000.0
15,977423475,Apartamentos,0.0,57,2,1,1,Fortaleza,Parangaba,170000.0
16,977405390,Apartamentos,0.0,48,2,1,1,Fortaleza,Parangaba,190000.0
17,972299721,Apartamentos,250.0,47,2,1,1,Fortaleza,Parangaba,190000.0
18,959072235,Apartamentos,400.0,76,3,2,2,Fortaleza,Parangaba,260000.0
19,942002102,Apartamentos,0.0,52,2,2,0,Fortaleza,Itaoca,239990.0
20,940454280,Apartamentos,350.0,60,3,2,2,Fortaleza,Parangaba,340000.0
21,929609610,Apartamentos,360.0,53,2,1,1,Fortaleza,Parangaba,245560.0
22,910558222,Apartamentos,380.0,120,3,3,1,Fortaleza,Parangaba,199000.0
23,947851326,Casas,0.0,235,5 ou mais,4,4,Fortaleza,Parangaba,540000.0
24,940092270,Apartamentos,400.0,85,3,3,2,Fortaleza,Parangaba,401409.0
25,927790469,Apartamentos,0.0,47,2,2,0,Fortaleza,Parangaba,190000.0
26,972268020,Apartamentos,0.0,93,3,4,2,Fortaleza,Parangaba,470641.0
27,949112062,Casas,0.0,169,3,3,4,Fortaleza,Parangaba,600000.0
28,959412818,Apartamentos,0.0,60,3,3,2,Fortaleza,Parangaba,325000.0
