,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,977591959,Casas,0.0,0,3,2,0,Fortaleza,Genibaú,90000.0
1,977367876,Casas,0.0,0,2,2,0,Fortaleza,Genibaú,150.0
2,975348799,Casas,0.0,72,1,1,0,Fortaleza,Genibaú,22000.0
3,932271762,Apartamentos,0.0,1100,5 ou mais,5 ou mais,0,Fortaleza,Genibaú,1100000.0
4,973054353,Casas,0.0,0,2,1,,Fortaleza,Genibaú,65000.0
5,972669103,Casas,0.0,60,5 ou mais,1,1,Fortaleza,Genibaú,170000.0
6,972227286,Casas,0.0,0,2,1,1,Fortaleza,Genibaú,45000.0
7,969994461,Casas,0.0,0,4,4,2,Fortaleza,Genibaú,200000.0
8,969945490,Casas,0.0,0,3,2,1,Fortaleza,Genibaú,200000.0
9,968849776,Casas,0.0,0,1,,,Fortaleza,Genibaú,210000.0
10,968758139,Casas,0.0,0,0,1,,Fortaleza,Genibaú,35000.0
11,968214175,Casas,0.0,100,3,2,,Fortaleza,Genibaú,130000.0
12,968102667,Casas,0.0,0,1,1,1,Fortaleza,Genibaú,45000.0
13,967684975,Casas,0.0,40000,2,1,0,Fortaleza,Genibaú,90000.0
14,967050918,Casas,0.0,0,4,4,0,Fortaleza,Genibaú,100000.0
15,966724026,Casas,0.0,70,2,1,,Fortaleza,Genibaú,50000.0
16,965198551,Casas,0.0,256,4,3,4,Fortaleza,Genibaú,115000.0
17,965143324,Casas,0.0,200,3,3,,Fortaleza,Genibaú,120000.0
18,952876737,Casas,0.0,0,2,2,1,Fortaleza,Genibaú,90000.0
19,962931268,Casas,0.0,0,3,2,0,Fortaleza,Genibaú,180000.0
20,962543762,Casas,0.0,0,1,1,0,Fortaleza,Genibaú,54000.0
21,962276874,Casas,0.0,300,3,2,2,Fortaleza,Genibaú,200000.0
22,962189974,Casas,0.0,0,4,4,0,Fortaleza,Genibaú,200000.0
23,957521935,Casas,0.0,0,2,1,,Fortaleza,Genibaú,25000.0
24,957225263,Casas,0.0,0,2,1,0,Fortaleza,Genibaú,24000.0
25,956357434,Casas,0.0,0,3,2,1,Fortaleza,Genibaú,190000.0
26,813483365,Apartamentos,990.0,153,4,5 ou mais,3,Fortaleza,Genibaú,1290000.0
